=== 1st Order UC Totals ===
,UCSD Art,UCSB Art,UCSC Art,UCLA Art,UCB Art,UCI Art,UCD Art,UCR Art,UCM Art,UCSD Unart,UCSB Unart,UCSC Unart,UCLA Unart,UCB Unart,UCI Unart,UCD Unart,UCR Unart,UCM Unart
Merced_Community_College_District,336,392,280,336,280,112,448,112,280,0,0,0,0,0,56,0,56,0
Marin_Community_College_District,392,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Siskiyou_Joint_Community_College_District,280,336,280,336,280,112,392,112,336,0,0,0,0,0,56,0,56,0
Imperial_Community_College_District,392,336,224,336,280,112,336,112,336,0,0,0,0,0,56,0,56,0
Kern_Community_College_District,280,392,280,336,280,112,392,112,336,0,0,0,0,0,56,0,56,0
Lassen_Community_College_District,168,168,168,168,168,112,168,56,168,0,0,0,0,0,56,0,56,0
Cabrillo_Community_College_District,392,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
San_Mateo_County_Community_College_District,392,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
West_Kern_Community_College_District,224,392,168,280,280,112,280,112,336,0,0,0,0,0,56,0,56,0
Desert_Community_College_District,336,392,280,336,280,112,392,112,336,0,0,0,0,0,56,0,56,0
San_Jose-Evergreen_Community_College_District,392,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Shasta-Tehama-Trinity_Joint_Community_College_District,280,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Palo_Verde_Community_College_District,112,56,56,112,56,56,56,56,112,0,0,0,0,0,56,0,56,0
San_Luis_Obispo_County_Community_College_District,448,336,336,280,224,112,392,168,280,0,0,0,0,0,56,0,56,0
San_Francisco_Community_College_District,392,392,280,336,224,112,392,112,280,0,0,0,0,0,56,0,56,0
Santa_Clarita_Community_College_District,448,560,336,336,280,168,392,112,392,0,0,0,0,0,56,0,56,0
Long_Beach_Community_College_District,336,392,280,336,224,112,448,112,280,0,0,0,0,0,56,0,56,0
Santa_Barbara_Community_College_District,448,504,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Coast_Community_College_District,392,392,280,336,224,112,448,112,280,0,0,0,0,0,56,0,56,0
Napa_Valley_Community_College_District,280,392,224,336,280,112,336,112,336,0,0,0,0,0,56,0,56,0
Redwoods_Community_College_District,280,280,168,336,280,112,280,112,336,0,0,0,0,0,56,0,56,0
Mendocino-Lake_Community_College_District,336,336,168,336,280,112,336,112,392,0,0,0,0,0,56,0,56,0
Santa_Monica_Community_College_District,448,392,280,336,280,112,392,112,336,0,0,0,0,0,56,0,56,0
San_Joaquin_Delta_Community_College_District,280,448,280,392,280,112,336,112,336,0,0,0,0,0,56,0,56,0
Feather_River_Community_College_District,168,224,168,168,224,112,168,56,224,0,0,0,0,0,56,0,56,0
Cerritos_Community_College_District,392,336,280,280,224,112,448,112,280,0,0,0,0,0,56,0,56,0
Riverside_Community_College_District,336,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
South_Orange_County_Community_College_District,392,392,336,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Monterey_Peninsula_Community_College_District,336,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Glendale_Community_College_District,336,392,280,336,280,224,448,112,336,0,0,0,0,0,56,0,56,0
Los_Angeles_Community_College_District,392,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
San_Diego_Community_College_District,392,392,280,336,280,112,392,112,336,0,0,0,0,0,56,0,56,0
Chaffey_Community_College_District,280,392,168,392,280,112,392,112,336,0,0,0,0,0,56,0,56,0
Compton_Community_College_District,448,336,224,280,224,112,280,56,280,0,0,0,0,0,56,0,56,0
Peralta_Community_College_District,392,392,280,336,280,112,392,112,336,0,0,0,0,0,56,0,56,0
Antelope_Valley_Community_College_District,504,392,280,336,280,168,392,56,336,0,0,0,0,0,56,0,56,0
Victor_Valley_Community_College_District,280,392,224,336,336,112,336,112,336,0,0,0,0,0,56,0,56,0
Pasadena_Area_Community_College_District,392,448,280,336,280,280,448,112,336,0,0,0,0,0,56,0,56,0
MiraCosta_Community_College_District,392,448,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Contra_Costa_Community_College_District,504,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Allan_Hancock_Joint_Community_College_District,392,336,280,280,224,112,336,112,280,0,0,0,0,0,56,0,56,0
Ventura_County_Community_College_District,392,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
North_Orange_County_Community_College_District,392,336,280,280,224,112,448,168,280,0,0,0,0,0,56,0,56,0
State_Center_Community_College_District,336,336,280,280,224,112,392,112,280,0,0,0,0,0,56,0,56,0
Chabot-Las_Positas_Community_College_District,392,392,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
Sonoma_County_Junior_College_District,336,448,280,336,280,112,448,112,336,0,0,0,0,0,56,0,56,0
