College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
Allan Hancock College,UCB,Calc1,A,1,MATH 1A,MATH 181
Allan Hancock College,UCB,Calc2,A,1,MATH 1B,MATH 182
Allan Hancock College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 184
Allan Hancock College,UCB,MultivariableCalc,A,1,MATH 53,MATH 183
Allan Hancock College,UCD,Calc1,A,1,MAT 021A,MATH 181
Allan Hancock College,UCD,Calc2,A,1,MAT 021B,MATH 182
Allan Hancock College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 183
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated
Allan Hancock College,UCD,DiscreteMath,A,1,ECS 020,CS 161
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated
Allan Hancock College,UCD,Organization,A,1,ECS 050,CS 131
Allan Hancock College,UCI,Calc1,A,1,MATH 2A,MATH 181
Allan Hancock College,UCI,Calc2,A,1,MATH 2B,MATH 182
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
Allan Hancock College,UCLA,Calc1,A,1,MATH 31A,MATH 181
Allan Hancock College,UCLA,Calc2,A,1,MATH 31B,MATH 182
Allan Hancock College,UCLA,Calc3,A,1,MATH 32A,MATH 183
Allan Hancock College,UCLA,Calc4,A,1,MATH 32B,MATH 183
Allan Hancock College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 184
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Allan Hancock College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 184
Allan Hancock College,UCM,Calc1,A,1,MATH 021,MATH 181
Allan Hancock College,UCM,Calc2,A,1,MATH 022,MATH 182
Allan Hancock College,UCM,DataStructures,A,1,CSE 030,CS 112
Allan Hancock College,UCM,LinearAlgebra,A,1,MATH 024,MATH 184
Allan Hancock College,UCM,VectorCalc,A,1,MATH 023,MATH 183
Allan Hancock College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 181; MATH 182
Allan Hancock College,UCR,Intro1,A,1,CS 10A,CS 111
Allan Hancock College,UCR,Intro2,A,1,CS 10B,CS 112
Allan Hancock College,UCSB,Calc1,A,1,MATH 3A,MATH 181
Allan Hancock College,UCSB,Calc2,A,1,MATH 3B,MATH 182
Allan Hancock College,UCSB,Comp1,A,1,CMPSC 16,CS 111
Allan Hancock College,UCSB,Comp2,A,1,CMPSC 24,CS 112
Allan Hancock College,UCSB,Comp3,A,1,CMPSC 40,CS 161
Allan Hancock College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 184
Allan Hancock College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 184
Allan Hancock College,UCSC,Calc1,A,1,MATH 19A,MATH 181
Allan Hancock College,UCSC,Calc2,A,1,MATH 19B,MATH 182
Allan Hancock College,UCSC,DataStructures,A,1,CSE 12,CS 131
Allan Hancock College,UCSC,DiscreteMath,A,1,CSE 16,CS 161
Allan Hancock College,UCSC,Intro,A,1,CSE 30,CS 112
Allan Hancock College,UCSD,Calc1,A,1,MATH 20A,MATH 181
Allan Hancock College,UCSD,Calc2,A,1,MATH 20B,MATH 182
Allan Hancock College,UCSD,Calc3,A,1,MATH 20C,MATH 183
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated
Allan Hancock College,UCSD,DiscreteMath,A,1,CSE 20,CS 161
Allan Hancock College,UCSD,Intro,A,1,CSE 8B,CS 112
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated
Allan Hancock College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 184
