College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
Butte College,UCSB,Comp1,A,1,CMPSC 16,CSCI 20
Butte College,UCSB,Comp2,A,1,CMPSC 24,CSCI 21
Butte College,UCSB,Comp3,A,1,CMPSC 40,CSCI 22
Butte College,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Butte College,UCR,Intro1,A,1,CS 10A,CSCI 20
Butte College,UCR,Intro2,A,1,CS 10B,CSCI 21
Butte College,UCM,DataStructures,A,1,CSE 030,CSCI 21
Butte College,UCSD,Intro,B,1,CSE 11,Not Articulated
Butte College,UCSD,DataStructures,A,1,CSE 12,Not Articulated
Butte College,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
Butte College,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
Butte College,UCSC,Python,A,1,CSE 30,CSCI 21
Butte College,UCSD,Intro,A,1,CSE 8B,Not Articulated
Butte College,UCD,DiscreteMath,A,1,ECS 020,CSCI 22
Butte College,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated
Butte College,UCD,ObjectOriented,A,1,ECS 036B,CSCI 21
Butte College,UCD,Algorithms,A,1,ECS 036C,Not Articulated
Butte College,UCD,Organization,A,1,ECS 050,CSCI 10
Butte College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
Butte College,UCD,Calc1,A,1,MAT 021A,MATH 30
Butte College,UCD,Calc2,A,1,MAT 021B,MATH 30; MATH 31
Butte College,UCD,Calc3,A,1,MAT 021C,MATH 31; MATH 32
Butte College,UCM,Calc1,A,1,MATH 021,MATH 30
Butte College,UCM,Calc2,A,1,MATH 022,MATH 31
Butte College,UCM,VectorCalc,A,1,MATH 023,MATH 32
Butte College,UCM,LinearAlgebra,A,1,MATH 024,MATH 40; MATH 42
Butte College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 42
Butte College,UCSC,Calc1,A,1,MATH 19A,MATH 30
Butte College,UCSC,Calc2,A,1,MATH 19B,MATH 31
Butte College,UCB,Calc1,A,1,MATH 1A,MATH 30
Butte College,UCB,Calc2,A,1,MATH 1B,MATH 31
Butte College,UCSD,Cal1,A,1,MATH 20A,MATH 30
Butte College,UCSD,Cal2,A,1,MATH 20B,MATH 31
Butte College,UCSD,Calc3,A,1,MATH 20C,MATH 32
Butte College,UCI,Calc1,A,1,MATH 2A,MATH 30
Butte College,UCI,Calc2,A,1,MATH 2B,MATH 31
Butte College,UCLA,Calc1,A,1,MATH 31A,MATH 30
Butte College,UCLA,Calc2,A,1,MATH 31B,MATH 31
Butte College,UCLA,Calc3,A,1,MATH 32A,MATH 32
Butte College,UCLA,Calc4,A,1,MATH 32B,MATH 32
Butte College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 42
Butte College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 40
Butte College,UCSB,Calc1,A,1,MATH 3A,MATH 30
Butte College,UCSB,Calc2,A,1,MATH 3B,MATH 31
Butte College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 42
Butte College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 40
Butte College,UCB,MultivariableCalc,A,1,MATH 53,MATH 32
Butte College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 40; MATH 42
Butte College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 30; MATH 31
