College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
Cabrillo College,UCB,Calc1,A,1,MATH 1A,MATH 5A,,,,
Cabrillo College,UCB,Calc2,A,1,MATH 1B,MATH 5B,,,,
Cabrillo College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 6; MATH 7,,,,
Cabrillo College,UCB,MultivariableCalc,A,1,MATH 53,MATH 5C,,,,
Cabrillo College,UCD,Algorithms,A,1,ECS 036C,CS 21,,,,
Cabrillo College,UCD,Calc1,A,1,MAT 021A,MATH 5A,,,,
Cabrillo College,UCD,Calc2,A,1,MAT 021B,MATH 5A; MATH 5B,,,,
Cabrillo College,UCD,Calc3,A,1,MAT 021C,MATH 5B; MATH 5C,,,,
Cabrillo College,UCD,DiscreteMath,A,1,ECS 020,CS 23,MATH 23,,,
Cabrillo College,UCD,ObjectOriented,A,1,ECS 036B,CS 19,,,,
Cabrillo College,UCD,Organization,A,1,ECS 050,CS 24,,,,
Cabrillo College,UCD,ProblemSolving,A,1,ECS 036A,CS 11,CS 12GP,CS 12J,CS 20P,
Cabrillo College,UCI,Calc1,A,1,MATH 2A,MATH 5A,,,,
Cabrillo College,UCI,Calc2,A,1,MATH 2B,MATH 5B,,,,
Cabrillo College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 12P; CS 20P,CS 12J; CS 20J,CS 11; CS 19,CS 11M; CS 19,
Cabrillo College,UCLA,Calc1,A,1,MATH 31A,MATH 5A,,,,
Cabrillo College,UCLA,Calc2,A,1,MATH 31B,MATH 5B,,,,
Cabrillo College,UCLA,Calc3,A,1,MATH 32A,MATH 5C,,,,
Cabrillo College,UCLA,Calc4,A,1,MATH 32B,MATH 5C,,,,
Cabrillo College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 7,,,,
Cabrillo College,UCLA,Intro,A,1,COM SCI 31,CS 11,CS 19,,,
Cabrillo College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 6,,,,
Cabrillo College,UCM,Calc1,A,1,MATH 021,MATH 5A,,,,
Cabrillo College,UCM,Calc2,A,1,MATH 022,MATH 5B,,,,
Cabrillo College,UCM,DataStructures,A,1,CSE 030,CS 21,,,,
Cabrillo College,UCM,LinearAlgebra,A,1,MATH 024,MATH 6; MATH 7,,,,
Cabrillo College,UCM,VectorCalc,A,1,MATH 023,MATH 5C,,,,
Cabrillo College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 5A; MATH 5B,,,,
Cabrillo College,UCR,Intro1,A,1,CS 10A,CS 11,CS 11M,CS 12GP,CS 12J,CS 20J
Cabrillo College,UCR,Intro2,A,1,CS 10B,CS 19,,,,
Cabrillo College,UCSB,Calc1,A,1,MATH 3A,MATH 5A,,,,
Cabrillo College,UCSB,Calc2,A,1,MATH 3B,MATH 5B,,,,
Cabrillo College,UCSB,Comp1,A,1,CMPSC 16,CS 11,CS 11M,,,
Cabrillo College,UCSB,Comp2,A,1,CMPSC 24,CS 11; CS 21,CS 11M; CS 21,,,
Cabrillo College,UCSB,Comp3,A,1,CMPSC 40,CS 23,MATH 23,,,
Cabrillo College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 7,,,,
Cabrillo College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 6,,,,
Cabrillo College,UCSC,Calc1,A,1,MATH 19A,MATH 5A,,,,
Cabrillo College,UCSC,Calc2,A,1,MATH 19B,MATH 5B,,,,
Cabrillo College,UCSC,DataStructures,A,1,CSE 12,CS 24,,,,
Cabrillo College,UCSC,DiscreteMath,A,1,CSE 16,CS 23,MATH 23,,,
Cabrillo College,UCSC,Intro,A,1,CSE 30,CS 20P,CS 21,,,
Cabrillo College,UCSD,Calc1,A,1,MATH 20A,MATH 5A,,,,
Cabrillo College,UCSD,Calc2,A,1,MATH 20B,MATH 5B,,,,
Cabrillo College,UCSD,Calc3,A,1,MATH 20C,MATH 5C,,,,
Cabrillo College,UCSD,DataStructures,A,1,CSE 12,CS 21,,,,
Cabrillo College,UCSD,DiscreteMath,A,1,CSE 20,CS 23,MATH 23,,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,,,
Cabrillo College,UCSD,Intro,B,1,CSE 11,CS 20J,,,,
Cabrillo College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 6,,,,
