College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Chabot College,UCB,Calc1,A,1,MATH 1A,MTH 1,
Chabot College,UCB,Calc2,A,1,MATH 1B,MTH 2,
Chabot College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MTH 4; MTH 6,
Chabot College,UCB,MultivariableCalc,A,1,MATH 53,MTH 3,
Chabot College,UCD,Algorithms,A,1,ECS 036C,CSCI 20,
Las Positas College,UCD,Calc1,A,1,MAT 021A,MATH 1,
Chabot College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MTH 1; MTH 2,
Chabot College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MTH 1; MTH 2,
Las Positas College,UCD,Calc2,A,1,MAT 021B,MATH 2,
Las Positas College,UCD,Calc3,A,1,MAT 021C,MATH 3,
Chabot College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MTH 3,
Chabot College,UCD,DiscreteMath,A,1,ECS 020,CSCI 28,MTH 8
Chabot College,UCD,ObjectOriented,A,1,ECS 036B,CSCI 15,CSCI 20
Chabot College,UCD,Organization,A,1,ECS 050,CSCI 21,
Chabot College,UCD,ProblemSolving,A,1,ECS 036A,CSCI 14,
Chabot College,UCI,Calc1,A,1,MATH 2A,MTH 1,MTH 15
Chabot College,UCI,Calc2,A,1,MATH 2B,MTH 2,MTH 16
Chabot College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14; CSCI 15,
Chabot College,UCLA,Calc1,A,1,MATH 31A,MTH 1,
Chabot College,UCLA,Calc2,A,1,MATH 31B,MTH 2,
Chabot College,UCLA,Calc3,A,1,MATH 32A,MTH 3,
Chabot College,UCLA,Calc4,A,1,MATH 32B,MTH 3,
Chabot College,UCLA,DifferentialEquations,A,1,MATH 33B,MTH 4,
Chabot College,UCLA,Intro,A,1,COM SCI 31,CSCI 15,
Chabot College,UCLA,LinearAlgebra,A,1,MATH 33A,MTH 6,
Chabot College,UCM,Calc1,A,1,MATH 021,MTH 1,
Chabot College,UCM,Calc2,A,1,MATH 022,MTH 2,
Chabot College,UCM,DataStructures,A,1,CSE 030,CSCI 20,
Chabot College,UCM,LinearAlgebra,A,1,MATH 024,MTH 4; MTH 6,
Chabot College,UCM,VectorCalc,A,1,MATH 023,MTH 3,
Chabot College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MTH 1; MTH 2,
Chabot College,UCR,Intro1,A,1,CS 10A,CSCI 14,
Chabot College,UCR,Intro2,A,1,CS 10B,CSCI 15,
Chabot College,UCSB,Calc1,A,1,MATH 3A,MTH 1,
Chabot College,UCSB,Calc2,A,1,MATH 3B,MTH 2,
Chabot College,UCSB,Comp1,A,1,CMPSC 16,CSCI 15,
Chabot College,UCSB,Comp2,A,1,CMPSC 24,CSCI 20,
Chabot College,UCSB,Comp3,A,1,CMPSC 40,CSCI 28,MTH 8
Chabot College,UCSB,DifferentialEquations,A,1,MATH 4B,MTH 4,
Chabot College,UCSB,LinearAlgebra,A,1,MATH 4A,MTH 6,
Chabot College,UCSC,Calc1,A,1,MATH 19A,MTH 1,
Chabot College,UCSC,Calc2,A,1,MATH 19B,MTH 2,
Chabot College,UCSC,DataStructures,A,1,CSE 12,CSCI 21,
Chabot College,UCSC,DiscreteMath,A,1,CSE 16,MTH 8,CSCI 28
Chabot College,UCSC,Python,A,1,CSE 30,CSCI 20,
Chabot College,UCSD,Cal1,A,1,MATH 20A,MTH 1,
Chabot College,UCSD,Cal2,A,1,MATH 20B,MTH 2,
Chabot College,UCSD,Calc3,A,1,MATH 20C,MTH 3,
Chabot College,UCSD,DataStructures,A,1,CSE 12,CSCI 20,
Chabot College,UCSD,DiscreteMath,A,1,CSE 20,MTH 8,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Chabot College,UCSD,Intro,B,1,CSE 11,CSCI 19A,
Chabot College,UCSD,LinearAlgebra,A,1,MATH 18,MTH 6,
