College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Chaffey College,UCB,Calc1,A,1,MATH 1A,MATH 65A,,
Chaffey College,UCB,Calc2,A,1,MATH 1B,MATH 65B,,
Chaffey College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 81; MATH 85,,
Chaffey College,UCB,MultivariableCalc,A,1,MATH 53,MATH 75,,
Chaffey College,UCD,Calc1,A,1,MAT 021A,MATH 65A,,
Chaffey College,UCD,Calc2,A,1,MAT 021B,MATH 65B,,
Chaffey College,UCD,Calc3,A,1,MAT 021C,MATH 75,,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
Chaffey College,UCD,DiscreteMath,A,1,ECS 020,COMPSCI 4,,
Chaffey College,UCD,Intro1,A,1,ECS 036A,ENGIN 30,,
Chaffey College,UCD,Intro2,A,1,ECS 036B,COMPSCI 2,,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,,
Chaffey College,UCI,Calc1,A,1,MATH 2A,MATH 65A,,
Chaffey College,UCI,Calc2,A,1,MATH 2B,MATH 65B,,
Chaffey College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMPSCI 1; COMPSCI 2,,
Chaffey College,UCLA,Calc1,A,1,MATH 31A,MATH 65A,,
Chaffey College,UCLA,Calc2,A,1,MATH 31B,MATH 65B,,
Chaffey College,UCLA,Calc3,A,1,MATH 32A,MATH 75,,
Chaffey College,UCLA,Calc4,A,1,MATH 32B,MATH 75,,
Chaffey College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 85,,
Chaffey College,UCLA,Intro,A,1,COM SCI 31,ENGIN 30; COMPSCI 1,ENGIN 30; COMPSCI 2,COMPSCI 1; COMPSCI 2
Chaffey College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 81,,
Chaffey College,UCM,Calc1,A,1,MATH 021,MATH 65A,,
Chaffey College,UCM,Calc2,A,1,MATH 022,MATH 65B,,
Chaffey College,UCM,DataStructures,A,1,CSE 030,COMPSCI 2,,
Chaffey College,UCM,LinearAlgebra,A,1,MATH 024,MATH 81; MATH 85,,
Chaffey College,UCM,VectorCalc,A,1,MATH 023,MATH 75,,
Chaffey College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 65A; MATH 65B,,
Chaffey College,UCR,Intro1,A,1,CS 10A,ENGIN 30,,
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,,
Chaffey College,UCSB,Calc1,A,1,MATH 3A,MATH 65A,,
Chaffey College,UCSB,Calc2,A,1,MATH 3B,MATH 65B,,
Chaffey College,UCSB,DataStructures,A,1,CMPSC 24,COMPSCI 2,,
Chaffey College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 85,,
Chaffey College,UCSB,DiscreteMath,A,1,CMPSC 40,COMPSCI 4,,
Chaffey College,UCSB,Intro,A,1,CMPSC 16,COMPSCI 1,ENGIN 30,
Chaffey College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 81,,
Chaffey College,UCSC,Calc1,A,1,MATH 19A,MATH 65A; MATH 65B,,
Chaffey College,UCSC,Calc2,A,1,MATH 19B,MATH 65A; MATH 65B,,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,,
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,,
Chaffey College,UCSD,Calc1,A,1,MATH 20A,MATH 65A,,
Chaffey College,UCSD,Calc2,A,1,MATH 20B,MATH 65B,,
Chaffey College,UCSD,Calc3,A,1,MATH 20C,MATH 75,,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,,
Chaffey College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 81,,
