College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Citrus College,UCSB,Comp1,A,1,CMPSC 16,CS 225,
Citrus College,UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
Citrus College,UCSB,Comp3,A,1,CMPSC 40,CS 252,
Citrus College,UCLA,Intro,A,1,COM SCI 31,CS 225,
Citrus College,UCR,Intro1,A,1,CS 10A,CS 225,
Citrus College,UCR,Intro2,A,1,CS 10B,CS 232,
Citrus College,UCM,DataStructures,A,1,CSE 030,Not Articulated,
Citrus College,UCSD,Intro,B,1,CSE 11,Not Articulated,
Citrus College,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Citrus College,UCSC,DiscreteMath,A,1,CSE 16,CS 252,
Citrus College,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Citrus College,UCSC,Python,A,1,CSE 30,Not Articulated,
Citrus College,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Citrus College,UCD,DiscreteMath,A,1,ECS 020,CS 252,
Citrus College,UCD,ProblemSolving,A,1,ECS 036A,CS 140,CS 225
Citrus College,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,
Citrus College,UCD,Algorithms,A,1,ECS 036C,Not Articulated,
Citrus College,UCD,Organization,A,1,ECS 050,CS 242,
Citrus College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Citrus College,UCD,Calc1,A,1,MAT 021A,MATH 190,
Citrus College,UCD,Calc2,A,1,MAT 021B,MATH 191,
Citrus College,UCD,Calc3,A,1,MAT 021C,MATH 210,
Citrus College,UCM,Calc1,A,1,MATH 021,MATH 190,
Citrus College,UCM,Calc2,A,1,MATH 022,MATH 191,
Citrus College,UCM,VectorCalc,A,1,MATH 023,MATH 210,
Citrus College,UCM,LinearAlgebra,A,1,MATH 024,MATH 211; MATH 212,
Citrus College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 212,
Citrus College,UCSC,Calc1,A,1,MATH 19A,MATH 190,
Citrus College,UCSC,Calc2,A,1,MATH 19B,MATH 191,
Citrus College,UCB,Calc1,A,1,MATH 1A,MATH 190,
Citrus College,UCB,Calc2,A,1,MATH 1B,MATH 191,
Citrus College,UCSD,Cal1,A,1,MATH 20A,MATH 190,
Citrus College,UCSD,Cal2,A,1,MATH 20B,MATH 191,
Citrus College,UCSD,Calc3,A,1,MATH 20C,MATH 210,
Citrus College,UCI,Calc1,A,1,MATH 2A,MATH 190,
Citrus College,UCI,Calc2,A,1,MATH 2B,MATH 191,
Citrus College,UCLA,Calc1,A,1,MATH 31A,MATH 190,
Citrus College,UCLA,Calc2,A,1,MATH 31B,MATH 191,
Citrus College,UCLA,Calc3,A,1,MATH 32A,MATH 210,
Citrus College,UCLA,Calc4,A,1,MATH 32B,MATH 210,
Citrus College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 212,
Citrus College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 211,
Citrus College,UCSB,Calc1,A,1,MATH 3A,MATH 190,
Citrus College,UCSB,Calc2,A,1,MATH 3B,MATH 191,
Citrus College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 212,
Citrus College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 211,
Citrus College,UCB,MultivariableCalc,A,1,MATH 53,MATH 210,
Citrus College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 211; MATH 212,
Citrus College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
