College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Coastline College,UCB,Calc1,A,1,MATH 1A,MATH C180,,,
Coastline College,UCB,Calc2,A,1,MATH 1B,MATH C185,,,
Coastline College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH C285,,,
Coastline College,UCB,MultivariableCalc,A,1,MATH 53,MATH C280,,,
Coastline College,UCD,Algorithms,A,1,ECS 036C,ICS C123,,,
Coastline College,UCD,Calc1,A,1,MAT 021A,MATH C180,,,
Coastline College,UCD,Calc2,A,1,MAT 021B,MATH C185,,,
Golden West College,UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH G185; MATH G280,,,
Golden West College,UCD,Calc3,A,1,MAT 021B; MAT 021C; MAT 021D,MATH G185; MATH G280,,,
Orange Coast College,UCD,Calc3,A,1,MAT 021C,MATH A280,MATH A280H,,
Coastline College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH C280,,,
Orange Coast College,UCD,DiscreteMath,A,1,ECS 020,MATH A230,,,
Orange Coast College,UCD,ObjectOriented,A,1,ECS 036B,CS A250,,,
Orange Coast College,UCD,Organization,A,1,ECS 050,CS A216,,,
Orange Coast College,UCD,ProblemSolving,A,1,ECS 036A,CS A131,CS A140,CS A150,CS A170
Coastline College,UCI,Calc1,A,1,MATH 2A,MATH C180,,,
Coastline College,UCI,Calc2,A,1,MATH 2B,MATH C185,,,
Orange Coast College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS A131; CS A231,,,
Orange Coast College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150; CS A250,,,
Coastline College,UCLA,Calc1,A,1,MATH 31A,MATH C180,,,
Coastline College,UCLA,Calc2,A,1,MATH 31B,MATH C185,,,
Coastline College,UCLA,Calc3,A,1,MATH 32A,MATH C280,,,
Coastline College,UCLA,Calc4,A,1,MATH 32B,MATH C280,,,
Coastline College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH C285,,,
Orange Coast College,UCLA,Intro,A,1,COM SCI 31,CS A150,,,
Coastline College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH C285,,,
Coastline College,UCM,Calc1,A,1,MATH 021,MATH C180,,,
Coastline College,UCM,Calc2,A,1,MATH 022,MATH C185,,,
Coastline College,UCM,DataStructures,A,1,CSE 030,ICS C123,,,
Coastline College,UCM,LinearAlgebra,A,1,MATH 024,MATH C285,,,
Coastline College,UCM,VectorCalc,A,1,MATH 023,MATH C280,,,
Coastline College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C180; MATH C185,,,
Orange Coast College,UCR,Intro1,A,1,CS 10A,CS A131,CS A140,CS A150,CS A170
Orange Coast College,UCR,Intro2,A,1,CS 10B,CS A250,,,
Coastline College,UCSB,Calc1,A,1,MATH 3A,MATH C180,,,
Coastline College,UCSB,Calc2,A,1,MATH 3B,MATH C185,,,
Orange Coast College,UCSB,Comp1,A,1,CMPSC 16,CS A150,,,
Orange Coast College,UCSB,Comp2,A,1,CMPSC 24,CS A200,,,
Coastline College,UCSB,Comp3,A,1,CMPSC 40,MATH C230,,,
Coastline College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH C285,,,
Coastline College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH C285,,,
Coastline College,UCSC,Calc1,A,1,MATH 19A,MATH C180,,,
Coastline College,UCSC,Calc2,A,1,MATH 19B,MATH C185,,,
Orange Coast College,UCSC,DataStructures,A,1,CSE 12,CS A216,,,
Golden West College,UCSC,DiscreteMath,A,1,CSE 16,CS G262,,,
Coastline College,UCSC,Python,A,1,CSE 30,ICS C123,,,
Coastline College,UCSD,Cal1,A,1,MATH 20A,MATH C180,,,
Coastline College,UCSD,Cal2,A,1,MATH 20B,MATH C185,,,
Coastline College,UCSD,Calc3,A,1,MATH 20C,MATH C280,,,
Coastline College,UCSD,DataStructures,A,1,CSE 12,ICS C123,,,
Orange Coast College,UCSD,DiscreteMath,A,1,CSE 20,MATH A230,CS A262,,
Golden West College,UCSD,Intro,A,1,CSE 8B,CS G154,,,
Orange Coast College,UCSD,Intro,B,1,CSE 11,CS A170,,,
Coastline College,UCSD,LinearAlgebra,A,1,MATH 18,MATH C285,,,
