College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
Compton College,UCB,Calc1,A,1,MATH 1A,MATH 190
Compton College,UCB,Calc2,A,1,MATH 1B,MATH 191
Compton College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270
Compton College,UCB,MultivariableCalc,A,1,MATH 53,MATH 220
Compton College,UCD,Calc1,A,1,MAT 021A,MATH 190
Compton College,UCD,Calc2,A,1,MAT 021B,MATH 190; MATH 191
Compton College,UCD,Calc3,A,1,MAT 021C,MATH 191; MATH 220
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated
Compton College,UCD,DiscreteMath,A,1,ECS 020,MATH 210
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated
Compton College,UCI,Calc1,A,1,MATH 2A,MATH 190
Compton College,UCI,Calc2,A,1,MATH 2B,MATH 191
Compton College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 101; CSCI 102
Compton College,UCLA,Calc1,A,1,MATH 31A,MATH 190
Compton College,UCLA,Calc2,A,1,MATH 31B,MATH 191
Compton College,UCLA,Calc3,A,1,MATH 32A,MATH 220
Compton College,UCLA,Calc4,A,1,MATH 32B,MATH 220
Compton College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 270
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Compton College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270
Compton College,UCM,Calc1,A,1,MATH 021,MATH 190
Compton College,UCM,Calc2,A,1,MATH 022,MATH 191
Not Articulated,UCM,DataStructures,A,1,CSE 030,Not Articulated
Compton College,UCM,LinearAlgebra,A,1,MATH 024,MATH 270
Compton College,UCM,VectorCalc,A,1,MATH 023,MATH 220
Compton College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191
Not Articulated,UCR,Intro1,A,1,CS 10A,Not Articulated
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated
Compton College,UCSB,Calc1,A,1,MATH 3A,MATH 190
Compton College,UCSB,Calc2,A,1,MATH 3B,MATH 191
Not Articulated,UCSB,Comp1,A,1,CMPSC 16,Not Articulated
Compton College,UCSB,Comp2,A,1,CMPSC 24,CSCI 102
Compton College,UCSB,Comp3,A,1,CMPSC 40,MATH 210
Compton College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 270
Compton College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270
Compton College,UCSC,Calc1,A,1,MATH 19A,MATH 190
Compton College,UCSC,Calc2,A,1,MATH 19B,MATH 191
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated
Compton College,UCSC,DiscreteMath,A,1,CSE 16,MATH 210
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated
Compton College,UCSD,Calc1,A,1,MATH 20A,MATH 190
Compton College,UCSD,Calc2,A,1,MATH 20B,MATH 191
Compton College,UCSD,Calc3,A,1,MATH 20C,MATH 220
Compton College,UCSD,DataStructures,A,1,CSE 12,CSCI 102; CSCI 103
Compton College,UCSD,DiscreteMath,A,1,CSE 20,MATH 210
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated
Compton College,UCSD,Intro,B,1,CSE 11,CSCI 103
Compton College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 270
