College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Los Medanos College,UCSB,Comp1,A,1,CMPSC 16,COMSC 044,ENGIN 020,,
Los Medanos College,UCSB,Comp2,A,1,CMPSC 24,COMSC 132,,,
Contra Costa College,UCSB,Comp3,A,1,CMPSC 40,MATH 185,,,
Los Medanos College,UCLA,Intro,A,1,COM SCI 31,Not Articulated,,,
Los Medanos College,UCR,Intro1,A,1,CS 10A,COMSC 122,COMSC 044,ENGIN 020,
Contra Costa College,UCR,Intro2,A,1,CS 10B,COMP 165; COMP 200,,,
Contra Costa College,UCM,DataStructures,A,1,CSE 030,COMP 210,,,
Contra Costa College,UCSD,Intro,B,1,CSE 11,Not Articulated,,,
Los Medanos College,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,
Diablo Valley College,UCSC,DiscreteMath,A,1,CSE 16,MATH 195,,,
Los Medanos College,UCSD,DiscreteMath,A,1,CSE 20,MATH 160,,,
Contra Costa College,UCSC,Python,A,1,CSE 30,Not Articulated,,,
Los Medanos College,UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
Contra Costa College,UCD,DiscreteMath,A,1,ECS 020,MATH 185,,,
Diablo Valley College,UCD,ProblemSolving,A,1,ECS 036A,COMSC 110,COMSC 165,COMSC 255,ENGIN 135
Los Medanos College,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,,
Contra Costa College,UCD,Algorithms,A,1,ECS 036C,COMP 210,,,
Contra Costa College,UCD,Organization,A,1,ECS 050,COMP 265,,,
Diablo Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMSC 110; COMSC 165; COMSC 200; COMSC 210,,,
Los Medanos College,UCD,Calc1,A,1,MAT 021A,MATH 210,,,
Los Medanos College,UCD,Calc2,A,1,MAT 021B,MATH 220,,,
Diablo Valley College,UCD,Calc3,A,1,MAT 021C,MATH 292,,,
Los Medanos College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 230,,,
Diablo Valley College,UCM,Calc1,A,1,MATH 021,MATH 192,,,
Diablo Valley College,UCM,Calc2,A,1,MATH 022,MATH 193,,,
Los Medanos College,UCM,VectorCalc,A,1,MATH 023,MATH 230,,,
Diablo Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 194; MATH 294,,,
Diablo Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 194,,,
Diablo Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 192,,,
Los Medanos College,UCSC,Calc2,A,1,MATH 19B,MATH 220,,,
Contra Costa College,UCB,Calc1,A,1,MATH 1A,MATH 190,,,
Contra Costa College,UCB,Calc2,A,1,MATH 1B,MATH 191,,,
Diablo Valley College,UCSD,Cal1,A,1,MATH 20A,MATH 192,,,
Los Medanos College,UCSD,Cal2,A,1,MATH 20B,MATH 220,,,
Diablo Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 292,,,
Diablo Valley College,UCI,Calc1,A,1,MATH 2A,MATH 182; MATH 192,,,
Los Medanos College,UCI,Calc2,A,1,MATH 2B,MATH 220,,,
Diablo Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 192,,,
Los Medanos College,UCLA,Calc2,A,1,MATH 31B,MATH 220,,,
Los Medanos College,UCLA,Calc3,A,1,MATH 32A,MATH 230,,,
Contra Costa College,UCLA,Calc4,A,1,MATH 32B,MATH 290,,,
Diablo Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 194,,,
Diablo Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 294,,,
Diablo Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 192,,,
Diablo Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 193,,,
Diablo Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 194,,,
Los Medanos College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 240,,,
Contra Costa College,UCB,MultivariableCalc,A,1,MATH 53,MATH 290,,,
Diablo Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 194; MATH 294,,,
Diablo Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 192; MATH 193,,,
