College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
El Camino College,UCB,Calc1,A,1,MATH 1A,MATH 190,
El Camino College,UCB,Calc2,A,1,MATH 1B,MATH 191,
El Camino College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270,
El Camino College,UCB,MultivariableCalc,A,1,MATH 53,MATH 220,
El Camino College,UCD,Calc1,A,1,MAT 021A,MATH 190,
El Camino College,UCD,Calc2,A,1,MAT 021B,MATH 190; MATH 191,
El Camino College,UCD,Calc3,A,1,MAT 021C,MATH 191; MATH 220,
El Camino College,UCD,DataStructures,A,1,ECS 036C,CSCI 2,
El Camino College,UCD,DiscreteMath,A,1,ECS 020,MATH 210,
El Camino College,UCD,Intro1,A,1,ECS 036A,CSCI 1,CSCI 3
El Camino College,UCD,Intro2,A,1,ECS 036B,CSCI 30,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
El Camino College,UCI,Calc1,A,1,MATH 2A,MATH 190,
El Camino College,UCI,Calc2,A,1,MATH 2B,MATH 191,
El Camino College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 1; CSCI 30,
El Camino College,UCLA,Calc1,A,1,MATH 31A,MATH 190,
El Camino College,UCLA,Calc2,A,1,MATH 31B,MATH 191,
El Camino College,UCLA,Calc3,A,1,MATH 32A,MATH 220,
El Camino College,UCLA,Calc4,A,1,MATH 32B,MATH 220,
El Camino College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 270,
El Camino College,UCLA,Intro,A,1,COM SCI 31,CSCI 1,CSCI 30
El Camino College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270,
El Camino College,UCM,Calc1,A,1,MATH 021,MATH 190,
El Camino College,UCM,Calc2,A,1,MATH 022,MATH 191,
El Camino College,UCM,DataStructures,A,1,CSE 030,CSCI 2,
El Camino College,UCM,LinearAlgebra,A,1,MATH 024,MATH 270,
El Camino College,UCM,VectorCalc,A,1,MATH 023,MATH 220,
El Camino College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
El Camino College,UCR,Intro1,A,1,CS 10A,CSCI 1,CSCI 3
El Camino College,UCR,Intro2,A,1,CS 10B,CSCI 30,
El Camino College,UCSB,Calc1,A,1,MATH 3A,MATH 190,
El Camino College,UCSB,Calc2,A,1,MATH 3B,MATH 191,
El Camino College,UCSB,DataStructures,A,1,CMPSC 24,CSCI 2,
El Camino College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 270,
El Camino College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 210,
El Camino College,UCSB,Intro,A,1,CMPSC 16,CSCI 1,CSCI 1H
El Camino College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270,
El Camino College,UCSC,Calc1,A,1,MATH 19A,MATH 190,
El Camino College,UCSC,Calc2,A,1,MATH 19B,MATH 191,
El Camino College,UCSC,DataStructures,A,1,CSE 12,CSCI 16,
El Camino College,UCSC,DiscreteMath,A,1,CSE 16,MATH 210,
El Camino College,UCSC,Intro,A,1,CSE 30,CSCI 2,
El Camino College,UCSD,Calc1,A,1,MATH 20A,MATH 190,
El Camino College,UCSD,Calc2,A,1,MATH 20B,MATH 191,
El Camino College,UCSD,Calc3,A,1,MATH 20C,MATH 220,
El Camino College,UCSD,DataStructures,A,1,CSE 12,CSCI 2,
El Camino College,UCSD,DiscreteMath,A,1,CSE 20,MATH 210,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
El Camino College,UCSD,Intro,B,1,CSE 11,CSCI 3,
El Camino College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 270,
