College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
Feather River College,UCB,Calc1,A,1,MATH 1A,MATH 218
Feather River College,UCB,Calc2,A,1,MATH 1B,MATH 220
Not Articulated,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,Not Articulated
Feather River College,UCB,MultivariableCalc,A,1,MATH 53,MATH 222
Feather River College,UCD,Calc1,A,1,MAT 021A,MATH 218
Feather River College,UCD,Calc2,A,1,MAT 021B,MATH 220
Not Articulated,UCD,Calc3,A,1,MAT 021C,Not Articulated
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated
Feather River College,UCI,Calc1,A,1,MATH 2A,MATH 218
Feather River College,UCI,Calc2,A,1,MATH 2B,MATH 220
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
Feather River College,UCLA,Calc1,A,1,MATH 31A,MATH 218
Feather River College,UCLA,Calc2,A,1,MATH 31B,MATH 220
Not Articulated,UCLA,Calc3,A,1,MATH 32A,Not Articulated
Not Articulated,UCLA,Calc4,A,1,MATH 32B,Not Articulated
Not Articulated,UCLA,DifferentialEquations,A,1,MATH 33B,Not Articulated
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Not Articulated,UCLA,LinearAlgebra,A,1,MATH 33A,Not Articulated
Feather River College,UCM,Calc1,A,1,MATH 021,MATH 218
Feather River College,UCM,Calc2,A,1,MATH 022,MATH 220
Not Articulated,UCM,DataStructures,A,1,CSE 030,Not Articulated
Not Articulated,UCM,LinearAlgebra,A,1,MATH 024,Not Articulated
Feather River College,UCM,VectorCalc,A,1,MATH 023,MATH 222
Feather River College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 218; MATH 220
Not Articulated,UCR,Intro1,A,1,CS 10A,Not Articulated
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated
Feather River College,UCSB,Calc1,A,1,MATH 3A,MATH 218
Feather River College,UCSB,Calc2,A,1,MATH 3B,MATH 220
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated
Feather River College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 224
Not Articulated,UCSB,DiscreteMath,A,1,CMPSC 40,Not Articulated
Not Articulated,UCSB,Intro,A,1,CMPSC 16,Not Articulated
Not Articulated,UCSB,LinearAlgebra,A,1,MATH 4A,Not Articulated
Feather River College,UCSC,Calc1,A,1,MATH 19A,MATH 218
Feather River College,UCSC,Calc2,A,1,MATH 19B,MATH 220
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated
Feather River College,UCSD,Calc1,A,1,MATH 20A,MATH 218; MATH 220
Feather River College,UCSD,Calc2,A,1,MATH 20B,MATH 220
Not Articulated,UCSD,Calc3,A,1,MATH 20C,Not Articulated
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated
Not Articulated,UCSD,LinearAlgebra,A,1,MATH 18,Not Articulated
