College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Gavilan College,UCB,Calc1,A,1,MATH 1A,MATH 1A,,,
Gavilan College,UCB,Calc2,A,1,MATH 1B,MATH 1B,,,
Gavilan College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2; MATH 2C,,,
Gavilan College,UCB,MultivariableCalc,A,1,MATH 53,MATH 1C,,,
Gavilan College,UCD,Algorithms,A,1,ECS 036C,CSIS 27,,,
Gavilan College,UCD,Calc1,A,1,MAT 021A,MATH 1A,,,
Gavilan College,UCD,Calc2,A,1,MAT 021B,MATH 1B,,,
Gavilan College,UCD,Calc3,A,1,MAT 021C,MATH 1C,,,
Gavilan College,UCD,DiscreteMath,A,1,ECS 020,CSIS 26,,,
Not Articulated,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,,
Gavilan College,UCD,Organization,A,1,ECS 050,CSIS 12; CSIS 12L,,,
Gavilan College,UCD,ProblemSolving,A,1,ECS 036A,CSIS 45,,,
Gavilan College,UCI,Calc1,A,1,MATH 2A,MATH 1A,,,
Gavilan College,UCI,Calc2,A,1,MATH 2B,MATH 1B,,,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
Gavilan College,UCLA,Calc1,A,1,MATH 31A,MATH 1A,,,
Gavilan College,UCLA,Calc2,A,1,MATH 31B,MATH 1B,,,
Gavilan College,UCLA,Calc3,A,1,MATH 32A,MATH 1C,,,
Gavilan College,UCLA,Calc4,A,1,MATH 32B,MATH 1C,,,
Gavilan College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2C,,,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,,,
Gavilan College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 2,,,
Gavilan College,UCM,Calc1,A,1,MATH 021,MATH 1A,,,
Gavilan College,UCM,Calc2,A,1,MATH 022,MATH 1B,,,
Gavilan College,UCM,DataStructures,A,1,CSE 030,CSIS 46,,,
Gavilan College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2; MATH 2C,,,
Gavilan College,UCM,VectorCalc,A,1,MATH 023,MATH 1C,,,
Gavilan College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,,,
Gavilan College,UCR,Intro1,A,1,CS 10A,CSIS 18; CSIS 18L,CSIS 24,CSIS 43,CSIS 45
Gavilan College,UCR,Intro2,A,1,CS 10B,CSIS 46,,,
Gavilan College,UCSB,Calc1,A,1,MATH 3A,MATH 1A,,,
Gavilan College,UCSB,Calc2,A,1,MATH 3B,MATH 1B,,,
Gavilan College,UCSB,Comp1,A,1,CMPSC 16,CSIS 45,,,
Gavilan College,UCSB,Comp2,A,1,CMPSC 24,CSIS 46,,,
Gavilan College,UCSB,Comp3,A,1,CMPSC 40,CSIS 26,MATH 16,,
Gavilan College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2C,,,
Gavilan College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2,,,
Gavilan College,UCSC,Calc1,A,1,MATH 19A,MATH 1A,,,
Gavilan College,UCSC,Calc2,A,1,MATH 19B,MATH 1B,,,
Gavilan College,UCSC,DataStructures,A,1,CSE 12,CSIS 12; CSIS 12L,,,
Gavilan College,UCSC,DiscreteMath,A,1,CSE 16,CSIS 26,,,
Gavilan College,UCSC,Intro,A,1,CSE 30,CSIS 46,,,
Gavilan College,UCSD,Calc1,A,1,MATH 20A,MATH 1A,,,
Gavilan College,UCSD,Calc2,A,1,MATH 20B,MATH 1B,,,
Gavilan College,UCSD,Calc3,A,1,MATH 20C,MATH 1C,,,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,
Gavilan College,UCSD,DiscreteMath,A,1,CSE 20,CSIS 26,,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,,,
Gavilan College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 2,,,
