College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Hartnell College,UCB,Calc1,A,1,MATH 1A,MAT 3A,
Hartnell College,UCB,Calc2,A,1,MATH 1B,MAT 3B,
Hartnell College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 4; MAT 5,
Hartnell College,UCB,MultivariableCalc,A,1,MATH 53,MAT 3C,
Hartnell College,UCD,Calc1,A,1,MAT 021A,MAT 3A,
Hartnell College,UCD,Calc2,A,1,MAT 021B,MAT 3B,
Hartnell College,UCD,Calc3,A,1,MAT 021C,MAT 3C,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Hartnell College,UCD,DiscreteMath,A,1,ECS 020,CSS 7,MAT 7
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated,
Hartnell College,UCD,Intro2,A,1,ECS 036B,CSS 2A,CSS 2B
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
Hartnell College,UCI,Calc1,A,1,MATH 2A,MAT 3A,
Hartnell College,UCI,Calc2,A,1,MATH 2B,MAT 3B,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Hartnell College,UCLA,Calc1,A,1,MATH 31A,MAT 3A,
Hartnell College,UCLA,Calc2,A,1,MATH 31B,MAT 3B,
Hartnell College,UCLA,Calc3,A,1,MATH 32A,MAT 3C,
Hartnell College,UCLA,Calc4,A,1,MATH 32B,MAT 3C,
Hartnell College,UCLA,DifferentialEquations,A,1,MATH 33B,MAT 5,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Hartnell College,UCLA,LinearAlgebra,A,1,MATH 33A,MAT 4,
Hartnell College,UCM,Calc1,A,1,MATH 021,MAT 3A,
Hartnell College,UCM,Calc2,A,1,MATH 022,MAT 3B,
Hartnell College,UCM,DataStructures,A,1,CSE 030,CSS 2B,
Hartnell College,UCM,LinearAlgebra,A,1,MATH 024,MAT 4; MAT 5,
Hartnell College,UCM,VectorCalc,A,1,MATH 023,MAT 3C,
Hartnell College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A; MAT 3B,
Hartnell College,UCR,Intro1,A,1,CS 10A,CSS 2A,CSS 4
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,
Hartnell College,UCSB,Calc1,A,1,MATH 3A,MAT 3A,
Hartnell College,UCSB,Calc2,A,1,MATH 3B,MAT 3B,
Hartnell College,UCSB,Comp1,A,1,CMPSC 16,CSS 2A,
Hartnell College,UCSB,Comp2,A,1,CMPSC 24,CSS 2B,
Hartnell College,UCSB,Comp3,A,1,CMPSC 40,CSS 7,MAT 7
Hartnell College,UCSB,DifferentialEquations,A,1,MATH 4B,MAT 5,
Hartnell College,UCSB,LinearAlgebra,A,1,MATH 4A,MAT 4,
Hartnell College,UCSC,Calc1,A,1,MATH 19A,MAT 3A,
Hartnell College,UCSC,Calc2,A,1,MATH 19B,MAT 3B,
Hartnell College,UCSC,DataStructures,A,1,CSE 12,CSS 3,
Hartnell College,UCSC,DiscreteMath,A,1,CSE 16,CSS 7,
Hartnell College,UCSC,Intro,A,1,CSE 30,CSS 2B; CSS 4,
Hartnell College,UCSD,Calc1,A,1,MATH 20A,MAT 3A,
Hartnell College,UCSD,Calc2,A,1,MATH 20B,MAT 3B,
Hartnell College,UCSD,Calc3,A,1,MATH 20C,MAT 3C,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Hartnell College,UCSD,DiscreteMath,A,1,CSE 20,MAT 7,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Hartnell College,UCSD,LinearAlgebra,A,1,MATH 18,MAT 4,
