College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Imperial Valley College,UCB,Calc1,A,1,MATH 1A,MATH 192,
Imperial Valley College,UCB,Calc2,A,1,MATH 1B,MATH 194,
Imperial Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 220; MATH 230,
Imperial Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 210,
Imperial Valley College,UCD,Calc1,A,1,MAT 021A,MATH 192,
Imperial Valley College,UCD,Calc2,A,1,MAT 021B,MATH 194,
Imperial Valley College,UCD,Calc3,A,1,MAT 021C,MATH 210,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Imperial Valley College,UCD,DiscreteMath,A,1,ECS 020,MATH 240,
Imperial Valley College,UCD,Intro1,A,1,ECS 036A,CIS 210,
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
Imperial Valley College,UCI,Calc1,A,1,MATH 2A,MATH 192,
Imperial Valley College,UCI,Calc2,A,1,MATH 2B,MATH 194,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Imperial Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 192,
Imperial Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 194,
Imperial Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 210,
Imperial Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 210,
Imperial Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 220,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Imperial Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 230,
Imperial Valley College,UCM,Calc1,A,1,MATH 021,MATH 192,
Imperial Valley College,UCM,Calc2,A,1,MATH 022,MATH 194,
Imperial Valley College,UCM,DataStructures,A,1,CSE 030,CS 231,
Imperial Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 220; MATH 230,
Imperial Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 210,
Imperial Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 192; MATH 194,
Not Articulated,UCR,Intro1,A,1,CS 10A,Not Articulated,
Imperial Valley College,UCR,Intro2,A,1,CS 10B,CS 221,
Imperial Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 192,
Imperial Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 194,
Not Articulated,UCSB,Comp1,A,1,CMPSC 16,Not Articulated,
Not Articulated,UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
Imperial Valley College,UCSB,Comp3,A,1,CMPSC 40,CS 240,MATH 240
Imperial Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 220,
Imperial Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 230,
Imperial Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 192,
Imperial Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 194,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,
Imperial Valley College,UCSC,DiscreteMath,A,1,CSE 16,MATH 240,
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,
Imperial Valley College,UCSD,Calc1,A,1,MATH 20A,MATH 192,
Imperial Valley College,UCSD,Calc2,A,1,MATH 20B,MATH 194,
Imperial Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 210,
Imperial Valley College,UCSD,DataStructures,A,1,CSE 12,CS 231,
Imperial Valley College,UCSD,DiscreteMath,A,1,CSE 20,CS 240,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Imperial Valley College,UCSD,Intro,B,1,CSE 11,CS 221,
Imperial Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 230,
