College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Porterville College,UCB,Calc1,A,1,MATH 1A,MATH P103,
Porterville College,UCB,Calc2,A,1,MATH 1B,MATH P104,
Porterville College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH P207; MATH P208,
Porterville College,UCB,MultivariableCalc,A,1,MATH 53,MATH P205,
Not Articulated,UCD,Algorithms,A,1,ECS 036C,Not Articulated,
Porterville College,UCD,Calc1,A,1,MAT 021A,MATH P103,
Bakersfield College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH B6A; MATH B6B,
Bakersfield College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH B6A; MATH B6B,
Porterville College,UCD,Calc2,A,1,MAT 021B,MATH P104,
Porterville College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH P205,
Bakersfield College,UCD,DiscreteMath,A,1,ECS 020,COMP B14,
Bakersfield College,UCD,ObjectOriented,A,1,ECS 036B,COMP B12,
Cerro Coso Community College,UCD,Organization,A,1,ECS 050,CSCI C257,
Not Articulated,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,
Porterville College,UCI,Calc1,A,1,MATH 2A,MATH P103,
Porterville College,UCI,Calc2,A,1,MATH 2B,MATH P104,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Porterville College,UCLA,Calc1,A,1,MATH 31A,MATH P103,
Porterville College,UCLA,Calc2,A,1,MATH 31B,MATH P104,
Porterville College,UCLA,Calc3,A,1,MATH 32A,MATH P205,
Porterville College,UCLA,Calc4,A,1,MATH 32B,MATH P205,
Porterville College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH P207,
Bakersfield College,UCLA,Intro,A,1,COM SCI 31,COMP B12,
Porterville College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH P208,
Porterville College,UCM,Calc1,A,1,MATH 021,MATH P103,
Porterville College,UCM,Calc2,A,1,MATH 022,MATH P104,
Bakersfield College,UCM,DataStructures,A,1,CSE 030,COMP B12,
Porterville College,UCM,LinearAlgebra,A,1,MATH 024,MATH P207; MATH P208,
Porterville College,UCM,VectorCalc,A,1,MATH 023,MATH P205,
Porterville College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH P103; MATH P104,
Bakersfield College,UCR,Intro1,A,1,CS 10A,ENGR B19C,COMP B11
Bakersfield College,UCR,Intro2,A,1,CS 10B,COMP B12,
Porterville College,UCSB,Calc1,A,1,MATH 3A,MATH P103,
Porterville College,UCSB,Calc2,A,1,MATH 3B,MATH P104,
Porterville College,UCSB,Comp1,A,1,CMPSC 16,ENGR P132,
Not Articulated,UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
Bakersfield College,UCSB,Comp3,A,1,CMPSC 40,COMP B14,
Porterville College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH P207,
Porterville College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH P208,
Bakersfield College,UCSC,Calc1,A,1,MATH 19A,MATH B6A,
Bakersfield College,UCSC,Calc2,A,1,MATH 19B,MATH B6B,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,
Bakersfield College,UCSC,DiscreteMath,A,1,CSE 16,COMP B14,
Bakersfield College,UCSC,Python,A,1,CSE 30,COMP B12,
Porterville College,UCSD,Cal1,A,1,MATH 20A,MATH P103,
Porterville College,UCSD,Cal2,A,1,MATH 20B,MATH P104,
Porterville College,UCSD,Calc3,A,1,MATH 20C,MATH P205,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Porterville College,UCSD,LinearAlgebra,A,1,MATH 18,MATH P208,
