College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Long Beach City College,UCB,Calc1,A,1,MATH 1A,MATH 60,MATH 60H
Long Beach City College,UCB,Calc2,A,1,MATH 1B,MATH 70,MATH 70H
Long Beach City College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 84,
Long Beach City College,UCB,MultivariableCalc,A,1,MATH 53,MATH 80,
Long Beach City College,UCD,Calc1,A,1,MAT 021A,MATH 60,MATH 60H
Long Beach City College,UCD,Calc2,A,1,MAT 021B,MATH 70,MATH 70H
Long Beach City College,UCD,Calc3,A,1,MAT 021C,MATH 80,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Long Beach City College,UCD,DiscreteMath,A,1,ECS 020,MATH 55,
Long Beach City College,UCD,Intro1,A,1,ECS 036A,CS 11,CS 21
Long Beach City College,UCD,Intro2,A,1,ECS 036B,CS 12,
Long Beach City College,UCD,Organization,A,1,ECS 050,CS 51,
Long Beach City College,UCI,Calc1,A,1,MATH 2A,MATH 60,MATH 60H
Long Beach City College,UCI,Calc2,A,1,MATH 2B,MATH 70,MATH 70H
Long Beach City College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 11; CS 12,
Long Beach City College,UCLA,Calc1,A,1,MATH 31A,MATH 60,MATH 60H
Long Beach City College,UCLA,Calc2,A,1,MATH 31B,MATH 70,
Long Beach City College,UCLA,Calc3,A,1,MATH 32A,MATH 80,
Long Beach City College,UCLA,Calc4,A,1,MATH 32B,MATH 80,
Long Beach City College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 84,
Long Beach City College,UCLA,Intro,A,1,COM SCI 31,CS 11; CS 12,
Long Beach City College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 84,
Long Beach City College,UCM,Calc1,A,1,MATH 021,MATH 60,
Long Beach City College,UCM,Calc2,A,1,MATH 022,MATH 70,
Long Beach City College,UCM,DataStructures,A,1,CSE 030,CS 22,
Long Beach City College,UCM,LinearAlgebra,A,1,MATH 024,MATH 84,
Long Beach City College,UCM,VectorCalc,A,1,MATH 023,MATH 80,
Long Beach City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 60; MATH 70,
Long Beach City College,UCR,Intro1,A,1,CS 10A,CS 11,ENGR 54
Long Beach City College,UCR,Intro2,A,1,CS 10B,CS 12,
Long Beach City College,UCSB,Calc1,A,1,MATH 3A,MATH 60,MATH 60H
Long Beach City College,UCSB,Calc2,A,1,MATH 3B,MATH 70,MATH 70H
Long Beach City College,UCSB,Comp1,A,1,CMPSC 16,CS 11,ENGR 54
Long Beach City College,UCSB,Comp2,A,1,CMPSC 24,CS 12; CS 22,
Long Beach City College,UCSB,Comp3,A,1,CMPSC 40,MATH 55,
Long Beach City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 84,
Long Beach City College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 84,
Long Beach City College,UCSC,Calc1,A,1,MATH 19A,MATH 60,
Long Beach City College,UCSC,Calc2,A,1,MATH 19B,MATH 70,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,
Long Beach City College,UCSC,DiscreteMath,A,1,CSE 16,MATH 55,
Long Beach City College,UCSC,Intro,A,1,CSE 30,CS 22,
Long Beach City College,UCSD,Calc1,A,1,MATH 20A,MATH 60,
Long Beach City College,UCSD,Calc2,A,1,MATH 20B,MATH 70,
Long Beach City College,UCSD,Calc3,A,1,MATH 20C,MATH 80,
Long Beach City College,UCSD,DataStructures,A,1,CSE 12,CS 22,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Long Beach City College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 84,
