College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
College of Marin,UCB,Calc1,A,1,MATH 1A,MATH 123,
College of Marin,UCB,Calc2,A,1,MATH 1B,MATH 124,
College of Marin,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 116; MATH 224,
College of Marin,UCB,MultivariableCalc,A,1,MATH 53,MATH 223,
College of Marin,UCD,Calc1,A,1,MAT 021A,MATH 123,
College of Marin,UCD,Calc2,A,1,MAT 021B,MATH 124,
College of Marin,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 223,
College of Marin,UCD,DataStructures,A,1,ECS 036C,COMP 220,
College of Marin,UCD,DiscreteMath,A,1,ECS 020,COMP 117,MATH 117
College of Marin,UCD,Intro1,A,1,ECS 036A,COMP 130,COMP 135
College of Marin,UCD,Intro2,A,1,ECS 036B,COMP 232,COMP 235
College of Marin,UCD,Organization,A,1,ECS 050,COMP 160,
College of Marin,UCI,Calc1,A,1,MATH 2A,MATH 123,
College of Marin,UCI,Calc2,A,1,MATH 2B,MATH 124,
College of Marin,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 135; COMP 232,COMP 130; COMP 235
College of Marin,UCLA,Calc1,A,1,MATH 31A,MATH 123,
College of Marin,UCLA,Calc2,A,1,MATH 31B,MATH 124,
College of Marin,UCLA,Calc3,A,1,MATH 32A,MATH 223,
College of Marin,UCLA,Calc4,A,1,MATH 32B,MATH 223,
College of Marin,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 224,
College of Marin,UCLA,Intro,A,1,COM SCI 31,COMP 235,
College of Marin,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 116,
College of Marin,UCM,Calc1,A,1,MATH 021,MATH 123,
College of Marin,UCM,Calc2,A,1,MATH 022,MATH 124,
College of Marin,UCM,DataStructures,A,1,CSE 030,COMP 220,
College of Marin,UCM,LinearAlgebra,A,1,MATH 024,MATH 116; MATH 224,
College of Marin,UCM,VectorCalc,A,1,MATH 023,MATH 223,
College of Marin,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 123; MATH 124,
College of Marin,UCR,Intro1,A,1,CS 10A,COMP 130,COMP 135
College of Marin,UCR,Intro2,A,1,CS 10B,COMP 235,
College of Marin,UCSB,Calc1,A,1,MATH 3A,MATH 123,
College of Marin,UCSB,Calc2,A,1,MATH 3B,MATH 124,
College of Marin,UCSB,Comp1,A,1,CMPSC 16,COMP 130,
College of Marin,UCSB,Comp2,A,1,CMPSC 24,COMP 220,
College of Marin,UCSB,Comp3,A,1,CMPSC 40,COMP 117,MATH 117
College of Marin,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 224,
College of Marin,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 116,
College of Marin,UCSC,Calc1,A,1,MATH 19A,MATH 123,
College of Marin,UCSC,Calc2,A,1,MATH 19B,MATH 124,
College of Marin,UCSC,DataStructures,A,1,CSE 12,COMP 160,
College of Marin,UCSC,DiscreteMath,A,1,CSE 16,COMP 117,MATH 117
College of Marin,UCSC,Intro,A,1,CSE 30,COMP 220,
College of Marin,UCSD,Calc1,A,1,MATH 20A,MATH 123,
College of Marin,UCSD,Calc2,A,1,MATH 20B,MATH 124,
College of Marin,UCSD,Calc3,A,1,MATH 20C,MATH 223,
College of Marin,UCSD,DataStructures,A,1,CSE 12,COMP 220,
College of Marin,UCSD,DiscreteMath,A,1,CSE 20,COMP 117,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
College of Marin,UCSD,LinearAlgebra,A,1,MATH 18,MATH 116,
