College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Merced College,UCB,Calc1,A,1,MATH 1A,MATH -04A,,
Merced College,UCB,Calc2,A,1,MATH 1B,MATH -04B,,
Merced College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH -06; MATH -08,,
Merced College,UCB,MultivariableCalc,A,1,MATH 53,MATH -04C,,
Merced College,UCD,Calc1,A,1,MAT 021A,MATH -04A,,
Merced College,UCD,Calc2,A,1,MAT 021B,MATH -04B,,
Merced College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH -04C,,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
Merced College,UCD,DiscreteMath,A,1,ECS 020,CPSC -07,MATH -07,
Merced College,UCD,Intro1,A,1,ECS 036A,CPSC -06,CPSC -14,ENGR -14
Merced College,UCD,Intro2,A,1,ECS 036B,CPSC -39,,
Merced College,UCD,Organization,A,1,ECS 050,CPSC -42,,
Merced College,UCI,Calc1,A,1,MATH 2A,MATH -04A,,
Merced College,UCI,Calc2,A,1,MATH 2B,MATH -04B,,
Merced College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CTIS -04; CTIS -14,,
Merced College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14; CPSC -25,,
Merced College,UCLA,Calc1,A,1,MATH 31A,MATH -04A,,
Merced College,UCLA,Calc2,A,1,MATH 31B,MATH -04B,,
Merced College,UCLA,Calc3,A,1,MATH 32A,MATH -04C,,
Merced College,UCLA,Calc4,A,1,MATH 32B,MATH -04C,,
Merced College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH -06,,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
Merced College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH -08,,
Merced College,UCM,Calc1,A,1,MATH 021,MATH -04A,MATH -04AS,
Merced College,UCM,Calc2,A,1,MATH 022,MATH -04B,,
Merced College,UCM,DataStructures,A,1,CSE 030,CPSC -39,,
Merced College,UCM,LinearAlgebra,A,1,MATH 024,MATH -06; MATH -08,MATH -09,
Merced College,UCM,VectorCalc,A,1,MATH 023,MATH -04C,,
Merced College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A; MATH -04B,,
Merced College,UCR,Intro1,A,1,CS 10A,CPSC -14,,
Merced College,UCR,Intro2,A,1,CS 10B,CPSC -39,,
Merced College,UCSB,Calc1,A,1,MATH 3A,MATH -04A,MATH -04AS,
Merced College,UCSB,Calc2,A,1,MATH 3B,MATH -04B,,
Merced College,UCSB,Comp1,A,1,CMPSC 16,CPSC -14,ENGR -14,
Not Articulated,UCSB,Comp2,A,1,CMPSC 24,Not Articulated,,
Merced College,UCSB,Comp3,A,1,CMPSC 40,CPSC -07,MATH -07,
Merced College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH -06,MATH -09,
Merced College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH -08,MATH -09,
Merced College,UCSC,Calc1,A,1,MATH 19A,MATH -04A,,
Merced College,UCSC,Calc2,A,1,MATH 19B,MATH -04B,,
Merced College,UCSC,DataStructures,A,1,CSE 12,CPSC -42,,
Merced College,UCSC,DiscreteMath,A,1,CSE 16,CPSC -07,MATH -07,
Merced College,UCSC,Intro,A,1,CSE 30,CPSC -39,,
Merced College,UCSD,Calc1,A,1,MATH 20A,MATH -04A,,
Merced College,UCSD,Calc2,A,1,MATH 20B,MATH -04B,,
Merced College,UCSD,Calc3,A,1,MATH 20C,MATH -04C,,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
Merced College,UCSD,DiscreteMath,A,1,CSE 20,MATH -07,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,,
Merced College,UCSD,LinearAlgebra,A,1,MATH 18,MATH -08,,
