College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
MiraCosta College,UCB,Calc1,A,1,MATH 1A,MATH 150,MATH 150H,
MiraCosta College,UCB,Calc2,A,1,MATH 1B,MATH 155,,
MiraCosta College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 265; MATH 270,MATH 265; MATH 270H,
MiraCosta College,UCB,MultivariableCalc,A,1,MATH 53,MATH 260,MATH 260H,
MiraCosta College,UCD,Algorithms,A,1,ECS 036C,CS 113,,
MiraCosta College,UCD,Calc1,A,1,MAT 021A,MATH 150,MATH 150H,
MiraCosta College,UCD,Calc2,A,1,MAT 021B,MATH 155,,
MiraCosta College,UCD,Calc3,A,1,MAT 021C,MATH 260,MATH 260H,
MiraCosta College,UCD,DiscreteMath,A,1,ECS 020,CS 226,MATH 226,
MiraCosta College,UCD,ObjectOriented,A,1,ECS 036B,CS 112,CS 151,
MiraCosta College,UCD,Organization,A,1,ECS 050,CS 220,,
MiraCosta College,UCD,ProblemSolving,A,1,ECS 036A,CS 111,CS 150,CS 138
MiraCosta College,UCI,Calc1,A,1,MATH 2A,MATH 150,MATH 150H,
MiraCosta College,UCI,Calc2,A,1,MATH 2B,MATH 155,MATH 155H,
MiraCosta College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 138; CS 139,,
MiraCosta College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111; CS 112,CS 150; CS 151,
MiraCosta College,UCLA,Calc1,A,1,MATH 31A,MATH 150,MATH 150H,
MiraCosta College,UCLA,Calc2,A,1,MATH 31B,MATH 155,MATH 155H,
MiraCosta College,UCLA,Calc3,A,1,MATH 32A,MATH 260,MATH 260H,
MiraCosta College,UCLA,Calc4,A,1,MATH 32B,MATH 260,MATH 260H,
MiraCosta College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 265,MATH 265H,
MiraCosta College,UCLA,Intro,A,1,COM SCI 31,CS 150,,
MiraCosta College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270,MATH 270H,
MiraCosta College,UCM,Calc1,A,1,MATH 021,MATH 150,MATH 150H,
MiraCosta College,UCM,Calc2,A,1,MATH 022,MATH 155,MATH 155H,
MiraCosta College,UCM,DataStructures,A,1,CSE 030,CS 113,,
MiraCosta College,UCM,LinearAlgebra,A,1,MATH 024,MATH 265; MATH 270,,
MiraCosta College,UCM,VectorCalc,A,1,MATH 023,MATH 260,MATH 260H,
MiraCosta College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 155,,
MiraCosta College,UCR,Intro1,A,1,CS 10A,CS 111,CS 138,CS 150
MiraCosta College,UCR,Intro2,A,1,CS 10B,CS 112,CS 151,
MiraCosta College,UCSB,Calc1,A,1,MATH 3A,MATH 150,MATH 150H,MATH 150S
MiraCosta College,UCSB,Calc2,A,1,MATH 3B,MATH 155,MATH 155H,
MiraCosta College,UCSB,Comp1,A,1,CMPSC 16,CS 150,,
MiraCosta College,UCSB,Comp2,A,1,CMPSC 24,CS 113; CS 151,,
MiraCosta College,UCSB,Comp3,A,1,CMPSC 40,CS 226,MATH 226,MATH 226H
MiraCosta College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 265,MATH 265H,
MiraCosta College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270,MATH 270H,
MiraCosta College,UCSC,Calc1,A,1,MATH 19A,MATH 150,MATH 150H,
MiraCosta College,UCSC,Calc2,A,1,MATH 19B,MATH 155,MATH 155H,
MiraCosta College,UCSC,DataStructures,A,1,CSE 12,CS 220,,
MiraCosta College,UCSC,DiscreteMath,A,1,CSE 16,CS 226,MATH 226,
MiraCosta College,UCSC,Intro,A,1,CSE 30,CS 113,,
MiraCosta College,UCSD,Calc1,A,1,MATH 20A,MATH 150,MATH 150H,
MiraCosta College,UCSD,Calc2,A,1,MATH 20B,MATH 155,MATH 155H,
MiraCosta College,UCSD,Calc3,A,1,MATH 20C,MATH 260,MATH 260H,
MiraCosta College,UCSD,DataStructures,A,1,CSE 12,CS 113,,
MiraCosta College,UCSD,DiscreteMath,A,1,CSE 20,MATH 226,CS 226,
MiraCosta College,UCSD,Intro,A,1,CSE 8B,CS 112,,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,,
MiraCosta College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 270,MATH 270H,
