College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
Mount San Antonio College,UCB,Calc1,A,1,MATH 1A,MATH 180,,,,
Mount San Antonio College,UCB,Calc2,A,1,MATH 1B,MATH 181,,,,
Mount San Antonio College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 260; MATH 290,MATH 285,,,
Mount San Antonio College,UCB,MultivariableCalc,A,1,MATH 53,MATH 280,,,,
Mount San Antonio College,UCD,Calc1,A,1,MAT 021A,MATH 180,,,,
Mount San Antonio College,UCD,Calc2,A,1,MAT 021B,MATH 181,,,,
Mount San Antonio College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 280,,,,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,,,
Mount San Antonio College,UCD,DiscreteMath,A,1,ECS 020,CSCI 190,,,,
Mount San Antonio College,UCD,Intro1,A,1,ECS 036A,CISP 31,CISP 31L,,,
Mount San Antonio College,UCD,Intro2,A,1,ECS 036B,CISP 34; CISP 34L,CSCI 140,,,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,,,,
Mount San Antonio College,UCI,Calc1,A,1,MATH 2A,MATH 180,,,,
Mount San Antonio College,UCI,Calc2,A,1,MATH 2B,MATH 181,,,,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,,
Mount San Antonio College,UCLA,Calc1,A,1,MATH 31A,MATH 180,,,,
Mount San Antonio College,UCLA,Calc2,A,1,MATH 31B,MATH 181,,,,
Mount San Antonio College,UCLA,Calc3,A,1,MATH 32A,MATH 280,,,,
Mount San Antonio College,UCLA,Calc4,A,1,MATH 32B,MATH 280,,,,
Mount San Antonio College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 285,MATH 290,,,
Mount San Antonio College,UCLA,Intro,A,1,COM SCI 31,CSCI 140,CISP 31,,,
Mount San Antonio College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 260,MATH 285,ENGR 285,,
Mount San Antonio College,UCM,Calc1,A,1,MATH 021,MATH 180,,,,
Mount San Antonio College,UCM,Calc2,A,1,MATH 022,MATH 181,,,,
Mount San Antonio College,UCM,DataStructures,A,1,CSE 030,CSCI 220; CSCI 230,CSCI 240,,,
Mount San Antonio College,UCM,LinearAlgebra,A,1,MATH 024,MATH 260; MATH 290,MATH 285,,,
Mount San Antonio College,UCM,VectorCalc,A,1,MATH 023,MATH 280,,,,
Mount San Antonio College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 181,,,,
Mount San Antonio College,UCR,Intro1,A,1,CS 10A,CISP 31; CISP 31L,CISP 34; CISP 34L,CSCI 110,CSCI 140,CSCI 145
Mount San Antonio College,UCR,Intro2,A,1,CS 10B,CISP 21,CSCI 140,,,
Mount San Antonio College,UCSB,Calc1,A,1,MATH 3A,MATH 180,,,,
Mount San Antonio College,UCSB,Calc2,A,1,MATH 3B,MATH 181,,,,
Mount San Antonio College,UCSB,Comp1,A,1,CMPSC 16,CISP 31; CISP 31L,CSCI 140,,,
Mount San Antonio College,UCSB,Comp2,A,1,CMPSC 24,CISP 34; CISP 34L,CSCI 220; CSCI 230,,,
Mount San Antonio College,UCSB,Comp3,A,1,CMPSC 40,CSCI 190,,,,
Mount San Antonio College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 290,MATH 285,ENGR 285,,
Mount San Antonio College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 260,MATH 285,ENGR 285,,
Mount San Antonio College,UCSC,Calc1,A,1,MATH 19A,MATH 180,,,,
Mount San Antonio College,UCSC,Calc2,A,1,MATH 19B,MATH 181,,,,
Mount San Antonio College,UCSC,DataStructures,A,1,CSE 12,CSCI 150,,,,
Mount San Antonio College,UCSC,DiscreteMath,A,1,CSE 16,CSCI 190,,,,
Mount San Antonio College,UCSC,Intro,A,1,CSE 30,CSCI 220,,,,
Mount San Antonio College,UCSD,Calc1,A,1,MATH 20A,MATH 180,,,,
Mount San Antonio College,UCSD,Calc2,A,1,MATH 20B,MATH 181,,,,
Mount San Antonio College,UCSD,Calc3,A,1,MATH 20C,MATH 280,,,,
Mount San Antonio College,UCSD,DataStructures,A,1,CSE 12,CSCI 220; CSCI 230,CSCI 140,,,
Mount San Antonio College,UCSD,DiscreteMath,A,1,CSE 20,CSCI 190,,,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,,,
Mount San Antonio College,UCSD,Intro,B,1,CSE 11,CSCI 145,,,,
Mount San Antonio College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 285,MATH 260,,,
