College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Mt. San Jacinto College,UCB,Calc1,A,1,MATH 1A,MATH- 211,MATH- 211H,
Mt. San Jacinto College,UCB,Calc2,A,1,MATH 1B,MATH- 212,MATH- 212H,
Mt. San Jacinto College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH- 215; MATH- 218,MATH- 215H; MATH- 218,
Mt. San Jacinto College,UCB,MultivariableCalc,A,1,MATH 53,MATH- 213,MATH- 213H,
Mt. San Jacinto College,UCD,Algorithms,A,1,ECS 036C,CSIS- 211,,
Mt. San Jacinto College,UCD,Calc1,A,1,MAT 021A,MATH- 211,,
Mt. San Jacinto College,UCD,Calc2,A,1,MAT 021B,MATH- 212,MATH- 212H,
Mt. San Jacinto College,UCD,Calc3,A,1,MAT 021C,MATH- 213,MATH- 213H,
Mt. San Jacinto College,UCD,DiscreteMath,A,1,ECS 020,CSIS- 213,,
Mt. San Jacinto College,UCD,ObjectOriented,A,1,ECS 036B,CSIS- 123A,CSIS- 123B,
Mt. San Jacinto College,UCD,Organization,A,1,ECS 050,CSIS- 118B,,
Mt. San Jacinto College,UCD,ProblemSolving,A,1,ECS 036A,CSIS- 113A,CSIS- 113B,
Mt. San Jacinto College,UCI,Calc1,A,1,MATH 2A,MATH- 211,MATH- 211H,
Mt. San Jacinto College,UCI,Calc2,A,1,MATH 2B,MATH- 212,MATH- 212H,
Mt. San Jacinto College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS- 113A; CSIS- 123A,CSIS- 113B; CSIS- 123B,CSIS- 116E; CSIS- 126E
Mt. San Jacinto College,UCLA,Calc1,A,1,MATH 31A,MATH- 211,,
Mt. San Jacinto College,UCLA,Calc2,A,1,MATH 31B,MATH- 212,MATH- 212H,
Mt. San Jacinto College,UCLA,Calc3,A,1,MATH 32A,MATH- 213,MATH- 213H,
Mt. San Jacinto College,UCLA,Calc4,A,1,MATH 32B,MATH- 213,MATH- 213H,
Mt. San Jacinto College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH- 215,,
Mt. San Jacinto College,UCLA,Intro,A,1,COM SCI 31,CSIS- 113A,,
Mt. San Jacinto College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH- 218,,
Mt. San Jacinto College,UCM,Calc1,A,1,MATH 021,MATH- 211,,
Mt. San Jacinto College,UCM,Calc2,A,1,MATH 022,MATH- 212,MATH- 212H,
Mt. San Jacinto College,UCM,DataStructures,A,1,CSE 030,CSIS- 211,,
Mt. San Jacinto College,UCM,LinearAlgebra,A,1,MATH 024,MATH- 215H; MATH- 218,MATH- 215,
Mt. San Jacinto College,UCM,VectorCalc,A,1,MATH 023,MATH- 213,MATH- 213H,
Mt. San Jacinto College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH- 211; MATH- 212,,
Mt. San Jacinto College,UCR,Intro1,A,1,CS 10A,CSIS- 113A,,
Mt. San Jacinto College,UCR,Intro2,A,1,CS 10B,CSIS- 123A,,
Mt. San Jacinto College,UCSB,Calc1,A,1,MATH 3A,MATH- 211,MATH- 211H,
Mt. San Jacinto College,UCSB,Calc2,A,1,MATH 3B,MATH- 212,MATH- 212H,
Mt. San Jacinto College,UCSB,Comp1,A,1,CMPSC 16,CSIS- 113A,,
Mt. San Jacinto College,UCSB,Comp2,A,1,CMPSC 24,CSIS- 211,,
Mt. San Jacinto College,UCSB,Comp3,A,1,CMPSC 40,CSIS- 213,,
Mt. San Jacinto College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH- 215,MATH- 215H,
Mt. San Jacinto College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH- 218,,
Mt. San Jacinto College,UCSC,Calc1,A,1,MATH 19A,MATH- 211,,
Mt. San Jacinto College,UCSC,Calc2,A,1,MATH 19B,MATH- 212,MATH- 212H,
Mt. San Jacinto College,UCSC,DataStructures,A,1,CSE 12,CSIS- 118B,,
Mt. San Jacinto College,UCSC,DiscreteMath,A,1,CSE 16,CSIS- 213,,
Mt. San Jacinto College,UCSC,Python,A,1,CSE 30,CSIS- 211,,
Mt. San Jacinto College,UCSD,Cal1,A,1,MATH 20A,MATH- 211,,
Mt. San Jacinto College,UCSD,Cal2,A,1,MATH 20B,MATH- 212,,
Mt. San Jacinto College,UCSD,Calc3,A,1,MATH 20C,MATH- 213,,
Mt. San Jacinto College,UCSD,DataStructures,A,1,CSE 12,CSIS- 211,,
Mt. San Jacinto College,UCSD,DiscreteMath,A,1,CSE 20,CSIS- 213,,
Mt. San Jacinto College,UCSD,Intro,A,1,CSE 8B,CSIS- 123B,,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,,
Mt. San Jacinto College,UCSD,LinearAlgebra,A,1,MATH 18,MATH- 218,,
