College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
Napa Valley College,UCB,Calc1,A,1,MATH 1A,MATH 120
Napa Valley College,UCB,Calc2,A,1,MATH 1B,MATH 121
Napa Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 220; MATH 222
Napa Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 221
Napa Valley College,UCD,Calc1,A,1,MAT 021A,MATH 120
Napa Valley College,UCD,Calc2,A,1,MAT 021B,MATH 121
Napa Valley College,UCD,Calc3,A,1,MAT 021C,MATH 221
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated
Napa Valley College,UCD,Intro1,A,1,ECS 036A,COMS 215
Napa Valley College,UCD,Intro2,A,1,ECS 036B,COMS 216
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated
Napa Valley College,UCI,Calc1,A,1,MATH 2A,MATH 120
Napa Valley College,UCI,Calc2,A,1,MATH 2B,MATH 121
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
Napa Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 120
Napa Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 121
Napa Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 221
Napa Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 221
Napa Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 222
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Napa Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 220
Napa Valley College,UCM,Calc1,A,1,MATH 021,MATH 120
Napa Valley College,UCM,Calc2,A,1,MATH 022,MATH 121
Napa Valley College,UCM,DataStructures,A,1,CSE 030,COMS 216
Napa Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 220; MATH 222
Napa Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 221
Napa Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 120; MATH 121
Napa Valley College,UCR,Intro1,A,1,CS 10A,COMS 215
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated
Napa Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 120
Napa Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 121
Napa Valley College,UCSB,Comp1,A,1,CMPSC 16,COMS 215
Not Articulated,UCSB,Comp2,A,1,CMPSC 24,Not Articulated
Napa Valley College,UCSB,Comp3,A,1,CMPSC 40,COMS 218
Napa Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 222
Napa Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 220
Napa Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 120
Napa Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 121
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
Napa Valley College,UCSC,Intro,A,1,CSE 30,COMS 216
Napa Valley College,UCSD,Calc1,A,1,MATH 20A,MATH 120
Napa Valley College,UCSD,Calc2,A,1,MATH 20B,MATH 121
Napa Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 221
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated
Napa Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 220
