College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Cypress College,UCB,Calc1,A,1,MATH 1A,MATH 150AC,,
Cypress College,UCB,Calc2,A,1,MATH 1B,MATH 150BC,,
Cypress College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 250BC,,
Cypress College,UCB,MultivariableCalc,A,1,MATH 53,MATH 250AC,,
Cypress College,UCD,Calc1,A,1,MAT 021A,MATH 150AC,,
Cypress College,UCD,Calc2,A,1,MAT 021B,MATH 150BC,,
Fullerton College,UCD,Calc3,A,1,MAT 021C,MATH 251 F,,
Cypress College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 250AC,,
Cypress College,UCD,DataStructures,A,1,ECS 036C,CSCI 133 C,,
Fullerton College,UCD,DiscreteMath,A,1,ECS 020,MATH 171 F,MATH 172 F,
Cypress College,UCD,Intro1,A,1,ECS 036A,CIS 223 C,CIS 226 C,
Fullerton College,UCD,Intro2,A,1,ECS 036B,CSCI 133 F,,
Fullerton College,UCD,Organization,A,1,ECS 050,CSCI 241 F,,
Cypress College,UCI,Calc1,A,1,MATH 2A,MATH 150AC,,
Cypress College,UCI,Calc2,A,1,MATH 2B,MATH 150BC,,
Fullerton College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 F; CSCI 133 F,,
Cypress College,UCLA,Calc1,A,1,MATH 31A,MATH 150AC,,
Cypress College,UCLA,Calc2,A,1,MATH 31B,MATH 150BC,,
Cypress College,UCLA,Calc3,A,1,MATH 32A,MATH 250AC,,
Cypress College,UCLA,Calc4,A,1,MATH 32B,MATH 250AC,,
Cypress College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 250BC,,
Cypress College,UCLA,Intro,A,1,COM SCI 31,CSCI 123 C,,
Cypress College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 250BC,,
Cypress College,UCM,Calc1,A,1,MATH 021,MATH 150AC,,
Cypress College,UCM,Calc2,A,1,MATH 022,MATH 150BC,,
Cypress College,UCM,DataStructures,A,1,CSE 030,CSCI 133 C,,
Cypress College,UCM,LinearAlgebra,A,1,MATH 024,MATH 250BC,,
Cypress College,UCM,VectorCalc,A,1,MATH 023,MATH 250AC,,
Cypress College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150AC; MATH 150BC,,
Cypress College,UCR,Intro1,A,1,CS 10A,CIS 223 C,CSCI 123 C,
Cypress College,UCR,Intro2,A,1,CS 10B,CSCI 123 C; CSCI 133 C,,
Cypress College,UCSB,Calc1,A,1,MATH 3A,MATH 150AC,MATH 150PC,
Cypress College,UCSB,Calc2,A,1,MATH 3B,MATH 150BC,,
Cypress College,UCSB,Comp1,A,1,CMPSC 16,CIS 223 C,CSCI 123 C,
Cypress College,UCSB,Comp2,A,1,CMPSC 24,CSCI 133 C,,
Cypress College,UCSB,Comp3,A,1,CMPSC 40,CSCI 252 C,,
Cypress College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 250BC,,
Cypress College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 250BC,,
Cypress College,UCSC,Calc1,A,1,MATH 19A,MATH 150AC,,
Cypress College,UCSC,Calc2,A,1,MATH 19B,MATH 150BC,,
Fullerton College,UCSC,DataStructures,A,1,CSE 12,CSCI 241 F,,
Cypress College,UCSC,DiscreteMath,A,1,CSE 16,CSCI 252 C,,
Cypress College,UCSC,Intro,A,1,CSE 30,CIS 275 C,CSCI 133 C,
Cypress College,UCSD,Calc1,A,1,MATH 20A,MATH 150AC,,
Cypress College,UCSD,Calc2,A,1,MATH 20B,MATH 150BC,,
Cypress College,UCSD,Calc3,A,1,MATH 20C,MATH 250AC,,
Cypress College,UCSD,DataStructures,A,1,CSE 12,CSCI 133 C,,
Cypress College,UCSD,DiscreteMath,A,1,CSE 20,CSCI 252 C,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Cypress College,UCSD,Intro,B,1,CSE 11,CIS 226 C,CSCI 123 C,
Cypress College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 250BC,,
