College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Ohlone College,UCB,Calc1,A,1,MATH 1A,MATH 101A,
Ohlone College,UCB,Calc2,A,1,MATH 1B,MATH 101B,
Ohlone College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 103; MATH 104,
Ohlone College,UCB,MultivariableCalc,A,1,MATH 53,MATH 101C,
Ohlone College,UCD,Algorithms,A,1,ECS 036C,CS 124,
Ohlone College,UCD,Calc1,A,1,MAT 021A,MATH 101A,
Ohlone College,UCD,Calc2,A,1,MAT 021B,MATH 101B,
Ohlone College,UCD,Calc3,A,1,MAT 021C,MATH 101C,
Ohlone College,UCD,DiscreteMath,A,1,ECS 020,CS 113,
Ohlone College,UCD,ObjectOriented,A,1,ECS 036B,CS 116,CS 170
Ohlone College,UCD,Organization,A,1,ECS 050,CS 118,
Ohlone College,UCD,ProblemSolving,A,1,ECS 036A,CS 102,
Ohlone College,UCI,Calc1,A,1,MATH 2A,MATH 101A,
Ohlone College,UCI,Calc2,A,1,MATH 2B,MATH 101B,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Ohlone College,UCLA,Calc1,A,1,MATH 31A,MATH 101A,
Ohlone College,UCLA,Calc2,A,1,MATH 31B,MATH 101B,
Ohlone College,UCLA,Calc3,A,1,MATH 32A,MATH 101C,
Ohlone College,UCLA,Calc4,A,1,MATH 32B,MATH 101C,
Ohlone College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 104,
Ohlone College,UCLA,Intro,A,1,COM SCI 31,CS 102,CS 116
Ohlone College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 103,
Ohlone College,UCM,Calc1,A,1,MATH 021,MATH 101A,
Ohlone College,UCM,Calc2,A,1,MATH 022,MATH 101B,
Ohlone College,UCM,DataStructures,A,1,CSE 030,CS 124,
Ohlone College,UCM,LinearAlgebra,A,1,MATH 024,MATH 103; MATH 104,
Ohlone College,UCM,VectorCalc,A,1,MATH 023,MATH 101C,
Ohlone College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 101A; MATH 101B,
Ohlone College,UCR,Intro1,A,1,CS 10A,CS 102,
Ohlone College,UCR,Intro2,A,1,CS 10B,CS 116,CS 170
Ohlone College,UCSB,Calc1,A,1,MATH 3A,MATH 101A,
Ohlone College,UCSB,Calc2,A,1,MATH 3B,MATH 101B,
Ohlone College,UCSB,Comp1,A,1,CMPSC 16,CS 102,
Ohlone College,UCSB,Comp2,A,1,CMPSC 24,CS 124,
Ohlone College,UCSB,Comp3,A,1,CMPSC 40,CS 113,
Ohlone College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 104,
Ohlone College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 103,
Ohlone College,UCSC,Calc1,A,1,MATH 19A,MATH 101A,
Ohlone College,UCSC,Calc2,A,1,MATH 19B,MATH 101B,
Ohlone College,UCSC,DataStructures,A,1,CSE 12,CS 118,
Ohlone College,UCSC,DiscreteMath,A,1,CSE 16,CS 113,
Ohlone College,UCSC,Intro,A,1,CSE 30,CS 124,
Ohlone College,UCSD,Calc1,A,1,MATH 20A,MATH 101A,
Ohlone College,UCSD,Calc2,A,1,MATH 20B,MATH 101B,
Ohlone College,UCSD,Calc3,A,1,MATH 20C,MATH 101C,
Ohlone College,UCSD,DataStructures,A,1,CSE 12,CS 124,
Ohlone College,UCSD,DiscreteMath,A,1,CSE 20,CS 113,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Ohlone College,UCSD,Intro,B,1,CSE 11,CS 170,
Ohlone College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 103,
