College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
Palo Verde College,UCSB,Comp1,A,1,CMPSC 16,Not Articulated
Palo Verde College,UCSB,Comp2,A,1,CMPSC 24,Not Articulated
Palo Verde College,UCSB,Comp3,A,1,CMPSC 40,Not Articulated
Palo Verde College,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Palo Verde College,UCR,Intro1,A,1,CS 10A,Not Articulated
Palo Verde College,UCR,Intro2,A,1,CS 10B,Not Articulated
Palo Verde College,UCM,DataStructures,A,1,CSE 030,Not Articulated
Palo Verde College,UCSD,Intro,B,1,CSE 11,Not Articulated
Palo Verde College,UCSD,DataStructures,A,1,CSE 12,Not Articulated
Palo Verde College,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
Palo Verde College,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
Palo Verde College,UCSC,Python,A,1,CSE 30,Not Articulated
Palo Verde College,UCSD,Intro,A,1,CSE 8B,Not Articulated
Palo Verde College,UCD,DiscreteMath,A,1,ECS 020,Not Articulated
Palo Verde College,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated
Palo Verde College,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated
Palo Verde College,UCD,Algorithms,A,1,ECS 036C,Not Articulated
Palo Verde College,UCD,Organization,A,1,ECS 050,Not Articulated
Palo Verde College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
Palo Verde College,UCD,Calc1,A,1,MAT 021A,Not Articulated
Palo Verde College,UCD,Calc2,A,1,MAT 021B,Not Articulated
Palo Verde College,UCD,Calc3,A,1,MAT 021C,Not Articulated
Palo Verde College,UCM,Calc1,A,1,MATH 021,MAT 220
Palo Verde College,UCM,Calc2,A,1,MATH 022,Not Articulated
Palo Verde College,UCM,VectorCalc,A,1,MATH 023,Not Articulated
Palo Verde College,UCM,LinearAlgebra,A,1,MATH 024,Not Articulated
Palo Verde College,UCSD,LinearAlgebra,A,1,MATH 18,Not Articulated
Palo Verde College,UCSC,Calc1,A,1,MATH 19A,Not Articulated
Palo Verde College,UCSC,Calc2,A,1,MATH 19B,Not Articulated
Palo Verde College,UCB,Calc1,A,1,MATH 1A,Not Articulated
Palo Verde College,UCB,Calc2,A,1,MATH 1B,Not Articulated
Palo Verde College,UCSD,Cal1,A,1,MATH 20A,MAT 220
Palo Verde College,UCSD,Cal2,A,1,MATH 20B,Not Articulated
Palo Verde College,UCSD,Calc3,A,1,MATH 20C,Not Articulated
Palo Verde College,UCI,Calc1,A,1,MATH 2A,Not Articulated
Palo Verde College,UCI,Calc2,A,1,MATH 2B,Not Articulated
Palo Verde College,UCLA,Calc1,A,1,MATH 31A,MAT 220
Palo Verde College,UCLA,Calc2,A,1,MATH 31B,Not Articulated
Palo Verde College,UCLA,Calc3,A,1,MATH 32A,Not Articulated
Palo Verde College,UCLA,Calc4,A,1,MATH 32B,Not Articulated
Palo Verde College,UCLA,LinearAlgebra,A,1,MATH 33A,Not Articulated
Palo Verde College,UCLA,DifferentialEquations,A,1,MATH 33B,Not Articulated
Palo Verde College,UCSB,Calc1,A,1,MATH 3A,Not Articulated
Palo Verde College,UCSB,Calc2,A,1,MATH 3B,Not Articulated
Palo Verde College,UCSB,LinearAlgebra,A,1,MATH 4A,Not Articulated
Palo Verde College,UCSB,DifferentialEquations,A,1,MATH 4B,Not Articulated
Palo Verde College,UCB,MultivariableCalc,A,1,MATH 53,Not Articulated
Palo Verde College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,Not Articulated
Palo Verde College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,Not Articulated
