College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
College of Alameda,UCB,Calc1,A,1,MATH 1A,MATH 3A,,
College of Alameda,UCB,Calc2,A,1,MATH 1B,MATH 3B,,
College of Alameda,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 3E; MATH 3F,,
College of Alameda,UCB,MultivariableCalc,A,1,MATH 53,MATH 3C,,
Vista Community College,UCD,Algorithms,A,1,ECS 036C,CIS 27,,
College of Alameda,UCD,Calc1,A,1,MAT 021A,MATH 3A,,
College of Alameda,UCD,Calc2,A,1,MAT 021B,MATH 3B,,
Vista Community College,UCD,Calc3,A,1,MAT 021C,MATH 3B; MATH 3C,,
Laney College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 3C,,
College of Alameda,UCD,DiscreteMath,A,1,ECS 020,MATH 11,,
College of Alameda,UCD,ObjectOriented,A,1,ECS 036B,CIS 25,,
Vista Community College,UCD,Organization,A,1,ECS 050,CIS 20,,
Vista Community College,UCD,ProblemSolving,A,1,ECS 036A,CIS 6,,
College of Alameda,UCI,Calc1,A,1,MATH 2A,MATH 3A,,
College of Alameda,UCI,Calc2,A,1,MATH 2B,MATH 3B,,
Vista Community College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 6; CIS 25,CIS 36A; CIS 36B,
College of Alameda,UCLA,Calc1,A,1,MATH 31A,MATH 3A,,
College of Alameda,UCLA,Calc2,A,1,MATH 31B,MATH 3B,,
College of Alameda,UCLA,Calc3,A,1,MATH 32A,MATH 3C,,
College of Alameda,UCLA,Calc4,A,1,MATH 32B,MATH 3C,,
College of Alameda,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 3F,,
Vista Community College,UCLA,Intro,A,1,COM SCI 31,CIS 25,,
College of Alameda,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3E,,
College of Alameda,UCM,Calc1,A,1,MATH 021,MATH 3A,,
College of Alameda,UCM,Calc2,A,1,MATH 022,MATH 3B,,
Vista Community College,UCM,DataStructures,A,1,CSE 030,CIS 27,,
College of Alameda,UCM,LinearAlgebra,A,1,MATH 024,MATH 3E; MATH 3F,,
College of Alameda,UCM,VectorCalc,A,1,MATH 023,MATH 3C,,
College of Alameda,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,
College of Alameda,UCR,Intro1,A,1,CS 10A,CIS 25,,
Vista Community College,UCR,Intro2,A,1,CS 10B,CIS 36B,,
College of Alameda,UCSB,Calc1,A,1,MATH 3A,MATH 3A,,
College of Alameda,UCSB,Calc2,A,1,MATH 3B,MATH 3B,,
College of Alameda,UCSB,Comp1,A,1,CMPSC 16,CIS 25,,
Vista Community College,UCSB,Comp2,A,1,CMPSC 24,CIS 27,,
College of Alameda,UCSB,Comp3,A,1,CMPSC 40,MATH 11,,
College of Alameda,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 3F,,
College of Alameda,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3E,,
College of Alameda,UCSC,Calc1,A,1,MATH 19A,MATH 3A,,
College of Alameda,UCSC,Calc2,A,1,MATH 19B,MATH 3B,,
Vista Community College,UCSC,DataStructures,A,1,CSE 12,CIS 20,,
College of Alameda,UCSC,DiscreteMath,A,1,CSE 16,MATH 11,,
Vista Community College,UCSC,Python,A,1,CSE 30,CIS 27,,
College of Alameda,UCSD,Cal1,A,1,MATH 20A,MATH 3A,,
College of Alameda,UCSD,Cal2,A,1,MATH 20B,MATH 3B,,
College of Alameda,UCSD,Calc3,A,1,MATH 20C,MATH 3C,,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
College of Alameda,UCSD,DiscreteMath,A,1,CSE 20,MATH 11,,
Merritt College,UCSD,Intro,A,1,CSE 8B,CIS 33,,
Vista Community College,UCSD,Intro,B,1,CSE 11,CIS 36A,,
College of Alameda,UCSD,LinearAlgebra,A,1,MATH 18,MATH 3E,,
