College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Santiago Canyon College,UCB,Calc1,A,1,MATH 1A,MATH 180,MATH 180H,MATH 180S
Santiago Canyon College,UCB,Calc2,A,1,MATH 1B,MATH 185,,
Santiago Canyon College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 290; MATH 295,MATH 287,
Santiago Canyon College,UCB,MultivariableCalc,A,1,MATH 53,MATH 280,,
Not Articulated,UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
Santiago Canyon College,UCD,Calc1,A,1,MAT 021A,MATH 180,MATH 180H,
Santiago Canyon College,UCD,Calc2,A,1,MAT 021B,MATH 180; MATH 185,MATH 180H; MATH 185,
Santiago Canyon College,UCD,Calc3,A,1,MAT 021C,MATH 185,,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,,
Not Articulated,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
Santiago Canyon College,UCD,Organization,A,1,ECS 050,CMPR 129,,
Santiago Canyon College,UCD,ProblemSolving,A,1,ECS 036A,CMPR 112,CMPR 121,
Santiago Canyon College,UCI,Calc1,A,1,MATH 2A,MATH 150; MATH 180; MATH 180H; MATH 180S,,
Santiago Canyon College,UCI,Calc2,A,1,MATH 2B,MATH 185,,
Santiago Canyon College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CMPR 120; CMPR 121,,
Santiago Canyon College,UCLA,Calc1,A,1,MATH 31A,MATH 180,MATH 180H,MATH 180S
Santiago Canyon College,UCLA,Calc2,A,1,MATH 31B,MATH 185,,
Santiago Canyon College,UCLA,Calc3,A,1,MATH 32A,MATH 280,,
Santiago Canyon College,UCLA,Calc4,A,1,MATH 32B,MATH 280,,
Santiago Canyon College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 287,MATH 295,
Santiago Canyon College,UCLA,Intro,A,1,COM SCI 31,CMPR 120,CMPR 121,
Santiago Canyon College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 287,MATH 290,
Santiago Canyon College,UCM,Calc1,A,1,MATH 021,MATH 180,MATH 180H,MATH 180S
Santiago Canyon College,UCM,Calc2,A,1,MATH 022,MATH 185,,
Santiago Canyon College,UCM,DataStructures,A,1,CSE 030,CMPR 131,,
Santiago Canyon College,UCM,LinearAlgebra,A,1,MATH 024,MATH 290; MATH 295,MATH 287,
Santiago Canyon College,UCM,VectorCalc,A,1,MATH 023,MATH 280,,
Santiago Canyon College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 185,,
Santiago Canyon College,UCR,Intro1,A,1,CS 10A,CMPR 121,,
Santiago Canyon College,UCR,Intro2,A,1,CS 10B,CMPR 131,,
Santiago Canyon College,UCSB,Calc1,A,1,MATH 3A,MATH 180,MATH 180H,MATH 180S
Santiago Canyon College,UCSB,Calc2,A,1,MATH 3B,MATH 185,,
Santiago Canyon College,UCSB,Comp1,A,1,CMPSC 16,CMPR 121,CMPR 132,
Santiago Canyon College,UCSB,Comp2,A,1,CMPSC 24,CMPR 131,,
Santiago Canyon College,UCSB,Comp3,A,1,CMPSC 40,CMPR 149,,
Santiago Canyon College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 295,MATH 287,
Santiago Canyon College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 290,MATH 287,
Santiago Canyon College,UCSC,Calc1,A,1,MATH 19A,MATH 180,MATH 180S,
Santiago Canyon College,UCSC,Calc2,A,1,MATH 19B,MATH 185,,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,,
Santiago Canyon College,UCSC,Python,A,1,CSE 30,CMPR 131,,
Santiago Canyon College,UCSD,Cal1,A,1,MATH 20A,MATH 180,MATH 180S,
Santiago Canyon College,UCSD,Cal2,A,1,MATH 20B,MATH 185,,
Santiago Canyon College,UCSD,Calc3,A,1,MATH 20C,MATH 280,,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,,
Santiago Canyon College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 287,MATH 290,
