College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
College of the Redwoods,UCB,Calc1,A,1,MATH 1A,MATH 50A,
College of the Redwoods,UCB,Calc2,A,1,MATH 1B,MATH 50B,
College of the Redwoods,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 45; MATH 55,
College of the Redwoods,UCB,MultivariableCalc,A,1,MATH 53,MATH 50C,
College of the Redwoods,UCD,Calc1,A,1,MAT 021A,MATH 50A,
College of the Redwoods,UCD,Calc2,A,1,MAT 021B,MATH 50B,
College of the Redwoods,UCD,Calc3,A,1,MAT 021C,MATH 50C,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
College of the Redwoods,UCD,Intro1,A,1,ECS 036A,CIS 18,
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
College of the Redwoods,UCI,Calc1,A,1,MATH 2A,MATH 50A,
College of the Redwoods,UCI,Calc2,A,1,MATH 2B,MATH 50B,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
College of the Redwoods,UCLA,Calc1,A,1,MATH 31A,MATH 50A,
College of the Redwoods,UCLA,Calc2,A,1,MATH 31B,MATH 50B,
College of the Redwoods,UCLA,Calc3,A,1,MATH 32A,MATH 50C,
College of the Redwoods,UCLA,Calc4,A,1,MATH 32B,MATH 50C,
College of the Redwoods,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 55,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
College of the Redwoods,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 45,
College of the Redwoods,UCM,Calc1,A,1,MATH 021,MATH 50A,
College of the Redwoods,UCM,Calc2,A,1,MATH 022,MATH 50B,
Not Articulated,UCM,DataStructures,A,1,CSE 030,Not Articulated,
College of the Redwoods,UCM,LinearAlgebra,A,1,MATH 024,MATH 45; MATH 55,
College of the Redwoods,UCM,VectorCalc,A,1,MATH 023,MATH 50C,
College of the Redwoods,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 50A; MATH 50B,
College of the Redwoods,UCR,Intro1,A,1,CS 10A,CIS 12,CIS 18
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,
College of the Redwoods,UCSB,Calc1,A,1,MATH 3A,MATH 50A,
College of the Redwoods,UCSB,Calc2,A,1,MATH 3B,MATH 50B,
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
College of the Redwoods,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 55,
Not Articulated,UCSB,DiscreteMath,A,1,CMPSC 40,Not Articulated,
Not Articulated,UCSB,Intro,A,1,CMPSC 16,Not Articulated,
College of the Redwoods,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 45,
College of the Redwoods,UCSC,Calc1,A,1,MATH 19A,MATH 50A,
College of the Redwoods,UCSC,Calc2,A,1,MATH 19B,MATH 50B,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,
College of the Redwoods,UCSD,Calc1,A,1,MATH 20A,MATH 50A,
College of the Redwoods,UCSD,Calc2,A,1,MATH 20B,MATH 50B,
College of the Redwoods,UCSD,Calc3,A,1,MATH 20C,MATH 50C,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
College of the Redwoods,UCSD,LinearAlgebra,A,1,MATH 18,MATH 45,
