College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Rio Hondo College,UCB,Calc1,A,1,MATH 1A,MATH 190,MATH 190H
Rio Hondo College,UCB,Calc2,A,1,MATH 1B,MATH 191,
Rio Hondo College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 260; MATH 270,
Rio Hondo College,UCB,MultivariableCalc,A,1,MATH 53,MATH 250,
Rio Hondo College,UCD,Calc1,A,1,MAT 021A,MATH 190,MATH 190H
Rio Hondo College,UCD,Calc2,A,1,MAT 021B,MATH 191,
Rio Hondo College,UCD,Calc3,A,1,MAT 021C,MATH 250,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
Rio Hondo College,UCD,Intro1,A,1,ECS 036A,CIT 125,CIT 135
Rio Hondo College,UCD,Intro2,A,1,ECS 036B,CIT 126,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
Rio Hondo College,UCI,Calc1,A,1,MATH 2A,MATH 190,MATH 190H
Rio Hondo College,UCI,Calc2,A,1,MATH 2B,MATH 191,
Rio Hondo College,UCI,Intro1,A,2,I&C SCI 31; I&C SCI 32,CIT 127; CIT 128,
Not Articulated,UCI,Intro2,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Rio Hondo College,UCLA,Calc1,A,1,MATH 31A,MATH 190,
Rio Hondo College,UCLA,Calc2,A,1,MATH 31B,MATH 191,
Rio Hondo College,UCLA,Calc3,A,1,MATH 32A,MATH 250,
Rio Hondo College,UCLA,Calc4,A,1,MATH 32B,MATH 250,
Rio Hondo College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 270,
Rio Hondo College,UCLA,Intro,A,1,COM SCI 31,CIT 126,
Rio Hondo College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 251,MATH 260
Rio Hondo College,UCM,Calc1,A,1,MATH 021,MATH 190,MATH 190H
Rio Hondo College,UCM,Calc2,A,1,MATH 022,MATH 191,
Rio Hondo College,UCM,DataStructures,A,1,CSE 030,CIT 127; CIT 128,
Rio Hondo College,UCM,LinearAlgebra,A,1,MATH 024,MATH 260; MATH 270,MATH 251
Rio Hondo College,UCM,VectorCalc,A,1,MATH 023,MATH 250,
Rio Hondo College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
Rio Hondo College,UCR,Intro1,A,1,CS 10A,CIT 125,CIT 135
Rio Hondo College,UCR,Intro2,A,1,CS 10B,CIT 126,
Rio Hondo College,UCSB,Calc1,A,1,MATH 3A,MATH 190,MATH 190H
Rio Hondo College,UCSB,Calc2,A,1,MATH 3B,MATH 191,
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
Rio Hondo College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 251,MATH 270
Rio Hondo College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 152,
Rio Hondo College,UCSB,Intro,A,1,CMPSC 16,CIT 125,
Rio Hondo College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 251,MATH 260
Rio Hondo College,UCSC,Calc1,A,1,MATH 19A,MATH 190,
Rio Hondo College,UCSC,Calc2,A,1,MATH 19B,MATH 191,
Rio Hondo College,UCSC,DataStructures,A,1,CSE 12,CS 142,
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
Rio Hondo College,UCSC,Intro,A,1,CSE 30,CIT 128,
Rio Hondo College,UCSD,Calc1,A,1,MATH 20A,MATH 190,
Rio Hondo College,UCSD,Calc2,A,1,MATH 20B,MATH 191,
Rio Hondo College,UCSD,Calc3,A,1,MATH 20C,MATH 250,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Rio Hondo College,UCSD,DiscreteMath,A,1,CSE 20,CS 152,
Rio Hondo College,UCSD,Intro,A,1,CSE 8B,CIT 136,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Rio Hondo College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 260,MATH 251
