College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
San Diego Miramar College,UCSB,Comp1,A,1,CMPSC 16,CISC 192,,
San Diego Miramar College,UCSB,Comp2,A,1,CMPSC 24,CISC 187,,
San Diego City College,UCSB,Comp3,A,1,CMPSC 40,MATH 245,,
San Diego Miramar College,UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
San Diego Miramar College,UCR,Intro1,A,1,CS 10A,CISC 190,CISC 192,
San Diego City College,UCR,Intro2,A,1,CS 10B,Not Articulated,,
San Diego City College,UCM,DataStructures,A,1,CSE 030,CISC 187,,
San Diego City College,UCSD,Intro,B,1,CSE 11,Not Articulated,,
San Diego Miramar College,UCSD,DataStructures,A,1,CSE 12,CISC 187; CISC 191,,
San Diego Mesa College,UCSC,DiscreteMath,A,1,CSE 16,MATH 245,,
San Diego Miramar College,UCSD,DiscreteMath,A,1,CSE 20,MATH 245,,
San Diego City College,UCSC,Python,A,1,CSE 30,Not Articulated,,
San Diego Miramar College,UCSD,Intro,A,1,CSE 8B,CISC 191,,
San Diego City College,UCD,DiscreteMath,A,1,ECS 020,MATH 245,,
San Diego Mesa College,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,,
San Diego Miramar College,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
San Diego City College,UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
San Diego City College,UCD,Organization,A,1,ECS 050,Not Articulated,,
San Diego Mesa College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CISC 179; CISC 192; CISC 201,,
San Diego Miramar College,UCD,Calc1,A,1,MAT 021A,MATH 150,,
San Diego Miramar College,UCD,Calc2,A,1,MAT 021B,MATH 151,,
San Diego Miramar College,UCD,Calc3,A,1,MAT 021C,MATH 252,,
San Diego City College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 252,,
San Diego Mesa College,UCM,Calc1,A,1,MATH 021,MATH 150,,
San Diego Mesa College,UCM,Calc2,A,1,MATH 022,MATH 151,,
San Diego Miramar College,UCM,VectorCalc,A,1,MATH 023,MATH 252,,
San Diego Mesa College,UCM,LinearAlgebra,A,1,MATH 024,MATH 254; MATH 255,,
San Diego Mesa College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 254,,
San Diego Mesa College,UCSC,Calc1,A,1,MATH 19A,MATH 150,,
San Diego Miramar College,UCSC,Calc2,A,1,MATH 19B,MATH 151,,
San Diego City College,UCB,Calc1,A,1,MATH 1A,MATH 150,,
San Diego City College,UCB,Calc2,A,1,MATH 1B,MATH 151,,
San Diego Mesa College,UCSD,Cal1,A,1,MATH 20A,MATH 150,,
San Diego Miramar College,UCSD,Cal2,A,1,MATH 20B,MATH 151,,
San Diego Mesa College,UCSD,Calc3,A,1,MATH 20C,MATH 252,,
San Diego Mesa College,UCI,Calc1,A,1,MATH 2A,MATH 150,,
San Diego Miramar College,UCI,Calc2,A,1,MATH 2B,MATH 151,,
San Diego Mesa College,UCLA,Calc1,A,1,MATH 31A,MATH 150,,
San Diego Miramar College,UCLA,Calc2,A,1,MATH 31B,MATH 151,,
San Diego Miramar College,UCLA,Calc3,A,1,MATH 32A,MATH 252,,
San Diego City College,UCLA,Calc4,A,1,MATH 32B,MATH 252,,
San Diego Mesa College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 254,,
San Diego Mesa College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 255,,
San Diego Mesa College,UCSB,Calc1,A,1,MATH 3A,MATH 150,,
San Diego Mesa College,UCSB,Calc2,A,1,MATH 3B,MATH 151,,
San Diego Mesa College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 254,,
San Diego Miramar College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 255,,
San Diego City College,UCB,MultivariableCalc,A,1,MATH 53,MATH 252,,
San Diego Mesa College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 254; MATH 255,,
San Diego Mesa College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 151,,
