College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
San Joaquin Delta College,UCB,Calc1,A,1,MATH 1A,MATH 1,
San Joaquin Delta College,UCB,Calc2,A,1,MATH 1B,MATH 2,
San Joaquin Delta College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 4; MATH 5,
San Joaquin Delta College,UCB,MultivariableCalc,A,1,MATH 53,MATH 3,
Not Articulated,UCD,Algorithms,A,1,ECS 036C,Not Articulated,
San Joaquin Delta College,UCD,Calc1,A,1,MAT 021A,MATH 1,
San Joaquin Delta College,UCD,Calc2,A,1,MAT 021B,MATH 2,
Not Articulated,UCD,Calc3,A,1,MAT 021C,Not Articulated,
San Joaquin Delta College,UCD,DiscreteMath,A,1,ECS 020,CS 55,
San Joaquin Delta College,UCD,ObjectOriented,A,1,ECS 036B,CSP 31B,
San Joaquin Delta College,UCD,Organization,A,1,ECS 050,CSP 25,
Not Articulated,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,
San Joaquin Delta College,UCI,Calc1,A,1,MATH 2A,MATH 1,
San Joaquin Delta College,UCI,Calc2,A,1,MATH 2B,MATH 2,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
San Joaquin Delta College,UCLA,Calc1,A,1,MATH 31A,MATH 1,
San Joaquin Delta College,UCLA,Calc2,A,1,MATH 31B,MATH 2,
San Joaquin Delta College,UCLA,Calc3,A,1,MATH 32A,MATH 3,
San Joaquin Delta College,UCLA,Calc4,A,1,MATH 32B,MATH 3,
San Joaquin Delta College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 4,
San Joaquin Delta College,UCLA,Intro,A,1,COM SCI 31,CSP 31A; CSP 31B,CSP 17; CSP 31A
San Joaquin Delta College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 5,
San Joaquin Delta College,UCM,Calc1,A,1,MATH 021,MATH 1,
San Joaquin Delta College,UCM,Calc2,A,1,MATH 022,MATH 2,
San Joaquin Delta College,UCM,DataStructures,A,1,CSE 030,CSP 26B,CSP 31B
San Joaquin Delta College,UCM,LinearAlgebra,A,1,MATH 024,MATH 5; MATH 4,
San Joaquin Delta College,UCM,VectorCalc,A,1,MATH 023,MATH 3,
San Joaquin Delta College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1; MATH 2,
San Joaquin Delta College,UCR,Intro1,A,1,CS 10A,CSP 26A,CSP 31A
San Joaquin Delta College,UCR,Intro2,A,1,CS 10B,CSP 31B,
San Joaquin Delta College,UCSB,Calc1,A,1,MATH 3A,MATH 1,
San Joaquin Delta College,UCSB,Calc2,A,1,MATH 3B,MATH 2,
San Joaquin Delta College,UCSB,Comp1,A,1,CMPSC 16,CSP 31A,
San Joaquin Delta College,UCSB,Comp2,A,1,CMPSC 24,CSP 31B; CSP 26B,
San Joaquin Delta College,UCSB,Comp3,A,1,CMPSC 40,CS 55,
San Joaquin Delta College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 4,
San Joaquin Delta College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 5,
San Joaquin Delta College,UCSC,Calc1,A,1,MATH 19A,MATH 1,
San Joaquin Delta College,UCSC,Calc2,A,1,MATH 19B,MATH 2,
San Joaquin Delta College,UCSC,DataStructures,A,1,CSE 12,CSP 25,
San Joaquin Delta College,UCSC,DiscreteMath,A,1,CSE 16,CS 55,
San Joaquin Delta College,UCSC,Python,A,1,CSE 30,CSP 26B,
San Joaquin Delta College,UCSD,Cal1,A,1,MATH 20A,MATH 1,
San Joaquin Delta College,UCSD,Cal2,A,1,MATH 20B,MATH 2,
San Joaquin Delta College,UCSD,Calc3,A,1,MATH 20C,MATH 3,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
San Joaquin Delta College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 5,
