College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Evergreen Valley College,UCSB,Comp1,A,1,CMPSC 16,COMSC 079C,ENGR 050,
Evergreen Valley College,UCSB,Comp2,A,1,CMPSC 24,Not Articulated,,
Evergreen Valley College,UCSB,Comp3,A,1,CMPSC 40,COMSC 080,MATH 070,
San Jose City College,UCLA,Intro,A,1,COM SCI 31,CIS 054,,
San Jose City College,UCR,Intro1,A,1,CS 10A,CIS 054,CIS 059,CIS 084
Evergreen Valley College,UCR,Intro2,A,1,CS 10B,COMSC 076,,
San Jose City College,UCM,DataStructures,A,1,CSE 030,CIS 055,,
San Jose City College,UCSD,Intro,B,1,CSE 11,CIS 084,,
San Jose City College,UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
San Jose City College,UCSC,DiscreteMath,A,1,CSE 16,MATH 070,MATH 080,
San Jose City College,UCSD,DiscreteMath,A,1,CSE 20,MATH 070,MATH 080,
San Jose City College,UCSC,Python,A,1,CSE 30,CIS 055,,
San Jose City College,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
San Jose City College,UCD,DiscreteMath,A,1,ECS 020,MATH 070,MATH 080,
San Jose City College,UCD,ProblemSolving,A,1,ECS 036A,CIS 054,CIS 059,CIS 084
San Jose City College,UCD,ObjectOriented,A,1,ECS 036B,CIS 055,,
San Jose City College,UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
San Jose City College,UCD,Organization,A,1,ECS 050,Not Articulated,,
San Jose City College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 024C; CIS 025C,,
San Jose City College,UCD,Calc1,A,1,MAT 021A,MATH 071,MATH 071H,
Evergreen Valley College,UCD,Calc2,A,1,MAT 021B,MATH 067,MATH 072,
Evergreen Valley College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 073,,
Evergreen Valley College,UCM,Calc1,A,1,MATH 021,MATH 071,MATH 066,
San Jose City College,UCM,Calc2,A,1,MATH 022,MATH 072,,
Evergreen Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 073,,
Evergreen Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 078; MATH 079,,
San Jose City College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 079,,
Evergreen Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 071,MATH 066,
Evergreen Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 072,MATH 067,
Evergreen Valley College,UCB,Calc1,A,1,MATH 1A,MATH 071,MATH 066,
San Jose City College,UCB,Calc2,A,1,MATH 1B,MATH 072,,
San Jose City College,UCSD,Cal1,A,1,MATH 20A,MATH 071,,
San Jose City College,UCSD,Cal2,A,1,MATH 20B,MATH 072,,
San Jose City College,UCSD,Calc3,A,1,MATH 20C,MATH 073,,
San Jose City College,UCI,Calc1,A,1,MATH 2A,MATH 062; MATH 071; MATH 071H,,
San Jose City College,UCI,Calc2,A,1,MATH 2B,MATH 072,,
Evergreen Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 066,MATH 071,
Evergreen Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 067,MATH 072,
Evergreen Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 073,,
Evergreen Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 073,,
Evergreen Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 079,,
San Jose City College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 078,,
San Jose City College,UCSB,Calc1,A,1,MATH 3A,MATH 071,MATH 071H,
Evergreen Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 067,MATH 072,
Evergreen Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 079,,
San Jose City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 078,,
Evergreen Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 073,,
San Jose City College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 078; MATH 079,,
San Jose City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 071; MATH 072,,
