College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Cuesta College,UCB,Calc1,A,1,MATH 1A,MATH 265A,
Cuesta College,UCB,Calc2,A,1,MATH 1B,MATH 265B,
Cuesta College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 287,
Cuesta College,UCB,MultivariableCalc,A,1,MATH 53,MATH 283,
Cuesta College,UCD,Calc1,A,1,MAT 021A,MATH 265A,
Cuesta College,UCD,Calc2,A,1,MAT 021B,MATH 265B,
Cuesta College,UCD,Calc3,A,1,MAT 021C,MATH 283,
Cuesta College,UCD,DataStructures,A,1,ECS 036A; ECS 036B; ECS 036C,CIS 232; CIS 233,
Cuesta College,UCD,DiscreteMath,A,1,ECS 020,CIS 241,
Cuesta College,UCD,Intro1,A,1,ECS 036A; ECS 036B; ECS 036C,CIS 232; CIS 233,
Cuesta College,UCD,Intro2,A,1,ECS 036A; ECS 036B; ECS 036C,CIS 232; CIS 233,
Cuesta College,UCD,Organization,A,1,ECS 050,CIS 240,
Cuesta College,UCI,Calc1,A,1,MATH 2A,MATH 265A,
Cuesta College,UCI,Calc2,A,1,MATH 2B,MATH 265B,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Cuesta College,UCLA,Calc1,A,1,MATH 31A,MATH 265A,
Cuesta College,UCLA,Calc2,A,1,MATH 31B,MATH 265B,
Cuesta College,UCLA,Calc3,A,1,MATH 32A,MATH 283,
Cuesta College,UCLA,Calc4,A,1,MATH 32B,MATH 283,
Cuesta College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 287,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Cuesta College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 287,
Cuesta College,UCM,Calc1,A,1,MATH 021,MATH 265A,
Cuesta College,UCM,Calc2,A,1,MATH 022,MATH 265B,
Cuesta College,UCM,DataStructures,A,1,CSE 030,CIS 233,
Cuesta College,UCM,LinearAlgebra,A,1,MATH 024,MATH 287,
Cuesta College,UCM,VectorCalc,A,1,MATH 023,MATH 283,
Cuesta College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 265A; MATH 265B,
Cuesta College,UCR,Intro1,A,1,CS 10A,CIS 217,CIS 231
Cuesta College,UCR,Intro2,A,1,CS 10B,CIS 232; CIS 233,
Cuesta College,UCSB,Calc1,A,1,MATH 3A,MATH 265A,
Cuesta College,UCSB,Calc2,A,1,MATH 3B,MATH 265B,
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
Cuesta College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 287,
Cuesta College,UCSB,DiscreteMath,A,1,CMPSC 40,CIS 241,
Cuesta College,UCSB,Intro,A,1,CMPSC 16,CIS 217,
Cuesta College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 287,
Cuesta College,UCSC,Calc1,A,1,MATH 19A,MATH 265A,
Cuesta College,UCSC,Calc2,A,1,MATH 19B,MATH 265B,
Cuesta College,UCSC,DataStructures,A,1,CSE 12,CIS 240,
Cuesta College,UCSC,DiscreteMath,A,1,CSE 16,CIS 241,
Cuesta College,UCSC,Intro,A,1,CSE 30,CIS 232; CIS 233,
Cuesta College,UCSD,Calc1,A,1,MATH 20A,MATH 265A,
Cuesta College,UCSD,Calc2,A,1,MATH 20B,MATH 265B,
Cuesta College,UCSD,Calc3,A,1,MATH 20C,MATH 283,
Cuesta College,UCSD,DataStructures,A,1,CSE 12,CIS 231; CIS 232; CIS 233,
Cuesta College,UCSD,DiscreteMath,A,1,CSE 20,CIS 241,
Cuesta College,UCSD,Intro,A,1,CSE 8B,CIS 231; CIS 232; CIS 233,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Cuesta College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 287,
