College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
College of San Mateo,UCSB,Comp1,A,1,CMPSC 16,CIS 278,,,
College of San Mateo,UCSB,Comp2,A,1,CMPSC 24,CIS 279,,,
Canada College,UCSB,Comp3,A,1,CMPSC 40,CIS 262,,,
College of San Mateo,UCLA,Intro,A,1,COM SCI 31,CIS 278,,,
College of San Mateo,UCR,Intro1,A,1,CS 10A,CIS 254,CIS 278,,
Canada College,UCR,Intro2,A,1,CS 10B,CIS 250,CIS 284,,
Canada College,UCM,DataStructures,A,1,CSE 030,CIS 252,CIS 286,,
Canada College,UCSD,Intro,B,1,CSE 11,CIS 284,,,
College of San Mateo,UCSD,DataStructures,A,1,CSE 12,CIS 256,,,
Skyline College,UCSC,DiscreteMath,A,1,CSE 16,CIS 262,,,
College of San Mateo,UCSD,DiscreteMath,A,1,CSE 20,MATH 268,CIS 262,,
Canada College,UCSC,Python,A,1,CSE 30,CIS 252,CIS 286,,
College of San Mateo,UCSD,Intro,A,1,CSE 8B,CIS 255,,,
Canada College,UCD,DiscreteMath,A,1,ECS 020,CIS 262,,,
Skyline College,UCD,ProblemSolving,A,1,ECS 036A,CIS 250,,,
College of San Mateo,UCD,ObjectOriented,A,1,ECS 036B,CIS 278,,,
Canada College,UCD,Algorithms,A,1,ECS 036C,Not Articulated,,,
Canada College,UCD,Organization,A,1,ECS 050,CIS 242,,,
Skyline College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 250; CIS 252,,,
College of San Mateo,UCD,Calc1,A,1,MAT 021A,MATH 251,,,
College of San Mateo,UCD,Calc2,A,1,MAT 021B,MATH 251; MATH 252,,,
College of San Mateo,UCD,Calc3,A,1,MAT 021C,MATH 252,,,
Skyline College,UCM,Calc1,A,1,MATH 021,MATH 251,,,
Skyline College,UCM,Calc2,A,1,MATH 022,MATH 252,,,
College of San Mateo,UCM,VectorCalc,A,1,MATH 023,MATH 253,,,
Skyline College,UCM,LinearAlgebra,A,1,MATH 024,MATH 270; MATH 275,,,
Skyline College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 270,,,
Skyline College,UCSC,Calc1,A,1,MATH 19A,MATH 251,,,
College of San Mateo,UCSC,Calc2,A,1,MATH 19B,MATH 252,,,
Canada College,UCB,Calc1,A,1,MATH 1A,MATH 251,,,
Canada College,UCB,Calc2,A,1,MATH 1B,MATH 252,,,
Skyline College,UCSD,Cal1,A,1,MATH 20A,MATH 251,,,
College of San Mateo,UCSD,Cal2,A,1,MATH 20B,MATH 252,,,
Skyline College,UCSD,Calc3,A,1,MATH 20C,MATH 253,,,
Skyline College,UCI,Calc1,A,1,MATH 2A,MATH 251,,,
College of San Mateo,UCI,Calc2,A,1,MATH 2B,MATH 252,,,
Skyline College,UCLA,Calc1,A,1,MATH 31A,MATH 251,,,
College of San Mateo,UCLA,Calc2,A,1,MATH 31B,MATH 252,,,
College of San Mateo,UCLA,Calc3,A,1,MATH 32A,MATH 253,,,
Canada College,UCLA,Calc4,A,1,MATH 32B,MATH 253,,,
Skyline College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270,,,
Skyline College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 275,,,
Skyline College,UCSB,Calc1,A,1,MATH 3A,MATH 251,,,
Skyline College,UCSB,Calc2,A,1,MATH 3B,MATH 252,,,
Skyline College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270,,,
College of San Mateo,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 275,,,
Canada College,UCB,MultivariableCalc,A,1,MATH 53,MATH 253,,,
Skyline College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270; MATH 275,,,
Skyline College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 251; MATH 252; MATH 253,,,
