College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Santa Barbara City College,UCSB,Comp1,A,1,CMPSC 16,CS 105; CS 137,CS 105; CS 140,
Santa Barbara City College,UCSB,Comp2,A,1,CMPSC 24,CS 106; CS 140,,
Santa Barbara City College,UCSB,Comp3,A,1,CMPSC 40,CS 108,,
Santa Barbara City College,UCLA,Intro,A,1,COM SCI 31,CS 140,,
Santa Barbara City College,UCR,Intro1,A,1,CS 10A,CS 137,,
Santa Barbara City College,UCR,Intro2,A,1,CS 10B,CS 140,,
Santa Barbara City College,UCM,DataStructures,A,1,CSE 030,CS 106,,
Santa Barbara City College,UCSD,Intro,B,1,CSE 11,CS 105,,
Santa Barbara City College,UCSD,DataStructures,A,1,CSE 12,CS 140; CS 106,,
Santa Barbara City College,UCSC,DiscreteMath,A,1,CSE 16,CS 108,,
Santa Barbara City College,UCSD,DiscreteMath,A,1,CSE 20,CS 108,,
Santa Barbara City College,UCSC,Python,A,1,CSE 30,CS 106,CS 114,CS 137
Santa Barbara City College,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Santa Barbara City College,UCD,DiscreteMath,A,1,ECS 020,CS 108,,
Santa Barbara City College,UCD,ProblemSolving,A,1,ECS 036A,CS 137,CS 140,
Santa Barbara City College,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
Santa Barbara City College,UCD,Algorithms,A,1,ECS 036C,CS 106,,
Santa Barbara City College,UCD,Organization,A,1,ECS 050,CS 107,,
Santa Barbara City College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 104; CS 114; CS 140,,
Santa Barbara City College,UCD,Calc1,A,1,MAT 021A,MATH 150,,
Santa Barbara City College,UCD,Calc2,A,1,MAT 021B,MATH 160,,
Santa Barbara City College,UCD,Calc3,A,1,MAT 021C,MATH 200,,
Santa Barbara City College,UCM,Calc1,A,1,MATH 021,MATH 150,,
Santa Barbara City College,UCM,Calc2,A,1,MATH 022,MATH 160,,
Santa Barbara City College,UCM,VectorCalc,A,1,MATH 023,MATH 200,,
Santa Barbara City College,UCM,LinearAlgebra,A,1,MATH 024,MATH 210; MATH 220,,
Santa Barbara City College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 210,,
Santa Barbara City College,UCSC,Calc1,A,1,MATH 19A,MATH 150,,
Santa Barbara City College,UCSC,Calc2,A,1,MATH 19B,MATH 160,,
Santa Barbara City College,UCB,Calc1,A,1,MATH 1A,MATH 150,,
Santa Barbara City College,UCB,Calc2,A,1,MATH 1B,MATH 160,,
Santa Barbara City College,UCSD,Cal1,A,1,MATH 20A,MATH 150,,
Santa Barbara City College,UCSD,Cal2,A,1,MATH 20B,MATH 160,,
Santa Barbara City College,UCSD,Calc3,A,1,MATH 20C,MATH 200,,
Santa Barbara City College,UCI,Calc1,A,1,MATH 2A,MATH 150,MATH 130,
Santa Barbara City College,UCI,Calc2,A,1,MATH 2B,MATH 160,,
Santa Barbara City College,UCLA,Calc1,A,1,MATH 31A,MATH 150,,
Santa Barbara City College,UCLA,Calc2,A,1,MATH 31B,MATH 160,,
Santa Barbara City College,UCLA,Calc3,A,1,MATH 32A,MATH 200,,
Santa Barbara City College,UCLA,Calc4,A,1,MATH 32B,MATH 200,,
Santa Barbara City College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 210,,
Santa Barbara City College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 220,,
Santa Barbara City College,UCSB,Calc1,A,1,MATH 3A,MATH 150,,
Santa Barbara City College,UCSB,Calc2,A,1,MATH 3B,MATH 160,,
Santa Barbara City College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 210,,
Santa Barbara City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 220,,
Santa Barbara City College,UCB,MultivariableCalc,A,1,MATH 53,MATH 200,,
Santa Barbara City College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 210; MATH 220,,
Santa Barbara City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
