College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
College of the Sequoias,UCB,Calc1,A,1,MATH 1A,MATH 065,
College of the Sequoias,UCB,Calc2,A,1,MATH 1B,MATH 066,
College of the Sequoias,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 080; MATH 081,
College of the Sequoias,UCB,MultivariableCalc,A,1,MATH 53,MATH 067,
Not Articulated,UCD,Algorithms,A,1,ECS 036C,Not Articulated,
College of the Sequoias,UCD,Calc1,A,1,MAT 021A,MATH 065,
College of the Sequoias,UCD,Calc2,A,1,MAT 021B,MATH 066,
College of the Sequoias,UCD,Calc3,A,1,MAT 021C,MATH 067,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
College of the Sequoias,UCD,ObjectOriented,A,1,ECS 036B,CSCI 002,
College of the Sequoias,UCD,Organization,A,1,ECS 050,CSCI 005,
College of the Sequoias,UCD,ProblemSolving,A,1,ECS 036A,COMP 008,CSCI 001
College of the Sequoias,UCI,Calc1,A,1,MATH 2A,MATH 065,
College of the Sequoias,UCI,Calc2,A,1,MATH 2B,MATH 066,
College of the Sequoias,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 001; CSCI 002,
College of the Sequoias,UCLA,Calc1,A,1,MATH 31A,MATH 065,
College of the Sequoias,UCLA,Calc2,A,1,MATH 31B,MATH 066,
College of the Sequoias,UCLA,Calc3,A,1,MATH 32A,MATH 067,
College of the Sequoias,UCLA,Calc4,A,1,MATH 32B,MATH 067,
College of the Sequoias,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 081,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
College of the Sequoias,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 080,
College of the Sequoias,UCM,Calc1,A,1,MATH 021,MATH 065,
College of the Sequoias,UCM,Calc2,A,1,MATH 022,MATH 066,
College of the Sequoias,UCM,DataStructures,A,1,CSE 030,CSCI 002,
College of the Sequoias,UCM,LinearAlgebra,A,1,MATH 024,MATH 080; MATH 081,
College of the Sequoias,UCM,VectorCalc,A,1,MATH 023,MATH 067,
College of the Sequoias,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 065; MATH 066,
College of the Sequoias,UCR,Intro1,A,1,CS 10A,COMP 008,CSCI 001
College of the Sequoias,UCR,Intro2,A,1,CS 10B,CSCI 002,
College of the Sequoias,UCSB,Calc1,A,1,MATH 3A,MATH 065,
College of the Sequoias,UCSB,Calc2,A,1,MATH 3B,MATH 066,
College of the Sequoias,UCSB,Comp1,A,1,CMPSC 16,CSCI 001,
College of the Sequoias,UCSB,Comp2,A,1,CMPSC 24,CSCI 002,
College of the Sequoias,UCSB,Comp3,A,1,CMPSC 40,CSCI 006,
College of the Sequoias,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 081,
College of the Sequoias,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 080,
College of the Sequoias,UCSC,Calc1,A,1,MATH 19A,MATH 065,
College of the Sequoias,UCSC,Calc2,A,1,MATH 19B,MATH 066,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
College of the Sequoias,UCSC,Intro,A,1,CSE 30,CSCI 002,
College of the Sequoias,UCSD,Calc1,A,1,MATH 20A,MATH 065,
College of the Sequoias,UCSD,Calc2,A,1,MATH 20B,MATH 066,
College of the Sequoias,UCSD,Calc3,A,1,MATH 20C,MATH 067,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
College of the Sequoias,UCSD,LinearAlgebra,A,1,MATH 18,MATH 080,
