College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Shasta College,UCB,Calc1,A,1,MATH 1A,MATH 3A,
Shasta College,UCB,Calc2,A,1,MATH 1B,MATH 3B; MATH 4B,
Shasta College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 4B; MATH 6,
Shasta College,UCB,MultivariableCalc,A,1,MATH 53,MATH 4A,
Not Articulated,UCD,Algorithms,A,1,ECS 036C,Not Articulated,
Shasta College,UCD,Calc1,A,1,MAT 021A,MATH 3A,
Shasta College,UCD,Calc2,A,1,MAT 021B,MATH 3B,
Shasta College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 4A,
Shasta College,UCD,DiscreteMath,A,1,ECS 020,CIS 67,
Shasta College,UCD,ObjectOriented,A,1,ECS 036B,CIS 65,
Shasta College,UCD,Organization,A,1,ECS 050,CIS 63,CIS 66
Shasta College,UCD,ProblemSolving,A,1,ECS 036A,CIS 61,CIS 62
Shasta College,UCI,Calc1,A,1,MATH 2A,MATH 3A,
Shasta College,UCI,Calc2,A,1,MATH 2B,MATH 3B,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Shasta College,UCLA,Calc1,A,1,MATH 31A,MATH 3A,
Shasta College,UCLA,Calc2,A,1,MATH 31B,MATH 3B,
Shasta College,UCLA,Calc3,A,1,MATH 32A,MATH 4A,
Shasta College,UCLA,Calc4,A,1,MATH 32B,MATH 4A,
Shasta College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 4B,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Shasta College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 6,
Shasta College,UCM,Calc1,A,1,MATH 021,MATH 3A,
Shasta College,UCM,Calc2,A,1,MATH 022,MATH 3B,
Shasta College,UCM,DataStructures,A,1,CSE 030,CIS 65,
Shasta College,UCM,LinearAlgebra,A,1,MATH 024,MATH 4B; MATH 6,
Shasta College,UCM,VectorCalc,A,1,MATH 023,MATH 4A,
Shasta College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,
Shasta College,UCR,Intro1,A,1,CS 10A,CIS 61,CIS 62
Shasta College,UCR,Intro2,A,1,CS 10B,CIS 65,
Shasta College,UCSB,Calc1,A,1,MATH 3A,MATH 3A,
Shasta College,UCSB,Calc2,A,1,MATH 3B,MATH 3B,
Shasta College,UCSB,Comp1,A,1,CMPSC 16,CIS 61,
Shasta College,UCSB,Comp2,A,1,CMPSC 24,CIS 65,
Shasta College,UCSB,Comp3,A,1,CMPSC 40,CIS 67,
Shasta College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 4B,
Shasta College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 6,
Shasta College,UCSC,Calc1,A,1,MATH 19A,MATH 3A,
Shasta College,UCSC,Calc2,A,1,MATH 19B,MATH 3B,
Shasta College,UCSC,DataStructures,A,1,CSE 12,CIS 63,
Shasta College,UCSC,DiscreteMath,A,1,CSE 16,CIS 67,
Not Articulated,UCSC,Python,A,1,CSE 30,Not Articulated,
Shasta College,UCSD,Cal1,A,1,MATH 20A,MATH 3A,
Shasta College,UCSD,Cal2,A,1,MATH 20B,MATH 3B,
Shasta College,UCSD,Calc3,A,1,MATH 20C,MATH 4A,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Shasta College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 6,
