College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Sierra College,UCB,Calc1,A,1,MATH 1A,MATH 30,,
Sierra College,UCB,Calc2,A,1,MATH 1B,MATH 31,,
Sierra College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 33,,
Sierra College,UCB,MultivariableCalc,A,1,MATH 53,MATH 32,,
Sierra College,UCD,Calc1,A,1,MAT 021A,MATH 30,,
Sierra College,UCD,Calc2,A,1,MAT 021B,MATH 30; MATH 31,,
Sierra College,UCD,Calc3,A,1,MAT 021C,MATH 31; MATH 32,,
Sierra College,UCD,DataStructures,A,1,ECS 036C,CSCI 14,,
Sierra College,UCD,DiscreteMath,A,1,ECS 020,CSCI 26,MATH 15,
Sierra College,UCD,Intro1,A,1,ECS 036A,CSCI 46,,
Sierra College,UCD,Intro2,A,1,ECS 036B,CSCI 13,,
Sierra College,UCD,Organization,A,1,ECS 050,CSCI 39,,
Sierra College,UCI,Calc1,A,1,MATH 2A,MATH 30,,
Sierra College,UCI,Calc2,A,1,MATH 2B,MATH 31,,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
Sierra College,UCLA,Calc1,A,1,MATH 31A,MATH 30,,
Sierra College,UCLA,Calc2,A,1,MATH 31B,MATH 31,,
Sierra College,UCLA,Calc3,A,1,MATH 32A,MATH 32,,
Sierra College,UCLA,Calc4,A,1,MATH 32B,MATH 32,,
Sierra College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 33,,
Sierra College,UCLA,Intro,A,1,COM SCI 31,CSCI 66,,
Sierra College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 33,,
Sierra College,UCM,Calc1,A,1,MATH 021,MATH 30,,
Sierra College,UCM,Calc2,A,1,MATH 022,MATH 31,,
Sierra College,UCM,DataStructures,A,1,CSE 030,CSCI 13,CSCI 14,
Sierra College,UCM,LinearAlgebra,A,1,MATH 024,MATH 33,,
Sierra College,UCM,VectorCalc,A,1,MATH 023,MATH 32,,
Sierra College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 30; MATH 31,,
Sierra College,UCR,Intro1,A,1,CS 10A,CSCI 12,CSCI 13,CSCI 46
Sierra College,UCR,Intro2,A,1,CS 10B,CSCI 13,CSCI 66,
Sierra College,UCSB,Calc1,A,1,MATH 3A,MATH 30,,
Sierra College,UCSB,Calc2,A,1,MATH 3B,MATH 31,,
Sierra College,UCSB,Comp1,A,1,CMPSC 16,CSCI 46,CSCI 66,
Sierra College,UCSB,Comp2,A,1,CMPSC 24,CSCI 14,,
Sierra College,UCSB,Comp3,A,1,CMPSC 40,CSCI 26,MATH 15,
Sierra College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 33,,
Sierra College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 33,,
Sierra College,UCSC,Calc1,A,1,MATH 19A,MATH 30,,
Sierra College,UCSC,Calc2,A,1,MATH 19B,MATH 31,,
Sierra College,UCSC,DataStructures,A,1,CSE 12,CSCI 39,,
Sierra College,UCSC,DiscreteMath,A,1,CSE 16,MATH 15,,
Sierra College,UCSC,Intro,A,1,CSE 30,CSCI 14,,
Sierra College,UCSD,Calc1,A,1,MATH 20A,MATH 30,,
Sierra College,UCSD,Calc2,A,1,MATH 20B,MATH 31,,
Sierra College,UCSD,Calc3,A,1,MATH 20C,MATH 32,,
Sierra College,UCSD,DataStructures,A,1,CSE 12,CSCI 14,,
Sierra College,UCSD,DiscreteMath,A,1,CSE 20,CSCI 26,MATH 15,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Sierra College,UCSD,Intro,B,1,CSE 11,CSCI 13,,
Sierra College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 31; MATH 33,,
