College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Ventura College,UCSB,Comp1,A,1,CMPSC 16,CS V11; CS V13,,
Ventura College,UCSB,Comp2,A,1,CMPSC 24,CS V15; CS V30,,
Ventura College,UCSB,Comp3,A,1,CMPSC 40,CS V17,MATH V52,
Moorpark College,UCLA,Intro,A,1,COM SCI 31,CS M125,,
Moorpark College,UCR,Intro1,A,1,CS 10A,CS M125,CS M10J,CS M135
Moorpark College,UCR,Intro2,A,1,CS 10B,Not Articulated,,
Moorpark College,UCM,DataStructures,A,1,CSE 030,CS M135,,
Moorpark College,UCSD,Intro,B,1,CSE 11,CS M10J,,
Oxnard College,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
Oxnard College,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,,
Ventura College,UCSD,DiscreteMath,A,1,CSE 20,CS V17,MATH V52,
Oxnard College,UCSC,Python,A,1,CSE 30,Not Articulated,,
Oxnard College,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Moorpark College,UCD,DiscreteMath,A,1,ECS 020,CS M155,MATH M21,
Moorpark College,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,,
Oxnard College,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
Moorpark College,UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
Ventura College,UCD,Organization,A,1,ECS 050,CS V19,,
Ventura College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS V11; CS V13,,
Moorpark College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS M125; CS M135,,
Oxnard College,UCD,Calc1,A,1,MAT 021A,MATH R120,,
Ventura College,UCD,Calc2,A,1,MAT 021B,MATH V21A; MATH V21B,,
Moorpark College,UCD,Calc3,A,1,MAT 021C,MATH M25C,,
Oxnard College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH R122,,
Moorpark College,UCM,Calc1,A,1,MATH 021,MATH M25A,MATH M25AH,
Ventura College,UCM,Calc2,A,1,MATH 022,MATH V21B,,
Ventura College,UCM,VectorCalc,A,1,MATH 023,MATH V21C,,
Ventura College,UCM,LinearAlgebra,A,1,MATH 024,MATH V22; MATH V23,,
Oxnard College,UCSD,LinearAlgebra,A,1,MATH 18,MATH R134,,
Ventura College,UCSC,Calc1,A,1,MATH 19A,MATH V21A,,
Ventura College,UCSC,Calc2,A,1,MATH 19B,MATH V21B,,
Oxnard College,UCB,Calc1,A,1,MATH 1A,MATH R120,,
Oxnard College,UCB,Calc2,A,1,MATH 1B,MATH R121,,
Moorpark College,UCSD,Cal1,A,1,MATH 20A,MATH M16A,MATH M25A,
Ventura College,UCSD,Cal2,A,1,MATH 20B,MATH V21B,,
Moorpark College,UCSD,Calc3,A,1,MATH 20C,MATH M25C,,
Moorpark College,UCI,Calc1,A,1,MATH 2A,MATH M25A,MATH M25AH,
Ventura College,UCI,Calc2,A,1,MATH 2B,MATH V21B,,
Moorpark College,UCLA,Calc1,A,1,MATH 31A,MATH M25A,MATH M25AH,
Ventura College,UCLA,Calc2,A,1,MATH 31B,MATH V21B,,
Ventura College,UCLA,Calc3,A,1,MATH 32A,MATH V21C,,
Oxnard College,UCLA,Calc4,A,1,MATH 32B,MATH R122,,
Moorpark College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH M31,,
Moorpark College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH M35,,
Moorpark College,UCSB,Calc1,A,1,MATH 3A,MATH M25A,MATH M25AH,
Moorpark College,UCSB,Calc2,A,1,MATH 3B,MATH M25B,MATH M25BH,
Moorpark College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH M31,,
Ventura College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH V23,,
Oxnard College,UCB,MultivariableCalc,A,1,MATH 53,MATH R122,,
Moorpark College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH M31; MATH M35,,
Moorpark College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH M25A; MATH M25B,,
