College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Victor Valley College,UCSB,Comp1,A,1,CMPSC 16,CIS 201; CIS 202,
Victor Valley College,UCSB,Comp2,A,1,CMPSC 24,CIS 202,
Victor Valley College,UCSB,Comp3,A,1,CMPSC 40,CIS 264,
Victor Valley College,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Victor Valley College,UCR,Intro1,A,1,CS 10A,CIS 201,CIS 206
Victor Valley College,UCR,Intro2,A,1,CS 10B,CIS 202,CIS 203
Victor Valley College,UCM,DataStructures,A,1,CSE 030,Not Articulated,
Victor Valley College,UCSD,Intro,B,1,CSE 11,CIS 206,
Victor Valley College,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Victor Valley College,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
Victor Valley College,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Victor Valley College,UCSC,Python,A,1,CSE 30,Not Articulated,
Victor Valley College,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Victor Valley College,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
Victor Valley College,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,
Victor Valley College,UCD,ObjectOriented,A,1,ECS 036B,CIS 202,
Victor Valley College,UCD,Algorithms,A,1,ECS 036C,Not Articulated,
Victor Valley College,UCD,Organization,A,1,ECS 050,CIS 208,
Victor Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Victor Valley College,UCD,Calc1,A,1,MAT 021A,MATH 226,MATH 226H
Victor Valley College,UCD,Calc2,A,1,MAT 021B,MATH 227,MATH 227H
Victor Valley College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 228,MATH 228H
Victor Valley College,UCM,Calc1,A,1,MATH 021,MATH 226,MATH 226H
Victor Valley College,UCM,Calc2,A,1,MATH 022,MATH 227,MATH 227H
Victor Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 228,MATH 228H
Victor Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 231; MATH 270,
Victor Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 231,
Victor Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 226,MATH 226H
Victor Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 227,MATH 227H
Victor Valley College,UCB,Calc1,A,1,MATH 1A,MATH 226,MATH 226H
Victor Valley College,UCB,Calc2,A,1,MATH 1B,Not Articulated,
Victor Valley College,UCSD,Cal1,A,1,MATH 20A,MATH 226,
Victor Valley College,UCSD,Cal2,A,1,MATH 20B,MATH 227,
Victor Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 228,
Victor Valley College,UCI,Calc1,A,1,MATH 2A,MATH 226,MATH 226H
Victor Valley College,UCI,Calc2,A,1,MATH 2B,MATH 227,MATH 227H
Victor Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 226,MATH 226H
Victor Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 227,MATH 227H
Victor Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 228,MATH 228H
Victor Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 228,MATH 228H
Victor Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 231,
Victor Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 270,
Victor Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 226,MATH 226H
Victor Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 227,MATH 227H
Victor Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 231,
Victor Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 270,
Victor Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 227; MATH 228,
Victor Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 231; MATH 270,
Victor Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 226; MATH 227,
