College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
West Hills College Coalinga,UCSB,Comp1,A,1,CMPSC 16,Not Articulated
West Hills College Coalinga,UCSB,Comp2,A,1,CMPSC 24,Not Articulated
West Hills College Coalinga,UCSB,Comp3,A,1,CMPSC 40,Not Articulated
West Hills College Lemoore,UCLA,Intro,A,1,COM SCI 31,Not Articulated
West Hills College Lemoore,UCR,Intro1,A,1,CS 10A,ENGR 015
West Hills College Coalinga,UCR,Intro2,A,1,CS 10B,Not Articulated
West Hills College Lemoore,UCM,DataStructures,A,1,CSE 030,Not Articulated
West Hills College Lemoore,UCSD,Intro,B,1,CSE 11,Not Articulated
West Hills College Lemoore,UCSC,DataStructures,A,1,CSE 12,Not Articulated
West Hills College Lemoore,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
West Hills College Lemoore,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
West Hills College Lemoore,UCSC,Python,A,1,CSE 30,Not Articulated
West Hills College Lemoore,UCSD,Intro,A,1,CSE 8B,Not Articulated
West Hills College Lemoore,UCD,DiscreteMath,A,1,ECS 020,Not Articulated
West Hills College Lemoore,UCD,ProblemSolving,A,1,ECS 036A,Not Articulated
West Hills College Lemoore,UCD,ObjectOriented,A,1,ECS 036B,Not Articulated
West Hills College Lemoore,UCD,Algorithms,A,1,ECS 036C,Not Articulated
West Hills College Lemoore,UCD,Organization,A,1,ECS 050,Not Articulated
West Hills College Lemoore,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
West Hills College Lemoore,UCD,Calc1,A,1,MAT 021A,MATH 001A
West Hills College Coalinga,UCD,Calc2,A,1,MAT 021B,MATH 001B
West Hills College Coalinga,UCD,Calc3,A,1,MAT 021C,MATH 002A
West Hills College Coalinga,UCM,Calc1,A,1,MATH 021,MATH 001A
West Hills College Lemoore,UCM,Calc2,A,1,MATH 022,MATH 001B
West Hills College Coalinga,UCM,VectorCalc,A,1,MATH 023,MATH 002A
West Hills College Coalinga,UCM,LinearAlgebra,A,1,MATH 024,Not Articulated
West Hills College Lemoore,UCSD,LinearAlgebra,A,1,MATH 18,MATH 003A
West Hills College Coalinga,UCSC,Calc1,A,1,MATH 19A,MATH 001A
West Hills College Coalinga,UCSC,Calc2,A,1,MATH 19B,MATH 001B
West Hills College Coalinga,UCB,Calc1,A,1,MATH 1A,MATH 001A
West Hills College Lemoore,UCB,Calc2,A,1,MATH 1B,MATH 001B
West Hills College Lemoore,UCSD,Cal1,A,1,MATH 20A,MATH 001A
West Hills College Lemoore,UCSD,Cal2,A,1,MATH 20B,MATH 001B
West Hills College Lemoore,UCSD,Calc3,A,1,MATH 20C,MATH 002A
West Hills College Lemoore,UCI,Calc1,A,1,MATH 2A,MATH 001A
West Hills College Lemoore,UCI,Calc2,A,1,MATH 2B,MATH 001B
West Hills College Coalinga,UCLA,Calc1,A,1,MATH 31A,MATH 001A
West Hills College Coalinga,UCLA,Calc2,A,1,MATH 31B,MATH 001B
West Hills College Coalinga,UCLA,Calc3,A,1,MATH 32A,MATH 002A
West Hills College Coalinga,UCLA,Calc4,A,1,MATH 32B,MATH 002A
West Hills College Coalinga,UCLA,LinearAlgebra,A,1,MATH 33A,Not Articulated
West Hills College Lemoore,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 002B
West Hills College Lemoore,UCSB,Calc1,A,1,MATH 3A,MATH 001A
West Hills College Coalinga,UCSB,Calc2,A,1,MATH 3B,MATH 001B
West Hills College Coalinga,UCSB,LinearAlgebra,A,1,MATH 4A,Not Articulated
West Hills College Lemoore,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 002B
West Hills College Coalinga,UCB,MultivariableCalc,A,1,MATH 53,MATH 002A
West Hills College Lemoore,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 002B; MATH 003A
West Hills College Lemoore,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 001A; MATH 001B
