College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Taft College,UCB,Calc1,A,1,MATH 1A,MATH 2100,
Taft College,UCB,Calc2,A,1,MATH 1B,MATH 2120,
Taft College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2125; MATH 2140,
Taft College,UCB,MultivariableCalc,A,1,MATH 53,MATH 2130,
Taft College,UCD,Calc1,A,1,MAT 021A,MATH 2100,
Taft College,UCD,Calc2,A,1,MAT 021B,MATH 2120,
Taft College,UCD,Calc3,A,1,MAT 021C,MATH 2130,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
Taft College,UCD,Intro1,A,1,ECS 036A,ENGR 1540,
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
Taft College,UCI,Calc1,A,1,MATH 2A,MATH 2100,
Taft College,UCI,Calc2,A,1,MATH 2B,MATH 2120,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Taft College,UCLA,Calc1,A,1,MATH 31A,MATH 2100,
Taft College,UCLA,Calc2,A,1,MATH 31B,MATH 2120,
Taft College,UCLA,Calc3,A,1,MATH 32A,MATH 2130,
Taft College,UCLA,Calc4,A,1,MATH 32B,MATH 2130,
Taft College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2140,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Not Articulated,UCLA,LinearAlgebra,A,1,MATH 33A,Not Articulated,
Taft College,UCM,Calc1,A,1,MATH 021,MATH 2100,
Taft College,UCM,Calc2,A,1,MATH 022,MATH 2120,
Not Articulated,UCM,DataStructures,A,1,CSE 030,Not Articulated,
Taft College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2125; MATH 2140,
Taft College,UCM,VectorCalc,A,1,MATH 023,MATH 2130,
Taft College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 2100; MATH 2120,
Taft College,UCR,Intro1,A,1,CS 10A,ENGR 1540,ENGR 1550
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,
Taft College,UCSB,Calc1,A,1,MATH 3A,MATH 2100,
Taft College,UCSB,Calc2,A,1,MATH 3B,MATH 2120,
Taft College,UCSB,Comp1,A,1,CMPSC 16,ENGR 1540,
Taft College,UCSB,Comp2,A,1,CMPSC 24,COSC 1545,
Taft College,UCSB,Comp3,A,1,CMPSC 40,COSC 2100,
Taft College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2140,
Taft College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2125,
Taft College,UCSC,Calc1,A,1,MATH 19A,MATH 2100,
Taft College,UCSC,Calc2,A,1,MATH 19B,MATH 2120,
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,
Taft College,UCSD,Calc1,A,1,MATH 20A,MATH 2100,
Taft College,UCSD,Calc2,A,1,MATH 20B,MATH 2120,
Taft College,UCSD,Calc3,A,1,MATH 20C,MATH 2130,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
Not Articulated,UCSD,LinearAlgebra,A,1,MATH 18,Not Articulated,
