College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
West Valley College,UCB,Calc1,A,1,MATH 1A,MATH 003A,MATH 003AH,,
West Valley College,UCB,Calc2,A,1,MATH 1B,MATH 003B,MATH 003BH,,
West Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 004B; MATH 004C,,,
West Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 004A,,,
West Valley College,UCD,Algorithms,A,1,ECS 036C,CIST 004B,CIST 004B1,,
West Valley College,UCD,Calc1,A,1,MAT 021A,MATH 003A,MATH 003AH,,
Mission College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MAT 003A; MAT 003B,MAT 003AH; MAT 003B,,
Mission College,UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A; MAT 003B; MAT 004A,MAT 003AH; MAT 003B; MAT 004A,,
Mission College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MAT 003A; MAT 003B,MAT 003AH; MAT 003B,,
Mission College,UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A; MAT 003B; MAT 004A,MAT 003AH; MAT 003B; MAT 004A,,
West Valley College,UCD,Calc2,A,1,MAT 021B,MATH 003B,MATH 003BH,,
Mission College,UCD,Calc3,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A; MAT 003B; MAT 004A,MAT 003AH; MAT 003B; MAT 004A,,
Not Articulated,UCD,Calc3,A,1,MAT 021C,Not Articulated,,,
West Valley College,UCD,DiscreteMath,A,1,ECS 020,MATH 019,,,
Mission College,UCD,ObjectOriented,A,1,ECS 036B,CIS 043,,,
Mission College,UCD,Organization,A,1,ECS 050,CIS 039,,,
West Valley College,UCD,ProblemSolving,A,1,ECS 036A,CIST 004A,CIST 004A1,CIST 037,
West Valley College,UCI,Calc1,A,1,MATH 2A,MATH 003A,MATH 003AH,,
West Valley College,UCI,Calc2,A,1,MATH 2B,MATH 003B,MATH 003BH,,
Mission College,UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CIS 007; CIS 008,,,
West Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIST 005A; CIST 005B,,,
West Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 003A,MATH 003AH,,
West Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 003B,MATH 003BH,,
West Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 004A,,,
West Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 004A,,,
West Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 004B,,,
West Valley College,UCLA,Intro,A,1,COM SCI 31,CIST 004A,,,
West Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 004C,,,
West Valley College,UCM,Calc1,A,1,MATH 021,MATH 003A,MATH 003AH,,
West Valley College,UCM,Calc2,A,1,MATH 022,MATH 003B,MATH 003BH,,
West Valley College,UCM,DataStructures,A,1,CSE 030,CIST 004B1,,,
West Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 004B; MATH 004C,,,
West Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 004A,,,
West Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 003A; MATH 003B,,,
West Valley College,UCR,Intro1,A,1,CS 10A,CIST 004A,CIST 004A1,CIST 037,
West Valley College,UCR,Intro2,A,1,CS 10B,CIST 004B,,,
West Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 003A,MATH 003AH,,
West Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 003B,MATH 003BH,,
West Valley College,UCSB,Comp1,A,1,CMPSC 16,CIST 004A,CIST 037,,
West Valley College,UCSB,Comp2,A,1,CMPSC 24,CIST 004B,,,
West Valley College,UCSB,Comp3,A,1,CMPSC 40,MATH 019,,,
West Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 004B,,,
West Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 004C,,,
West Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 003A,,,
West Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 003B,,,
West Valley College,UCSC,DataStructures,A,1,CSE 12,CIST 039,,,
West Valley College,UCSC,DiscreteMath,A,1,CSE 16,MATH 019,,,
West Valley College,UCSC,Python,A,1,CSE 30,CIST 004B,CIST 004B1,CIST 005B,
West Valley College,UCSD,Cal1,A,1,MATH 20A,MATH 003A,MATH 003AH,,
West Valley College,UCSD,Cal2,A,1,MATH 20B,MATH 003B,MATH 003BH,,
West Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 004A,,,
West Valley College,UCSD,DataStructures,A,1,CSE 12,CIST 004B1,,,
West Valley College,UCSD,DiscreteMath,A,1,CSE 20,MATH 019,,,
Mission College,UCSD,Intro,A,1,CSE 8B,CIS 044,,,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,,,
West Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 004C,,,
