College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Modesto Junior College,UCB,Calc1,A,1,MATH 1A,MATH 171,
Modesto Junior College,UCB,Calc2,A,1,MATH 1B,MATH 172,
Modesto Junior College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 191; MATH 193,
Modesto Junior College,UCB,MultivariableCalc,A,1,MATH 53,MATH 173,
Modesto Junior College,UCD,Calc1,A,1,MAT 021A,MATH 171,
Modesto Junior College,UCD,Calc2,A,1,MAT 021B,MATH 172,
Modesto Junior College,UCD,Calc3,A,1,MAT 021C,MATH 173,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Modesto Junior College,UCD,DiscreteMath,A,1,ECS 020,CSCI 204,
Modesto Junior College,UCD,Intro1,A,1,ECS 036A,CSCI 271,
Modesto Junior College,UCD,Intro2,A,1,ECS 036B,CSCI 272,
Modesto Junior College,UCD,Organization,A,1,ECS 050,CSCI 273,
Modesto Junior College,UCI,Calc1,A,1,MATH 2A,MATH 171,
Modesto Junior College,UCI,Calc2,A,1,MATH 2B,MATH 172,
Modesto Junior College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 271; CSCI 272,
Modesto Junior College,UCLA,Calc1,A,1,MATH 31A,MATH 171,
Modesto Junior College,UCLA,Calc2,A,1,MATH 31B,MATH 172,
Modesto Junior College,UCLA,Calc3,A,1,MATH 32A,MATH 173,
Modesto Junior College,UCLA,Calc4,A,1,MATH 32B,MATH 173,
Modesto Junior College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 193,
Columbia College,UCLA,Intro,A,1,COM SCI 31,COMP 11P; COMP 12P,
Modesto Junior College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 191,
Modesto Junior College,UCM,Calc1,A,1,MATH 021,MATH 171,
Modesto Junior College,UCM,Calc2,A,1,MATH 022,MATH 172,
Modesto Junior College,UCM,DataStructures,A,1,CSE 030,CSCI 272,
Modesto Junior College,UCM,LinearAlgebra,A,1,MATH 024,MATH 191; MATH 193,
Modesto Junior College,UCM,VectorCalc,A,1,MATH 023,MATH 173,
Modesto Junior College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 171; MATH 172,
Modesto Junior College,UCR,Intro1,A,1,CS 10A,CSCI 271,
Modesto Junior College,UCR,Intro2,A,1,CS 10B,CSCI 272,CSCI 274
Modesto Junior College,UCSB,Calc1,A,1,MATH 3A,MATH 171,
Modesto Junior College,UCSB,Calc2,A,1,MATH 3B,MATH 172,
Not Articulated,UCSB,Comp1,A,1,CMPSC 16,Not Articulated,
Not Articulated,UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
Modesto Junior College,UCSB,Comp3,A,1,CMPSC 40,CSCI 204,
Modesto Junior College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 193,
Modesto Junior College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 191,
Modesto Junior College,UCSC,Calc1,A,1,MATH 19A,MATH 171; MATH 172,
Modesto Junior College,UCSC,Calc2,A,1,MATH 19B,MATH 171; MATH 172,
Modesto Junior College,UCSC,DataStructures,A,1,CSE 12,CSCI 273,
Modesto Junior College,UCSC,DiscreteMath,A,1,CSE 16,CSCI 204,
Modesto Junior College,UCSC,Intro,A,1,CSE 30,CSCI 272,
Modesto Junior College,UCSD,Calc1,A,1,MATH 20A,MATH 171,
Modesto Junior College,UCSD,Calc2,A,1,MATH 20B,MATH 172,
Modesto Junior College,UCSD,Calc3,A,1,MATH 20C,MATH 173,
Modesto Junior College,UCSD,DataStructures,A,1,CSE 12,CSCI 272,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Columbia College,UCSD,Intro,B,1,CSE 11,COMP 11P,
Modesto Junior College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 191,
