College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Woodland Community College,UCB,Calc1,A,1,MATH 1A,MATH 1A,
Woodland Community College,UCB,Calc2,A,1,MATH 1B,MATH 1B,
Woodland Community College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2; MATH 3,
Woodland Community College,UCB,MultivariableCalc,A,1,MATH 53,MATH 1C,
Woodland Community College,UCD,Calc1,A,1,MAT 021A,MATH 1A,
Yuba College,UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 1A; MATH 1B; MATH 1C,
Yuba College,UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 1A; MATH 1B; MATH 1C,
Woodland Community College,UCD,Calc2,A,1,MAT 021B,MATH 1B,
Yuba College,UCD,Calc3,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 1A; MATH 1B; MATH 1C,
Woodland Community College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 1C,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Yuba College,UCD,DiscreteMath,A,1,ECS 020,COMSC 15,
Yuba College,UCD,Intro1,A,1,ECS 036A,COMSC 9A,COMSC 12
Yuba College,UCD,Intro2,A,1,ECS 036B,COMSC 11,
Yuba College,UCD,Organization,A,1,ECS 050,COMSC 2,
Woodland Community College,UCI,Calc1,A,1,MATH 2A,MATH 1A,
Woodland Community College,UCI,Calc2,A,1,MATH 2B,MATH 1B,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Woodland Community College,UCLA,Calc1,A,1,MATH 31A,MATH 1A,
Woodland Community College,UCLA,Calc2,A,1,MATH 31B,MATH 1B,
Woodland Community College,UCLA,Calc3,A,1,MATH 32A,MATH 1C,
Woodland Community College,UCLA,Calc4,A,1,MATH 32B,MATH 1C,
Woodland Community College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2,
Yuba College,UCLA,Intro,A,1,COM SCI 31,COMSC 9A,
Woodland Community College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3,
Woodland Community College,UCM,Calc1,A,1,MATH 021,MATH 1A,
Woodland Community College,UCM,Calc2,A,1,MATH 022,MATH 1B,
Yuba College,UCM,DataStructures,A,1,CSE 030,COMSC 9B,
Woodland Community College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2,
Woodland Community College,UCM,VectorCalc,A,1,MATH 023,MATH 1C,
Woodland Community College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,
Yuba College,UCR,Intro1,A,1,CS 10A,COMSC 9A,
Yuba College,UCR,Intro2,A,1,CS 10B,COMSC 11,COMSC 12
Woodland Community College,UCSB,Calc1,A,1,MATH 3A,MATH 1A,
Woodland Community College,UCSB,Calc2,A,1,MATH 3B,MATH 1B,
Yuba College,UCSB,Comp1,A,1,CMPSC 16,COMSC 9A,
Yuba College,UCSB,Comp2,A,1,CMPSC 24,COMSC 9B,
Yuba College,UCSB,Comp3,A,1,CMPSC 40,COMSC 15,
Woodland Community College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2,
Woodland Community College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3,
Woodland Community College,UCSC,Calc1,A,1,MATH 19A,MATH 1A,
Woodland Community College,UCSC,Calc2,A,1,MATH 19B,MATH 1B,
Yuba College,UCSC,DataStructures,A,1,CSE 12,COMSC 2,
Yuba College,UCSC,DiscreteMath,A,1,CSE 16,COMSC 15,
Yuba College,UCSC,Intro,A,1,CSE 30,COMSC 9B,
Woodland Community College,UCSD,Calc1,A,1,MATH 20A,MATH 1A,
Woodland Community College,UCSD,Calc2,A,1,MATH 20B,MATH 1B,
Woodland Community College,UCSD,Calc3,A,1,MATH 20C,MATH 1C,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,
Yuba College,UCSD,Intro,B,1,CSE 11,COMSC 12,
Woodland Community College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 3,
