UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 150,,
UCB,Calc2,A,1,MATH 1B,MATH 160,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 250,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 220; MATH 230,,
UCD,DiscreteMath,A,1,ECS 020,CS 150,,
UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,,
UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
UCD,Algorithms,A,1,ECS 036C,CS 131,,
UCD,Organization,A,1,ECS 050,CS 140,,
UCD,Calc1,A,1,MAT 021A,MATH 150,MATH 150H,
UCD,Calc2,A,1,MAT 021B,MATH 150; MATH 160,MATH 150H; MATH 160,
UCD,Calc3,A,1,MAT 021C,MATH 160; MATH 250,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 120; CS 130; CS 230,CS 121; CS 131; CS 231,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 120; CS 130; CS 230,CS 121; CS 131; CS 231,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 120; CS 130; CS 230,CS 121; CS 131; CS 231,
UCI,Calc1,A,1,MATH 2A,MATH 150; MATH 150H,,
UCI,Calc2,A,1,MATH 2B,MATH 160,,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
UCLA,Calc1,A,1,MATH 31A,MATH 150,,
UCLA,Calc2,A,1,MATH 31B,MATH 160,,
UCLA,Calc3,A,1,MATH 32A,MATH 250,,
UCLA,Calc4,A,1,MATH 32B,MATH 250,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 220,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 230,,
UCM,DataStructures,A,1,CSE 030,CS 130,CS 131,CS 132
UCM,Calc1,A,1,MATH 021,MATH 150,,
UCM,Calc2,A,1,MATH 022,MATH 160,,
UCM,VectorCalc,A,1,MATH 023,MATH 250,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 220; MATH 230,,
UCM,DataStructures,A,1,CSE 030,CS 130,CS 131,CS 132
UCR,Intro1,A,1,CS 10A,Not Articulated,,
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CS 230; CS 231,,
UCSD,DataStructures,A,1,CSE 12,CS 130; CS 131; CS 132,,
UCSD,DiscreteMath,A,1,CSE 20,CS 150,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 220,,
UCSD,Calc1,A,1,MATH 20A,MATH 150,,
UCSD,Calc2,A,1,MATH 20B,MATH 160,,
UCSD,Calc3,A,1,MATH 20C,MATH 250,,
UCSB,Calc1,A,1,MATH 3A,MATH 150,MATH 150H,
UCSB,Calc2,A,1,MATH 3B,MATH 160,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 220,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 230,,
UCSB,Comp1,A,1,CMPSC 16,Not Articulated,,
UCSB,Comp2,A,1,CMPSC 24,CS 130,,
UCSB,Comp3,A,1,CMPSC 40,CS 150,,
UCSC,DataStructures,A,1,CSE 12,CS 140,,
UCSC,DiscreteMath,A,1,CSE 16,CS 150,,
UCSC,Intro,A,1,CSE 30,CS 131,CS 132,
UCSC,Calc1,A,1,MATH 19A,MATH 150,,
UCSC,Calc2,A,1,MATH 19B,MATH 160,,
