UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH B6A,
UCB,Calc2,A,1,MATH 1B,MATH B6B,
UCB,MultivariableCalc,A,1,MATH 53,MATH B6C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH B6D; MATH B6E,
UCD,DiscreteMath,A,1,ECS 020,COMP B14,
UCD,Intro1,A,1,ECS 036A,Not Articulated,
UCD,Intro2,A,1,ECS 036B,COMP B12,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH B6A; MATH B6B,
UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH B6A; MATH B6B,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH B6C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH B6A,
UCI,Calc2,A,1,MATH 2B,MATH B6B,
UCLA,Intro,A,1,COM SCI 31,COMP B12,
UCLA,Calc1,A,1,MATH 31A,MATH B6A,
UCLA,Calc2,A,1,MATH 31B,MATH B6B,
UCLA,Calc3,A,1,MATH 32A,MATH B6C,
UCLA,Calc4,A,1,MATH 32B,MATH B6C,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH B6E,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH B6D,
UCM,DataStructures,A,1,CSE 030,COMP B12,
UCM,Calc1,A,1,MATH 021,MATH B6A,
UCM,Calc2,A,1,MATH 022,MATH B6B,
UCM,VectorCalc,A,1,MATH 023,MATH B6C,
UCM,LinearAlgebra,A,1,MATH 024,MATH B6E; MATH B6D,
UCM,DataStructures,A,1,CSE 030,COMP B12,
UCR,Intro1,A,1,CS 10A,ENGR B19C,COMP B11
UCR,Intro2,A,1,CS 10B,COMP B12,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH B6A; MATH B6B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH B6A; MATH B6B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH B6A; MATH B6B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH B6E,
UCSD,Calc1,A,1,MATH 20A,MATH B6A,
UCSD,Calc2,A,1,MATH 20B,MATH B6B,
UCSD,Calc3,A,1,MATH 20C,MATH B6C,
UCSB,Calc1,A,1,MATH 3A,MATH B6A,
UCSB,Calc2,A,1,MATH 3B,MATH B6B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH B6E,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH B6D,
UCSB,Intro,A,1,CMPSC 16,ENGR B19C,
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
UCSB,DiscreteMath,A,1,CMPSC 40,COMP B14,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,COMP B14,
UCSC,Intro,A,1,CSE 30,COMP B12,
UCSC,Calc1,A,1,MATH 19A,MATH B6A,
UCSC,Calc2,A,1,MATH 19B,MATH B6B,
