UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MATH 4A
UCB,Calc2,A,1,MATH 1B,MATH 4B
UCB,MultivariableCalc,A,1,MATH 53,MATH 4C
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 9; MATH 10
UCD,DiscreteMath,A,1,ECS 020,Not Articulated
UCD,ProblemSolving,A,1,ECS 036A,Not Articulated
UCD,ObjectOriented,A,1,ECS 036B,Not Articulated
UCD,Algorithms,A,1,ECS 036C,Not Articulated
UCD,Organization,A,1,ECS 050,Not Articulated
UCD,Calc1,A,1,MAT 021A,MATH 4A
UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 4B; MATH 4C
UCD,Calc3,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 4B; MATH 4C
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH 4A
UCI,Calc2,A,1,MATH 2B,MATH 4B
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH 4A
UCLA,Calc2,A,1,MATH 31B,MATH 4B
UCLA,Calc3,A,1,MATH 32A,MATH 4C
UCLA,Calc4,A,1,MATH 32B,MATH 4C
UCLA,LinearAlgebra,A,1,MATH 33A,Not Articulated
UCLA,DifferentialEquations,A,1,MATH 33B,Not Articulated
UCM,DataStructures,A,1,CSE 030,CSIS 35
UCM,Calc1,A,1,MATH 021,MATH 4A
UCM,Calc2,A,1,MATH 022,MATH 4B
UCM,VectorCalc,A,1,MATH 023,MATH 4C
UCM,LinearAlgebra,A,1,MATH 024,MATH 9; MATH 10
UCM,DataStructures,A,1,CSE 030,CSIS 35
UCR,Intro1,A,1,CS 10A,CSIS 33
UCR,Intro2,A,1,CS 10B,CSIS 35
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 4A; MATH 4B
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 4A; MATH 4B
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 4A; MATH 4B
UCSD,Intro,A,1,CSE 8B,Not Articulated
UCSD,Intro,B,1,CSE 11,CSIS 33; CSIS 35
UCSD,DataStructures,A,1,CSE 12,CSIS 35
UCSD,DiscreteMath,A,1,CSE 20,CSIS 18
UCSD,LinearAlgebra,A,1,MATH 18,MATH 10
UCSD,Cal1,A,1,MATH 20A,MATH 4A
UCSD,Cal2,A,1,MATH 20B,MATH 4B
UCSD,Calc3,A,1,MATH 20C,MATH 4C
UCSB,Calc1,A,1,MATH 3A,MATH 4A
UCSB,Calc2,A,1,MATH 3B,MATH 4B
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 10
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 9
UCSB,Comp1,A,1,CMPSC 16,Not Articulated
UCSB,Comp2,A,1,CMPSC 24,CSIS 35
UCSB,Comp3,A,1,CMPSC 40,CSIS 18
UCSC,DataStructures,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,CSIS 18
UCSC,Python,A,1,CSE 30,Not Articulated
UCSC,Calc1,A,1,MATH 19A,MATH 4A
UCSC,Calc2,A,1,MATH 19B,MATH 4B
