UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 3A,,
UCB,Calc2,A,1,MATH 1B,MATH 3B,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 3C,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 3E; MATH 3F,,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,,
UCD,Intro1,A,1,ECS 036A,CIS 6,,
UCD,Intro2,A,1,ECS 036B,CIS 25,CIS 36A,CIS 36B
UCD,DataStructures,A,1,ECS 036C,CIS 27,,
UCD,Organization,A,1,ECS 050,CIS 20,,
UCD,Calc1,A,1,MAT 021A,MATH 3A,,
UCD,Calc2,A,1,MAT 021B,MATH 3A; MATH 3B,,
UCD,Calc3,A,1,MAT 021C,MATH 3B; MATH 3C,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 6; CIS 25,CIS 36A; CIS 36B,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 6; CIS 25,CIS 36A; CIS 36B,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 6; CIS 25,CIS 36A; CIS 36B,
UCI,Calc1,A,1,MATH 2A,MATH 3A,,
UCI,Calc2,A,1,MATH 2B,MATH 3B,,
UCLA,Intro,A,1,COM SCI 31,CIS 25,,
UCLA,Calc1,A,1,MATH 31A,MATH 3A,,
UCLA,Calc2,A,1,MATH 31B,MATH 3B,,
UCLA,Calc3,A,1,MATH 32A,MATH 3C,,
UCLA,Calc4,A,1,MATH 32B,MATH 3C,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3E,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 3F,,
UCM,DataStructures,A,1,CSE 030,CIS 27,,
UCM,Calc1,A,1,MATH 021,MATH 3A,,
UCM,Calc2,A,1,MATH 022,MATH 3B,,
UCM,VectorCalc,A,1,MATH 023,MATH 3C,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 3E; MATH 3F,,
UCM,DataStructures,A,1,CSE 030,CIS 27,,
UCR,Intro1,A,1,CS 10A,CIS 25,CIS 36A,
UCR,Intro2,A,1,CS 10B,CIS 36B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CIS 36A,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 3E,,
UCSD,Calc1,A,1,MATH 20A,MATH 3A,,
UCSD,Calc2,A,1,MATH 20B,MATH 3B,,
UCSD,Calc3,A,1,MATH 20C,MATH 3C,,
UCSB,Calc1,A,1,MATH 3A,MATH 3A,,
UCSB,Calc2,A,1,MATH 3B,MATH 3B,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3E,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 3F,,
UCSB,Comp1,A,1,CMPSC 16,CIS 25,,
UCSB,Comp2,A,1,CMPSC 24,CIS 27,,
UCSB,Comp3,A,1,CMPSC 40,MATH 11,,
UCSC,DataStructures,A,1,CSE 12,CIS 20,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 11,,
UCSC,Intro,A,1,CSE 30,CIS 27,,
UCSC,Calc1,A,1,MATH 19A,MATH 3A,,
UCSC,Calc2,A,1,MATH 19B,MATH 3B,,
