UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
UCB,Calc1,A,1,MATH 1A,MATH 5A,,,,
UCB,Calc2,A,1,MATH 1B,MATH 5B,,,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 5C,,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 6; MATH 7,,,,
UCD,DiscreteMath,A,1,ECS 020,CS 23,MATH 23,,,
UCD,Intro1,A,1,ECS 036A,CS 11,CS 12GP,CS 12J,CS 20P,
UCD,Intro2,A,1,ECS 036B,CS 19,,,,
UCD,DataStructures,A,1,ECS 036C,CS 21,,,,
UCD,Organization,A,1,ECS 050,CS 24,,,,
UCD,Calc1,A,1,MAT 021A,MATH 5A,,,,
UCD,Calc2,A,1,MAT 021B,MATH 5A; MATH 5B,,,,
UCD,Calc3,A,1,MAT 021C,MATH 5B; MATH 5C,,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 12P; CS 20P,CS 12J; CS 20J,CS 11; CS 19,CS 11M; CS 19,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 12P; CS 20P,CS 12J; CS 20J,CS 11; CS 19,CS 11M; CS 19,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 12P; CS 20P,CS 12J; CS 20J,CS 11; CS 19,CS 11M; CS 19,
UCI,Calc1,A,1,MATH 2A,MATH 5A,,,,
UCI,Calc2,A,1,MATH 2B,MATH 5B,,,,
UCLA,Intro,A,1,COM SCI 31,CS 11,CS 19,,,
UCLA,Calc1,A,1,MATH 31A,MATH 5A,,,,
UCLA,Calc2,A,1,MATH 31B,MATH 5B,,,,
UCLA,Calc3,A,1,MATH 32A,MATH 5C,,,,
UCLA,Calc4,A,1,MATH 32B,MATH 5C,,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 6,,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 7,,,,
UCM,DataStructures,A,1,CSE 030,CS 21,,,,
UCM,Calc1,A,1,MATH 021,MATH 5A,,,,
UCM,Calc2,A,1,MATH 022,MATH 5B,,,,
UCM,VectorCalc,A,1,MATH 023,MATH 5C,,,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 6; MATH 7,,,,
UCM,DataStructures,A,1,CSE 030,CS 21,,,,
UCR,Intro1,A,1,CS 10A,CS 11,CS 11M,CS 12GP,CS 12J,CS 20J
UCR,Intro2,A,1,CS 10B,CS 19,,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 5A; MATH 5B,,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 5A; MATH 5B,,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 5A; MATH 5B,,,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,,
UCSD,Intro,B,1,CSE 11,CS 20J,,,,
UCSD,DataStructures,A,1,CSE 12,CS 21,,,,
UCSD,DiscreteMath,A,1,CSE 20,CS 23,MATH 23,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 6,,,,
UCSD,Calc1,A,1,MATH 20A,MATH 5A,,,,
UCSD,Calc2,A,1,MATH 20B,MATH 5B,,,,
UCSD,Calc3,A,1,MATH 20C,MATH 5C,,,,
UCSB,Calc1,A,1,MATH 3A,MATH 5A,,,,
UCSB,Calc2,A,1,MATH 3B,MATH 5B,,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 6,,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 7,,,,
UCSB,Intro,A,1,CMPSC 16,CS 11,CS 11M,,,
UCSB,DataStructures,A,1,CMPSC 24,CS 11; CS 21,CS 11M; CS 21,,,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 23,MATH 23,,,
UCSC,DataStructures,A,1,CSE 12,CS 24,,,,
UCSC,DiscreteMath,A,1,CSE 16,CS 23,MATH 23,,,
UCSC,Intro,A,1,CSE 30,CS 20P,CS 21,,,
UCSC,Calc1,A,1,MATH 19A,MATH 5A,,,,
UCSC,Calc2,A,1,MATH 19B,MATH 5B,,,,
