UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 170,,
UCB,Calc2,A,1,MATH 1B,MATH 190,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 225,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 250,,
UCD,DiscreteMath,A,1,ECS 020,CIS 185,,
UCD,Intro1,A,1,ECS 036A,CIS 180,CIS 183,CIS 280X
UCD,Intro2,A,1,ECS 036B,CIS 280X,,
UCD,DataStructures,A,1,ECS 036C,CIS 292,,
UCD,Organization,A,1,ECS 050,CIS 231,,
UCD,Calc1,A,1,MAT 021A,MATH 170,,
UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 190; MATH 225,,
UCD,Calc3,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 190; MATH 225,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 180; CIS 280X,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 180; CIS 280X,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 180; CIS 280X,,
UCI,Calc1,A,1,MATH 2A,MATH 170,,
UCI,Calc2,A,1,MATH 2B,MATH 190,,
UCLA,Intro,A,1,COM SCI 31,CIS 180,,
UCLA,Calc1,A,1,MATH 31A,MATH 170,,
UCLA,Calc2,A,1,MATH 31B,MATH 190,,
UCLA,Calc3,A,1,MATH 32A,MATH 225,,
UCLA,Calc4,A,1,MATH 32B,MATH 225,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 250,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 250,,
UCM,DataStructures,A,1,CSE 030,CIS 292,,
UCM,Calc1,A,1,MATH 021,MATH 170,,
UCM,Calc2,A,1,MATH 022,MATH 190,,
UCM,VectorCalc,A,1,MATH 023,MATH 225,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 250,,
UCM,DataStructures,A,1,CSE 030,CIS 292,,
UCR,Intro1,A,1,CS 10A,CIS 180,CIS 183,
UCR,Intro2,A,1,CS 10B,CIS 280X,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 170; MATH 190,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 170; MATH 190,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 170; MATH 190,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CIS 183,,
UCSD,DataStructures,A,1,CSE 12,CIS 292,,
UCSD,DiscreteMath,A,1,CSE 20,CIS 185,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 250,,
UCSD,Calc1,A,1,MATH 20A,MATH 170,,
UCSD,Calc2,A,1,MATH 20B,MATH 190,,
UCSD,Calc3,A,1,MATH 20C,MATH 225,,
UCSB,Calc1,A,1,MATH 3A,MATH 170,,
UCSB,Calc2,A,1,MATH 3B,MATH 190,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 250,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 250,,
UCSB,Comp1,A,1,CMPSC 16,CIS 180,,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,,
UCSB,Comp3,A,1,CMPSC 40,CIS 185,,
UCSC,DataStructures,A,1,CSE 12,CIS 231,,
UCSC,DiscreteMath,A,1,CSE 16,CIS 185,,
UCSC,Intro,A,1,CSE 30,CIS 292,,
UCSC,Calc1,A,1,MATH 19A,MATH 170,,
UCSC,Calc2,A,1,MATH 19B,MATH 190,,
