UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MATH C151
UCB,Calc2,A,1,MATH 1B,MATH C152; MATH C255
UCB,MultivariableCalc,A,1,MATH 53,MATH C152; MATH C251
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH C255; MATH C257
UCD,DiscreteMath,A,1,ECS 020,CSCI C255
UCD,Intro1,A,1,ECS 036A,Not Articulated
UCD,Intro2,A,1,ECS 036B,Not Articulated
UCD,DataStructures,A,1,ECS 036C,Not Articulated
UCD,Organization,A,1,ECS 050,CSCI C257
UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH C151; MATH C152
UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH C151; MATH C152
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH C251
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH C151
UCI,Calc2,A,1,MATH 2B,MATH C152
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH C151
UCLA,Calc2,A,1,MATH 31B,MATH C152
UCLA,Calc3,A,1,MATH 32A,MATH C251
UCLA,Calc4,A,1,MATH 32B,MATH C251
UCLA,LinearAlgebra,A,1,MATH 33A,MATH C257
UCLA,DifferentialEquations,A,1,MATH 33B,MATH C255
UCM,DataStructures,A,1,CSE 030,Not Articulated
UCM,Calc1,A,1,MATH 021,MATH C151
UCM,Calc2,A,1,MATH 022,MATH C152
UCM,VectorCalc,A,1,MATH 023,MATH C251
UCM,LinearAlgebra,A,1,MATH 024,MATH C257; MATH C255
UCM,DataStructures,A,1,CSE 030,Not Articulated
UCR,Intro1,A,1,CS 10A,Not Articulated
UCR,Intro2,A,1,CS 10B,Not Articulated
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C151; MATH C152
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C151; MATH C152
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C151; MATH C152
UCSD,Intro,A,1,CSE 8B,Not Articulated
UCSD,Intro,B,1,CSE 11,Not Articulated
UCSD,DataStructures,A,1,CSE 12,Not Articulated
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MATH C257
UCSD,Calc1,A,1,MATH 20A,MATH C151
UCSD,Calc2,A,1,MATH 20B,MATH C152
UCSD,Calc3,A,1,MATH 20C,MATH C251
UCSB,Calc1,A,1,MATH 3A,MATH C151
UCSB,Calc2,A,1,MATH 3B,MATH C152
UCSB,LinearAlgebra,A,1,MATH 4A,MATH C257
UCSB,DifferentialEquations,A,1,MATH 4B,MATH C255
UCSB,Intro,A,1,CMPSC 16,Not Articulated
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated
UCSB,DiscreteMath,A,1,CMPSC 40,CSCI C255
UCSC,DataStructures,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Intro,A,1,CSE 30,Not Articulated
UCSC,Calc1,A,1,MATH 19A,MATH C151
UCSC,Calc2,A,1,MATH 19B,MATH C152
