UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MTH 1,
UCB,Calc2,A,1,MATH 1B,MTH 2,
UCB,MultivariableCalc,A,1,MATH 53,MTH 3,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MTH 4; MTH 6,
UCD,DiscreteMath,A,1,ECS 020,CSCI 28,MTH 8
UCD,Intro1,A,1,ECS 036A,CSCI 14,
UCD,Intro2,A,1,ECS 036B,CSCI 15,CSCI 20
UCD,DataStructures,A,1,ECS 036C,CSCI 20,
UCD,Organization,A,1,ECS 050,CSCI 21,
UCD,Calc1,A,1,MAT 021A; MAT 021B,MTH 1; MTH 2,
UCD,Calc2,A,1,MAT 021A; MAT 021B,MTH 1; MTH 2,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MTH 3,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14; CSCI 15,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14; CSCI 15,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14; CSCI 15,
UCI,Calc1,A,1,MATH 2A,MTH 1,MTH 15
UCI,Calc2,A,1,MATH 2B,MTH 2,MTH 16
UCLA,Intro,A,1,COM SCI 31,CSCI 15,
UCLA,Calc1,A,1,MATH 31A,MTH 1,
UCLA,Calc2,A,1,MATH 31B,MTH 2,
UCLA,Calc3,A,1,MATH 32A,MTH 3,
UCLA,Calc4,A,1,MATH 32B,MTH 3,
UCLA,LinearAlgebra,A,1,MATH 33A,MTH 6,
UCLA,DifferentialEquations,A,1,MATH 33B,MTH 4,
UCM,DataStructures,A,1,CSE 030,CSCI 20,
UCM,Calc1,A,1,MATH 021,MTH 1,
UCM,Calc2,A,1,MATH 022,MTH 2,
UCM,VectorCalc,A,1,MATH 023,MTH 3,
UCM,LinearAlgebra,A,1,MATH 024,MTH 4; MTH 6,
UCM,DataStructures,A,1,CSE 030,CSCI 20,
UCR,Intro1,A,1,CS 10A,CSCI 14,
UCR,Intro2,A,1,CS 10B,CSCI 15,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MTH 1; MTH 2,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MTH 1; MTH 2,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MTH 1; MTH 2,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CSCI 19A,
UCSD,DataStructures,A,1,CSE 12,CSCI 20,
UCSD,DiscreteMath,A,1,CSE 20,MTH 8,
UCSD,LinearAlgebra,A,1,MATH 18,MTH 6,
UCSD,Calc1,A,1,MATH 20A,MTH 1,
UCSD,Calc2,A,1,MATH 20B,MTH 2,
UCSD,Calc3,A,1,MATH 20C,MTH 3,
UCSB,Calc1,A,1,MATH 3A,MTH 1,
UCSB,Calc2,A,1,MATH 3B,MTH 2,
UCSB,LinearAlgebra,A,1,MATH 4A,MTH 6,
UCSB,DifferentialEquations,A,1,MATH 4B,MTH 4,
UCSB,Comp1,A,1,CMPSC 16,CSCI 15,
UCSB,Comp2,A,1,CMPSC 24,CSCI 20,
UCSB,Comp3,A,1,CMPSC 40,CSCI 28,MTH 8
UCSC,DataStructures,A,1,CSE 12,CSCI 21,
UCSC,DiscreteMath,A,1,CSE 16,MTH 8,CSCI 28
UCSC,Intro,A,1,CSE 30,CSCI 20,
UCSC,Calc1,A,1,MATH 19A,MTH 1,
UCSC,Calc2,A,1,MATH 19B,MTH 2,
