UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 65A,,
UCB,Calc2,A,1,MATH 1B,MATH 65B,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 75,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 81; MATH 85,,
UCD,DiscreteMath,A,1,ECS 020,COMPSCI 4,,
UCD,ProblemSolving,A,1,ECS 036A,ENGIN 30,,
UCD,ObjectOriented,A,1,ECS 036B,COMPSCI 2,,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,Not Articulated,,
UCD,Calc1,A,1,MAT 021A,MATH 65A,,
UCD,Calc2,A,1,MAT 021B,MATH 65B,,
UCD,Calc3,A,1,MAT 021C,MATH 75,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMPSCI 1; COMPSCI 2,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMPSCI 1; COMPSCI 2,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMPSCI 1; COMPSCI 2,,
UCI,Calc1,A,1,MATH 2A,MATH 65A,,
UCI,Calc2,A,1,MATH 2B,MATH 65B,,
UCLA,Intro,A,1,COM SCI 31,ENGIN 30; COMPSCI 1,ENGIN 30; COMPSCI 2,COMPSCI 1; COMPSCI 2
UCLA,Calc1,A,1,MATH 31A,MATH 65A,,
UCLA,Calc2,A,1,MATH 31B,MATH 65B,,
UCLA,Calc3,A,1,MATH 32A,MATH 75,,
UCLA,Calc4,A,1,MATH 32B,MATH 75,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 81,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 85,,
UCM,DataStructures,A,1,CSE 030,COMPSCI 2,,
UCM,Calc1,A,1,MATH 021,MATH 65A,,
UCM,Calc2,A,1,MATH 022,MATH 65B,,
UCM,VectorCalc,A,1,MATH 023,MATH 75,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 81; MATH 85,,
UCM,DataStructures,A,1,CSE 030,COMPSCI 2,,
UCR,Intro1,A,1,CS 10A,ENGIN 30,,
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 65A; MATH 65B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 65A; MATH 65B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 65A; MATH 65B,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 81,,
UCSD,Cal1,A,1,MATH 20A,MATH 65A,,
UCSD,Cal2,A,1,MATH 20B,MATH 65B,,
UCSD,Calc3,A,1,MATH 20C,MATH 75,,
UCSB,Calc1,A,1,MATH 3A,MATH 65A,,
UCSB,Calc2,A,1,MATH 3B,MATH 65B,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 81,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 85,,
UCSB,Comp1,A,1,CMPSC 16,COMPSCI 1,ENGIN 30,
UCSB,Comp2,A,1,CMPSC 24,COMPSCI 2,,
UCSB,Comp3,A,1,CMPSC 40,COMPSCI 4,,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,,
UCSC,Python,A,1,CSE 30,Not Articulated,,
UCSC,Calc1,A,1,MATH 19A,MATH 65A; MATH 65B,,
UCSC,Calc2,A,1,MATH 19B,MATH 65A; MATH 65B,,
