UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 190,
UCB,Calc2,A,1,MATH 1B,MATH 191,
UCB,MultivariableCalc,A,1,MATH 53,MATH 210,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 211; MATH 212,
UCD,DiscreteMath,A,1,ECS 020,CS 252,
UCD,ProblemSolving,A,1,ECS 036A,CS 140,CS 225
UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CS 242,
UCD,Calc1,A,1,MAT 021A,MATH 190,
UCD,Calc2,A,1,MAT 021B,MATH 191,
UCD,Calc3,A,1,MAT 021C,MATH 210,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 190,
UCI,Calc2,A,1,MATH 2B,MATH 191,
UCLA,Intro,A,1,COM SCI 31,CS 225,
UCLA,Calc1,A,1,MATH 31A,MATH 190,
UCLA,Calc2,A,1,MATH 31B,MATH 191,
UCLA,Calc3,A,1,MATH 32A,MATH 210,
UCLA,Calc4,A,1,MATH 32B,MATH 210,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 212,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 211,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCM,Calc1,A,1,MATH 021,MATH 190,
UCM,Calc2,A,1,MATH 022,MATH 191,
UCM,VectorCalc,A,1,MATH 023,MATH 210,
UCM,LinearAlgebra,A,1,MATH 024,MATH 211; MATH 212,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCR,Intro1,A,1,CS 10A,CS 225,
UCR,Intro2,A,1,CS 10B,CS 232,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 212,
UCSD,Calc1,A,1,MATH 20A,MATH 190,
UCSD,Calc2,A,1,MATH 20B,MATH 191,
UCSD,Calc3,A,1,MATH 20C,MATH 210,
UCSB,Calc1,A,1,MATH 3A,MATH 190,
UCSB,Calc2,A,1,MATH 3B,MATH 191,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 212,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 211,
UCSB,Comp1,A,1,CMPSC 16,CS 225,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
UCSB,Comp3,A,1,CMPSC 40,CS 252,
UCSC,DataStructures,A,1,CSE 12,CS 242,
UCSC,DiscreteMath,A,1,CSE 16,CS 252,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 190,
UCSC,Calc2,A,1,MATH 19B,MATH 191,
