UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MATH C180
UCB,Calc2,A,1,MATH 1B,MATH C185
UCB,MultivariableCalc,A,1,MATH 53,MATH C280
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH C285
UCD,DiscreteMath,A,1,ECS 020,Not Articulated
UCD,ProblemSolving,A,1,ECS 036A,Not Articulated
UCD,ObjectOriented,A,1,ECS 036B,Not Articulated
UCD,Algorithms,A,1,ECS 036C,ICS C123
UCD,Organization,A,1,ECS 050,Not Articulated
UCD,Calc1,A,1,MAT 021A,MATH C180
UCD,Calc2,A,1,MAT 021B,MATH C185
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH C280
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH C180
UCI,Calc2,A,1,MATH 2B,MATH C185
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH C180
UCLA,Calc2,A,1,MATH 31B,MATH C185
UCLA,Calc3,A,1,MATH 32A,MATH C280
UCLA,Calc4,A,1,MATH 32B,MATH C280
UCLA,LinearAlgebra,A,1,MATH 33A,MATH C285
UCLA,DifferentialEquations,A,1,MATH 33B,MATH C285
UCM,DataStructures,A,1,CSE 030,ICS C123
UCM,Calc1,A,1,MATH 021,MATH C180
UCM,Calc2,A,1,MATH 022,MATH C185
UCM,VectorCalc,A,1,MATH 023,MATH C280
UCM,LinearAlgebra,A,1,MATH 024,MATH C285
UCM,DataStructures,A,1,CSE 030,ICS C123
UCR,Intro1,A,1,CS 10A,Not Articulated
UCR,Intro2,A,1,CS 10B,Not Articulated
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C180; MATH C185
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C180; MATH C185
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C180; MATH C185
UCSD,Intro,A,1,CSE 8B,Not Articulated
UCSD,Intro,B,1,CSE 11,Not Articulated
UCSD,DataStructures,A,1,CSE 12,ICS C123
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MATH C285
UCSD,Cal1,A,1,MATH 20A,MATH C180
UCSD,Cal2,A,1,MATH 20B,MATH C185
UCSD,Calc3,A,1,MATH 20C,MATH C280
UCSB,Calc1,A,1,MATH 3A,MATH C180
UCSB,Calc2,A,1,MATH 3B,MATH C185
UCSB,LinearAlgebra,A,1,MATH 4A,MATH C285
UCSB,DifferentialEquations,A,1,MATH 4B,MATH C285
UCSB,Comp1,A,1,CMPSC 16,Not Articulated
UCSB,Comp2,A,1,CMPSC 24,Not Articulated
UCSB,Comp3,A,1,CMPSC 40,MATH C230
UCSC,DataStructures,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Python,A,1,CSE 30,ICS C123
UCSC,Calc1,A,1,MATH 19A,MATH C180
UCSC,Calc2,A,1,MATH 19B,MATH C185
