UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 123,
UCB,Calc2,A,1,MATH 1B,MATH 124,
UCB,MultivariableCalc,A,1,MATH 53,MATH 223,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 116; MATH 224,
UCD,DiscreteMath,A,1,ECS 020,COMP 117,MATH 117
UCD,Intro1,A,1,ECS 036A,COMP 130,COMP 135
UCD,Intro2,A,1,ECS 036B,COMP 232,COMP 235
UCD,DataStructures,A,1,ECS 036C,COMP 220,
UCD,Organization,A,1,ECS 050,COMP 160,
UCD,Calc1,A,1,MAT 021A,MATH 123,
UCD,Calc2,A,1,MAT 021B,MATH 124,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 223,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 135; COMP 232,COMP 130; COMP 235
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 135; COMP 232,COMP 130; COMP 235
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 135; COMP 232,COMP 130; COMP 235
UCI,Calc1,A,1,MATH 2A,MATH 123,
UCI,Calc2,A,1,MATH 2B,MATH 124,
UCLA,Intro,A,1,COM SCI 31,COMP 235,
UCLA,Calc1,A,1,MATH 31A,MATH 123,
UCLA,Calc2,A,1,MATH 31B,MATH 124,
UCLA,Calc3,A,1,MATH 32A,MATH 223,
UCLA,Calc4,A,1,MATH 32B,MATH 223,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 116,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 224,
UCM,DataStructures,A,1,CSE 030,COMP 220,
UCM,Calc1,A,1,MATH 021,MATH 123,
UCM,Calc2,A,1,MATH 022,MATH 124,
UCM,VectorCalc,A,1,MATH 023,MATH 223,
UCM,LinearAlgebra,A,1,MATH 024,MATH 116; MATH 224,
UCM,DataStructures,A,1,CSE 030,COMP 220,
UCR,Intro1,A,1,CS 10A,COMP 130,COMP 135
UCR,Intro2,A,1,CS 10B,COMP 235,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 123; MATH 124,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 123; MATH 124,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 123; MATH 124,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,COMP 220,
UCSD,DiscreteMath,A,1,CSE 20,COMP 117,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 116,
UCSD,Calc1,A,1,MATH 20A,MATH 123,
UCSD,Calc2,A,1,MATH 20B,MATH 124,
UCSD,Calc3,A,1,MATH 20C,MATH 223,
UCSB,Calc1,A,1,MATH 3A,MATH 123,
UCSB,Calc2,A,1,MATH 3B,MATH 124,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 116,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 224,
UCSB,Intro,A,1,CMPSC 16,COMP 130,
UCSB,DataStructures,A,1,CMPSC 24,COMP 220,
UCSB,DiscreteMath,A,1,CMPSC 40,COMP 117,MATH 117
UCSC,DataStructures,A,1,CSE 12,COMP 160,
UCSC,DiscreteMath,A,1,CSE 16,COMP 117,MATH 117
UCSC,Intro,A,1,CSE 30,COMP 220,
UCSC,Calc1,A,1,MATH 19A,MATH 123,
UCSC,Calc2,A,1,MATH 19B,MATH 124,
