UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH 251,,,
UCB,Calc2,A,1,MATH 1B,MATH 252,,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 253,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270; MATH 275,,,
UCD,DiscreteMath,A,1,ECS 020,CIS 262,MATH 268,,
UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,,,
UCD,ObjectOriented,A,1,ECS 036B,CIS 278,,,
UCD,Algorithms,A,1,ECS 036C,CIS 256,CIS 279,,
UCD,Organization,A,1,ECS 050,CIS 264,,,
UCD,Calc1,A,1,MAT 021A,MATH 251,,,
UCD,Calc2,A,1,MAT 021B,MATH 251; MATH 252,,,
UCD,Calc3,A,1,MAT 021C,MATH 252,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 117; CIS 502,CIS 501; CIS 502,CIS 255; CIS 256,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 117; CIS 502,CIS 501; CIS 502,CIS 255; CIS 256,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 117; CIS 502,CIS 501; CIS 502,CIS 255; CIS 256,
UCI,Calc1,A,1,MATH 2A,MATH 251,,,
UCI,Calc2,A,1,MATH 2B,MATH 252,,,
UCLA,Intro,A,1,COM SCI 31,CIS 278,,,
UCLA,Calc1,A,1,MATH 31A,MATH 251,,,
UCLA,Calc2,A,1,MATH 31B,MATH 252,,,
UCLA,Calc3,A,1,MATH 32A,MATH 253,,,
UCLA,Calc4,A,1,MATH 32B,MATH 253,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 275,,,
UCM,DataStructures,A,1,CSE 030,CIS 256,CIS 279,,
UCM,Calc1,A,1,MATH 021,MATH 251,,,
UCM,Calc2,A,1,MATH 022,MATH 252,,,
UCM,VectorCalc,A,1,MATH 023,MATH 253,,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 270; MATH 275,,,
UCM,DataStructures,A,1,CSE 030,CIS 256,CIS 279,,
UCR,Intro1,A,1,CS 10A,CIS 254,CIS 278,,
UCR,Intro2,A,1,CS 10B,CIS 255,CIS 278,CIS 279,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 241; MATH 242,MATH 251; MATH 252,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 241; MATH 242,MATH 251; MATH 252,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 241; MATH 242,MATH 251; MATH 252,,
UCSD,Intro,A,1,CSE 8B,CIS 255,,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,,
UCSD,DataStructures,A,1,CSE 12,CIS 256,,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 268,CIS 262,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 270,,,
UCSD,Cal1,A,1,MATH 20A,MATH 251,,,
UCSD,Cal2,A,1,MATH 20B,MATH 252,,,
UCSD,Calc3,A,1,MATH 20C,MATH 253,,,
UCSB,Calc1,A,1,MATH 3A,MATH 251,,,
UCSB,Calc2,A,1,MATH 3B,MATH 252,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 275,,,
UCSB,Comp1,A,1,CMPSC 16,CIS 278,,,
UCSB,Comp2,A,1,CMPSC 24,CIS 279,,,
UCSB,Comp3,A,1,CMPSC 40,CIS 262,MATH 268,,
UCSC,DataStructures,A,1,CSE 12,CIS 264,,,
UCSC,DiscreteMath,A,1,CSE 16,CIS 262,MATH 268,,
UCSC,Python,A,1,CSE 30,CIS 256,CIS 279,CIS 501,CIS 502
UCSC,Calc1,A,1,MATH 19A,MATH 251,,,
UCSC,Calc2,A,1,MATH 19B,MATH 252,,,
