UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 50A,
UCB,Calc2,A,1,MATH 1B,MATH 50B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 50C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 45; MATH 55,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
UCD,Intro1,A,1,ECS 036A,CIS 18,
UCD,Intro2,A,1,ECS 036B,Not Articulated,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 50A,
UCD,Calc2,A,1,MAT 021B,MATH 50B,
UCD,Calc3,A,1,MAT 021C,MATH 50C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 50A,
UCI,Calc2,A,1,MATH 2B,MATH 50B,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 50A,
UCLA,Calc2,A,1,MATH 31B,MATH 50B,
UCLA,Calc3,A,1,MATH 32A,MATH 50C,
UCLA,Calc4,A,1,MATH 32B,MATH 50C,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 45,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 55,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCM,Calc1,A,1,MATH 021,MATH 50A,
UCM,Calc2,A,1,MATH 022,MATH 50B,
UCM,VectorCalc,A,1,MATH 023,MATH 50C,
UCM,LinearAlgebra,A,1,MATH 024,MATH 45; MATH 55,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCR,Intro1,A,1,CS 10A,CIS 12,CIS 18
UCR,Intro2,A,1,CS 10B,Not Articulated,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 50A; MATH 50B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 50A; MATH 50B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 50A; MATH 50B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 45,
UCSD,Calc1,A,1,MATH 20A,MATH 50A,
UCSD,Calc2,A,1,MATH 20B,MATH 50B,
UCSD,Calc3,A,1,MATH 20C,MATH 50C,
UCSB,Calc1,A,1,MATH 3A,MATH 50A,
UCSB,Calc2,A,1,MATH 3B,MATH 50B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 45,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 55,
UCSB,Intro,A,1,CMPSC 16,Not Articulated,
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
UCSB,DiscreteMath,A,1,CMPSC 40,Not Articulated,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 50A,
UCSC,Calc2,A,1,MATH 19B,MATH 50B,
