UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MATH 1400
UCB,Calc2,A,1,MATH 1B,MATH 1500
UCB,MultivariableCalc,A,1,MATH 53,MATH 2400
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2500; MATH 2600
UCD,DiscreteMath,A,1,ECS 020,Not Articulated
UCD,ProblemSolving,A,1,ECS 036A,CSCI 1007
UCD,ObjectOriented,A,1,ECS 036B,CSCI 1507
UCD,Algorithms,A,1,ECS 036C,Not Articulated
UCD,Organization,A,1,ECS 050,CSCI 2006
UCD,Calc1,A,1,MAT 021A,MATH 1400
UCD,Calc2,A,1,MAT 021B,MATH 1500
UCD,Calc3,A,1,MAT 021C,MATH 2400
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH 1400
UCI,Calc2,A,1,MATH 2B,MATH 1500
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH 1400
UCLA,Calc2,A,1,MATH 31B,MATH 1500
UCLA,Calc3,A,1,MATH 32A,MATH 2400
UCLA,Calc4,A,1,MATH 32B,MATH 2400
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 2600
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2500
UCM,DataStructures,A,1,CSE 030,CSCI 1507
UCM,Calc1,A,1,MATH 021,MATH 1400
UCM,Calc2,A,1,MATH 022,MATH 1500
UCM,VectorCalc,A,1,MATH 023,MATH 2400
UCM,LinearAlgebra,A,1,MATH 024,MATH 2500; MATH 2600
UCM,DataStructures,A,1,CSE 030,CSCI 1507
UCR,Intro1,A,1,CS 10A,CSCI 1007
UCR,Intro2,A,1,CS 10B,CSCI 1507
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1400; MATH 1500
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1400; MATH 1500
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1400; MATH 1500
UCSD,Intro,A,1,CSE 8B,Not Articulated
UCSD,Intro,B,1,CSE 11,Not Articulated
UCSD,DataStructures,A,1,CSE 12,Not Articulated
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MATH 2600
UCSD,Calc1,A,1,MATH 20A,MATH 1400
UCSD,Calc2,A,1,MATH 20B,MATH 1500
UCSD,Calc3,A,1,MATH 20C,MATH 2400
UCSB,Calc1,A,1,MATH 3A,MATH 1400
UCSB,Calc2,A,1,MATH 3B,MATH 1500
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2600
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2500
UCSB,Comp1,A,1,CMPSC 16,Not Articulated
UCSB,Comp2,A,1,CMPSC 24,Not Articulated
UCSB,Comp3,A,1,CMPSC 40,CSCI 2010
UCSC,DataStructures,A,1,CSE 12,CSCI 2006
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Intro,A,1,CSE 30,CSCI 1507
UCSC,Calc1,A,1,MATH 19A,MATH 1400
UCSC,Calc2,A,1,MATH 19B,MATH 1500
