UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 18A,
UCB,Calc2,A,1,MATH 1B,MATH 18B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 18C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 26; MATH 28,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
UCD,Intro1,A,1,ECS 036A,COMP 11P,
UCD,Intro2,A,1,ECS 036B,COMP 12J,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 18A,
UCD,Calc2,A,1,MAT 021B,MATH 18B,
UCD,Calc3,A,1,MAT 021C,MATH 18B; MATH 18C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 18A,
UCI,Calc2,A,1,MATH 2B,MATH 18B,
UCLA,Intro,A,1,COM SCI 31,COMP 11P; COMP 12P,
UCLA,Calc1,A,1,MATH 31A,MATH 18A,
UCLA,Calc2,A,1,MATH 31B,MATH 18B,
UCLA,Calc3,A,1,MATH 32A,Not Articulated,
UCLA,Calc4,A,1,MATH 32B,Not Articulated,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 26,
UCLA,DifferentialEquations,A,1,MATH 33B,Not Articulated,
UCM,DataStructures,A,1,CSE 030,COMP 12J,COMP 12P
UCM,Calc1,A,1,MATH 021,MATH 18A,
UCM,Calc2,A,1,MATH 022,MATH 18B,
UCM,VectorCalc,A,1,MATH 023,MATH 18C,
UCM,LinearAlgebra,A,1,MATH 024,MATH 26; MATH 28,
UCM,DataStructures,A,1,CSE 030,COMP 12J,COMP 12P
UCR,Intro1,A,1,CS 10A,COMP 11P,
UCR,Intro2,A,1,CS 10B,COMP 12P,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 18A; MATH 18B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 18A; MATH 18B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 18A; MATH 18B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,COMP 11P,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 26,
UCSD,Calc1,A,1,MATH 20A,MATH 18A,
UCSD,Calc2,A,1,MATH 20B,MATH 18B,
UCSD,Calc3,A,1,MATH 20C,MATH 18C,
UCSB,Calc1,A,1,MATH 3A,MATH 18A,
UCSB,Calc2,A,1,MATH 3B,MATH 18B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 26,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 28,
UCSB,Comp1,A,1,CMPSC 16,Not Articulated,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
UCSB,Comp3,A,1,CMPSC 40,Not Articulated,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
UCSC,Intro,A,1,CSE 30,COMP 12P,
UCSC,Calc1,A,1,MATH 19A,MATH 18A; MATH 18B,
UCSC,Calc2,A,1,MATH 19B,MATH 18A; MATH 18B,
