UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 190,,
UCB,Calc2,A,1,MATH 1B,MATH 191,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 290,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 200; MATH 292,,
UCD,DiscreteMath,A,1,ECS 020,MATH 185,,
UCD,Intro1,A,1,ECS 036A,COMP 165,,
UCD,Intro2,A,1,ECS 036B,COMP 200,,
UCD,DataStructures,A,1,ECS 036C,COMP 210,,
UCD,Organization,A,1,ECS 050,COMP 265,,
UCD,Calc1,A,1,MAT 021A,MATH 190,,
UCD,Calc2,A,1,MAT 021B,MATH 191,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 290,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 112; COMP 165; COMP 200,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 112; COMP 165; COMP 200,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 112; COMP 165; COMP 200,,
UCI,Calc1,A,1,MATH 2A,MATH 190,,
UCI,Calc2,A,1,MATH 2B,MATH 191,,
UCLA,Intro,A,1,COM SCI 31,COMP 200; COMP 210,COMP 165,COMP 200
UCLA,Calc1,A,1,MATH 31A,MATH 190,,
UCLA,Calc2,A,1,MATH 31B,MATH 191,,
UCLA,Calc3,A,1,MATH 32A,MATH 290,,
UCLA,Calc4,A,1,MATH 32B,MATH 290,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 200,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 292,,
UCM,DataStructures,A,1,CSE 030,COMP 210,,
UCM,Calc1,A,1,MATH 021,MATH 190,,
UCM,Calc2,A,1,MATH 022,MATH 191,,
UCM,VectorCalc,A,1,MATH 023,MATH 290,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 200; MATH 292,,
UCM,DataStructures,A,1,CSE 030,COMP 210,,
UCR,Intro1,A,1,CS 10A,COMP 112,,
UCR,Intro2,A,1,CS 10B,COMP 165; COMP 200,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 185,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 200,,
UCSD,Calc1,A,1,MATH 20A,MATH 190,,
UCSD,Calc2,A,1,MATH 20B,MATH 191,,
UCSD,Calc3,A,1,MATH 20C,MATH 290,,
UCSB,Calc1,A,1,MATH 3A,MATH 190,,
UCSB,Calc2,A,1,MATH 3B,MATH 191,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 200,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 292,,
UCSB,Intro,A,1,CMPSC 16,COMP 165,,
UCSB,DataStructures,A,1,CMPSC 24,COMP 210,,
UCSB,DiscreteMath,A,1,CMPSC 40,MATH 185,,
UCSC,DataStructures,A,1,CSE 12,COMP 265,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 185,,
UCSC,Intro,A,1,CSE 30,Not Articulated,,
UCSC,Calc1,A,1,MATH 19A,MATH 190,,
UCSC,Calc2,A,1,MATH 19B,MATH 191,,
