UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 001A,
UCB,Calc2,A,1,MATH 1B,MATH 001B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 002A,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 002B; MATH 002C,
UCD,DiscreteMath,A,1,ECS 020,MATH 004,
UCD,ProblemSolving,A,1,ECS 036A,CS 089,
UCD,ObjectOriented,A,1,ECS 036B,CS 089A,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CS 087,
UCD,Calc1,A,1,MAT 021A,MATH 001A,
UCD,Calc2,A,1,MAT 021B,MATH 001B,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 002A,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 089; CS 089A,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 089; CS 089A,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 089; CS 089A,
UCI,Calc1,A,1,MATH 2A,MATH 001A,
UCI,Calc2,A,1,MATH 2B,MATH 001B,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 001A,
UCLA,Calc2,A,1,MATH 31B,MATH 001B,
UCLA,Calc3,A,1,MATH 32A,MATH 002A,
UCLA,Calc4,A,1,MATH 32B,MATH 002A,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 002B,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 002C,
UCM,DataStructures,A,1,CSE 030,CS 089A,
UCM,Calc1,A,1,MATH 021,MATH 001A,
UCM,Calc2,A,1,MATH 022,MATH 001B,
UCM,VectorCalc,A,1,MATH 023,MATH 002A,
UCM,LinearAlgebra,A,1,MATH 024,MATH 002B; MATH 002C,
UCM,DataStructures,A,1,CSE 030,CS 089A,
UCR,Intro1,A,1,CS 10A,CS 089,PH 005
UCR,Intro2,A,1,CS 10B,CS 089A,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 001A; MATH 001B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 001A; MATH 001B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 001A; MATH 001B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,MATH 004,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 002B,
UCSD,Cal1,A,1,MATH 20A,MATH 001A,
UCSD,Cal2,A,1,MATH 20B,MATH 001B,
UCSD,Calc3,A,1,MATH 20C,MATH 002A,
UCSB,Calc1,A,1,MATH 3A,MATH 001A,
UCSB,Calc2,A,1,MATH 3B,MATH 001B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 002B,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 002C,
UCSB,Comp1,A,1,CMPSC 16,CS 089,
UCSB,Comp2,A,1,CMPSC 24,CS 089A,
UCSB,Comp3,A,1,CMPSC 40,MATH 004,
UCSC,DataStructures,A,1,CSE 12,CS 087,
UCSC,DiscreteMath,A,1,CSE 16,MATH 004,
UCSC,Python,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 001A,
UCSC,Calc2,A,1,MATH 19B,MATH 001B,
